source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Martha McSally,,2020-03-06 21:36:57,"Business owners Betty & Jorge Rivas traveled to President Donald J. Trump’s Phoenix Rally to show support for growing jobs, strong economy & low unemployment rates, instead they got attacked by the “tolerant” Left for their views. Today, I went to their restaurant to thank them for showing their support. Stop by Sammy’s Mexican Grill for some amazing food and great owners! 🇺🇸",1.1K,999,9,168,1,2,4,64,2824107297658276,/story.php?story_fbid=2824107297658276&id=278490715553293
Martha McSally,,2020-03-06 13:44:23,I’m working on lowering the cost of your prescription drugs! Watch below:,142,130,6,6,,,,12,2823469917722014,/story.php?story_fbid=2823469917722014&id=278490715553293
Martha McSally,,2020-03-02 11:29:01,"ICYMI: I officially launched my campaign to continue to lower costs of healthcare and prescription drugs, protect pre-existing conditions, provide mental health care for veterans, and halt the flow of drugs to tackle the opioid epidemic:",353,308,9,31,,1,4,48,2815086925226980,/story.php?story_fbid=2815086925226980&id=278490715553293
Martha McSally,,2020-02-26 16:17:30,As a freshman Senator I passed the highest amount of bills into law last year.... from day one I’ve been working hard to put Arizonans first!,584,498,13,69,2,,2,93,2805106859558320,/story.php?story_fbid=2805106859558320&id=278490715553293
Martha McSally,,2020-02-22 21:38:21,Huge turnout and great evening at the Lincoln Day Dinner in Lake Havasu City! I always love meeting with Arizonans and hearing about the issues that matter most.,720,648,5,62,2,,3,58,2797359410333065,/story.php?story_fbid=2797359410333065&id=278490715553293
Martha McSally,,2020-02-21 21:05:09,"On stage at the President's rally earlier this week, I was proud to announce I’m answering his call to find ways to lower healthcare and prescription drug costs!  My plan will reduce out-of-pocket costs significantly for Arizona’s working families and senior citizens.",541,449,11,76,1,1,3,61,2795172093885130,/story.php?story_fbid=2795172093885130&id=278490715553293
Martha McSally,,2020-02-20 20:07:30,"Mark Kelly said he would stand with socialist Bernie Sanders, values Arizonans won’t stand for. We’re united and will vote for pro-job, pro-growth policies in 2020!",599,487,17,83,,1,11,76,2792921937443479,/story.php?story_fbid=2792921937443479&id=278490715553293
Martha McSally,,2020-02-20 17:01:19,"Proud to stand on the stage with President Donald J. Trump and receive his full endorsement! The economy is booming and great opportunities are being created under conservative leadership, which will be reversed under socialist policies and leaders like Mark Kelly and Bernie Sanders.",1.1K,896,24,172,1,1,13,95,2792673877468285,/story.php?story_fbid=2792673877468285&id=278490715553293
Martha McSally,,2020-02-20 12:37:21,"Thank you President Donald J Trump for coming to Arizona! We're seeing positive results in our state, and the best is yet to come. Vote to keep AZ red in November!",1.1K,896,19,188,2,,11,96,2792270057508667,/story.php?story_fbid=2792270057508667&id=278490715553293
Martha McSally,,2020-02-20 01:48:06,Great evening with President Donald J. Trump! Arizonans are fired up to Keep Arizona Great! 🇺🇸,2K,1.6K,22,371,5,2,6,133,2791266020942404,/story.php?story_fbid=2791266020942404&id=278490715553293
Martha McSally,,2020-02-18 20:58:02,Veterans for Trump are excited to welcome President Donald J. Trump to Phoenix tomorrow! 🇺🇸,651,534,16,92,2,2,5,46,2788846077851065,/story.php?story_fbid=2788846077851065&id=278490715553293
Martha McSally,,2020-02-18 15:13:07,Mark Kelly is too liberal for Arizona. First saying elections don’t matter…now saying he would support self-proclaimed Socialist Bernie Sanders?!?!  Arizonans want to keep our elections and our hard-earned money!,671,497,17,9,10,10,128,185,2788401884562151,/story.php?story_fbid=2788401884562151&id=278490715553293
Martha McSally,,2020-02-15 19:55:06,"Thank you for the warm welcome, Sun Lakes! Great to be here and give updates on my campaign to lower prescription drug costs, take care of our veterans and support pro-job policies.",440,400,8,24,1,,7,45,2782568228478850,/story.php?story_fbid=2782568228478850&id=278490715553293
Martha McSally,,2020-02-14 13:08:30,Happy birthday Arizona!🌵Blessed to call this amazing and adventurous state my home. Take some time today to enjoy everything this beautiful state has to offer!,644,568,2,72,,1,1,41,2779686548767018,/story.php?story_fbid=2779686548767018&id=278490715553293
Martha McSally,,2020-02-13 18:48:39,In case you missed it… I officially launched my campaign this week! Check out the video below and hear from the strong individuals who inspire me to continue serving in Senate!,373,322,8,41,1,1,,48,2777888025613537,/story.php?story_fbid=2777888025613537&id=278490715553293
Martha McSally,,2020-02-12 10:28:31,"Senator McSally's opponent FINALLY has an answer on something...and it’s the same as Socialists Bernie Sanders and Elizabeth Warren. Mark Kelly would have voted to convict the President and remove him from office and the 2020 ballot, falling in lock-step with liberals who don’t think the American voter can decide for themselves who their president should be.",497,346,10,13,9,9,110,164,2775023005900039,/story.php?story_fbid=2775023005900039&id=278490715553293
"Martha McSally,Martha McSally",Martha McSally,2020-02-11 19:40:36,"The positive support for our campaign launch today has been overwhelming! Thank you for everyone who is joining our campaign to unite Arizona and fight for Arizona values. Join our team today at https://www.mcsallyforsenate.com/.I am honored to serve as Arizona’s Senator, and I am very proud to call this beautiful, adventurous state my home. As Arizonans, there’s much more that unites us than divides us, which is why I’m launching this campaign to keep fighting for all Arizonans and make a difference on the issues that truly matter.",228,185,7,31,1,2,2,38,2773760552692951,/story.php?story_fbid=2773760552692951&id=278490715553293
Martha McSally,,2020-02-11 16:30:11,Martha McSally is fighting for Arizonans in the U.S. Senate and delivering results! Join our campaign today!,1.5K,1.3K,30,182,1,1,7,165,2773484479387225,/story.php?story_fbid=2773484479387225&id=278490715553293
Martha McSally,,2020-02-11 10:28:44,"I am honored to serve as Arizona’s Senator, and I am very proud to call this beautiful, adventurous state my home. As Arizonans, there’s much more that unites us than divides us, which is why I’m launching this campaign to keep fighting for all Arizonans and make a difference on the issues that truly matter.",452,357,23,64,,4,4,196,2772919702777036,/story.php?story_fbid=2772919702777036&id=278490715553293
Martha McSally,,2020-02-09 23:47:00,Busy weekend spent registering voters at the Chinese Culture & Food Festival in Phoenix and the Air Fair in Buckeye!,565,517,4,42,1,,1,83,2769945816407758,/story.php?story_fbid=2769945816407758&id=278490715553293
"Martha McSally,PBS NewsHour",PBS NewsHour,2020-02-04 22:29:14,"Nancy Pelosi can tear up President Donald J. Trump's speech but not President Trump's record she knows she can't beat. Disrespectful.WATCH: At the end of President Trump's State of the Union address, House Speaker Nancy Pelosi tears up her copy of the speech. #SOTU More: https://to.pbs.org/2UxbleG",578,411,43,27,1,15,81,250,2760508000684873,/story.php?story_fbid=2760508000684873&id=278490715553293
Martha McSally,,2020-02-01 19:28:54,Team McSally is busy this beautiful Saturday - out knocking doors in Gila Bend!,671,608,6,52,,1,4,96,2752916971443976,/story.php?story_fbid=2752916971443976&id=278490715553293
Martha McSally,,2020-01-29 21:22:13,"Great win for our state and country, proud to be a ‘yes’ vote to create more jobs and trade for Arizona!",850,746,9,88,1,1,5,118,2747058342029839,/story.php?story_fbid=2747058342029839&id=278490715553293
Martha McSally,,2020-01-27 15:44:42,Here’s my continued pledge to you – to tell you the truth. To explain my votes. And to call ‘em like I see ‘em!,1.4K,1.2K,32,210,2,4,18,376,2742594269142913,/story.php?story_fbid=2742594269142913&id=278490715553293
