source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
,,2020-05-01 16:02:32,"With a successful career as a CPA, I have had the honor and privilege of working with and advising many American’s in successfully achieving the American Dream! Let me share the secret of achieving the American Dream - every single American has the power to achieve it, and yes, there is a secret to achieving it.  Because I believe in you and have faith in every single person, I want to share that secret with you today! Meet McLeod for US Senate",10,10,,,,,,,1279593848915673,/story.php?story_fbid=1279593848915673&id=110815393808175
Elizabeth McLeod for Senate,,2020-04-29 17:02:24,"First, I want to thank each of you for being apart of this page and campaign!  My greatest desire is to earn the trust of every single Tennessean between now and November.  It would be my greatest honor to serve and work for you as your CPA in the United States Senate. I appreciate you all for being apart of the journey so far, and I hope that you could do me a huge favor and help me grow this FB audience organically (i.e. - no monetary cost).  If you could invite your friends to like my page, I would be so honored and thankful.  If you would like to help out, here is how to do it: Make sure you are on my campaign page ""Elizabeth McLeod for Senate"" - Scroll across the top, and go to ""COMMUNITY"" - Click ""INVITE FRIENDS"" - Click ""ALL"" (or you can be selective) - Wait a few seconds as the invitations are all sent out Every page like is an additional exposure, who could then organically grow the audience - so don't feel like you have to be selective to strictly Tennesseans - every person on your friend list is welcome to join! Thank you all for your continued support and encouragement!  I truly appreciate each of you!",16,14,,2,,,,,153227789566935,/story.php?story_fbid=153227789566935&id=110815393808175
Elizabeth McLeod for Senate,,2020-04-29 11:06:44,"Some say, “A picture is worth a thousand words.”   Which sweet potato would you rather chow down on?  While grocery shopping this morning, I placed the two beautifully plump (ORGANIC) sweet potatoes onto of the pile of sweet potatoes grown in soil that is subjected to heavy use of man made chemicals (pesticides, herbicides, etc. - industrialized agriculture standards). Quoting the farmer from yesterday’s post - “Sustainability is a lie,” and the picture below is just a small confirmation of that statement.  You see, Industrialized Agriculture was “sold” to our farmers (and us) as a technological miracle that would speed up production and out produce natural organic farming in both quality and quantity...fast forward a little more than 100 years from its conception - 100+ years of chemically removing natural nutrients in our soil (we get our proper micronutrients from the soil in which our plant crops are grown - our strong and healthy immune system requires these for optimal performance).  As you can see, the heavy use of these chemicals has resulted in crops that are not as fruitful in quality or quantity.   Both pictured below are products grown in the USA.  The organic farmer here has been farming organically for a very long period, as shown by the size and beauty of the harvest! I wanted to go live while shopping this morning - one day, I’ll definitely do that...I had not “put my face on” this morning, so no unplanned live feed at the grocery 🙃. Let me hear your thoughts and comments below!  Unfortunately, I failed to grab the price difference...it’s absurd, though.  And the cost of my groceries this morning is not sustainable to the pocket book - which is the precise reason our organic food supply should be free of any form of Government Taxation at all levels, from the farm to the table.",4,4,,,,,,,153120449577669,/story.php?story_fbid=153120449577669&id=110815393808175
,,2020-04-29 15:51:12,"Unemployment Compensation - The True Cost of the Massive Expansion, Who Actually Pays the Bill, and its Long Term Economic Impact",13,11,,2,,,,,896986880713082,/story.php?story_fbid=896986880713082&id=110815393808175
"Elizabeth McLeod for Senate,Nick Beres NC5",,2020-04-29 21:57:38,Well said!,4,1,,,2,1,,,153312286225152,/story.php?story_fbid=153312286225152&id=110815393808175
Elizabeth McLeod for Senate,,2020-04-28 16:02:02,"Smells fishy!  With our food supply chain being forced into destruction, Pelosi sends legislators home which means needed action cannot be taken - you know, that branch of government that is tasked with law making that provides for the common defense of “We, The People.”   Without the proper branch of government in session, doing their jobs, is Pelosi setting up Trump to take action with Executive Order, only to “investigate” later for abusing his power?   And, why do I feel Nancy’s outfit calls for a hip holster?  Scary, she hates guns, but she sure is loving the Cowboy era looking mask 🤷‍♀️.",13,7,1,1,,1,3,,152863612936686,/story.php?story_fbid=152863612936686&id=110815393808175
Elizabeth McLeod for Senate,,2020-04-20 18:03:40,A compelling word from the Farmers.  A must watch farming documentary that dives into the problematic world of Industrialized Agriculture and explore the difficulties of the Organic Farmer.,1,1,,,,,,,150104413212606,/story.php?story_fbid=150104413212606&id=110815393808175
Elizabeth McLeod for Senate,,2020-04-20 16:59:29,"What Big Pharma and the ""Politician's"" they own don't want you to know.  Check out how Chris Beat Cancer without Chemo or Radiation.  In this 11 minute video, he details the source of our bad health.   The simple truth of how our health care system cannot be fixed by Government regulation of the healthcare industry.  It's time to give us back our clean food supply - it must be affordable and assessible to every sing American. https://youtu.be/_k3B0y0tjCg",1,1,,,,,,,150090523213995,/story.php?story_fbid=150090523213995&id=110815393808175
,,2020-04-20 16:04:43,"One word - Dumbfounded.   Holding China accountable - Time to go old school and Flex our American Muscle. Big Brother Is Watching You, 2020 style.  Drones?  Contact Tracing?  CARES Act currently costing each American Taxpayer approx $13,500. Is Groundhog Day over yet?",14,11,,3,,,,,236220820827464,/story.php?story_fbid=236220820827464&id=110815393808175
Elizabeth McLeod for Senate,,2020-04-20 14:26:10,"Drones being used by our Government(s) to spy on us for lockdown purposes - is that even Constitutional?  I have a problem with both parts.  The 2nd Amendment was a right given to “We, The People” in order to defend against an oppressive and large Government - can we target practice?  I’m sure we’d be charged with a crime and held accountable...when will the Government be held accountable for their overreach? Welcome to the new 1984, “Big Brother is watching you” with the assistance of drones.",1,1,,,,,,,150058356550545,/story.php?story_fbid=150058356550545&id=110815393808175
