source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Mick Rich,,2020-03-06 10:26:57,EDUCATION - Our schools are failing our youngest generation. I support our teachers and greater local control of our schools. #MickRich2020 https://mickrich2020.com/policy/,72,24,1,,1,10,36,19,2851981491548109,/story.php?story_fbid=2851981491548109&id=966291493450461
Mick Rich,,2020-03-05 10:58:15,"When Joe brought Beto onstage, he signaled he was no longer a moderate but far left. Michelle Luján Grisham’s legislation in 2019 & 2020 made it clear she is no longer a moderate but far left. As they say: “Hold tight onto your guns if Uncle Joe and the Crazy Cousins, Ben Ray & Michelle, knock on your door”  https://www.abqjournal.com/1427748/nm-governor-wants-democratic-nominee-who-can-unify.html",129,49,1,1,6,4,68,25,2841149902631268,/story.php?story_fbid=2841149902631268&id=966291493450461
Mick Rich,,2020-03-04 17:08:39,My Hobbs and Alamogordo visits display the diversity all of what New Mexico has to offer.   As your U.S. Senator I will work with you all to bring New Mexico together with friendships through shared culture. #MickRich2020,39,36,,3,,,,,2822546567824935,/story.php?story_fbid=2822546567824935&id=966291493450461
Mick Rich,,2020-03-04 12:25:49,"Mick Rich who has created over 7,000 jobs  Vs.  Ben Ray Luján who has no problem taking money from New Mexicans. #MickRich2020 🇺🇸",274,136,34,,6,7,91,45,2820944347985157,/story.php?story_fbid=2820944347985157&id=966291493450461
Mick Rich,,2020-03-03 23:03:21,"THIS. Is this what you want, New Mexico? Denying health care to babies who survive botched abortions? This is Ben ray Luján's way. But it's not New Mexico's way. Vote human: VOTE MICK RICH. https://www.foxnews.com/politics/house-dems-bill-born-alive-abortion?",237,63,,1,5,31,137,23,2819484618131130,/story.php?story_fbid=2819484618131130&id=966291493450461
Mick Rich,,2020-03-03 17:52:38,"Democratic Party radicalism isn't limited to Bernie Sanders. The entire party leadership has shifted far left, alienating many voters. Joe Biden promised a gun control post to Beto O'Rourke – who promised that the federal government will forcibly seize semi-automatic rifles. https://tinyurl.com/r3wfcne",77,23,1,2,7,2,42,7,2818443051568620,/story.php?story_fbid=2818443051568620&id=966291493450461
Mick Rich,,2020-03-03 10:05:26,Navajo/New Mexico farmers deserve better from the Fed and NMED. Ben Ray Luján has been a disaster for New Mexico’s 3rd Congressional District.  Ben Ray wants to push a federal “Green New Deal” and can’t even address local issues.  Mick Rich is the most knowledgeable Senate candidate to improve New Mexico’s vast and diverse economy.   https://mickrich2020.com/volunteer-mick-rich-us-senate/,177,59,2,2,7,23,84,13,2818563051556620,/story.php?story_fbid=2818563051556620&id=966291493450461
Mick Rich,,2020-03-02 11:35:41,The time is now to stop Ben Ray Luján from ruining our country. He now has the support of Nancy Pelosi to funnel PAC money into his bid to be New Mexico's US Senator.   With your donations to #MickRick2020 for U.S senate we can save New Mexico. https://secure.anedot.com/mick-rich-2020/donate,325,87,7,2,9,11,209,90,2816569258422666,/story.php?story_fbid=2816569258422666&id=966291493450461
Mick Rich,,2020-03-01 14:32:38,There’s no greater power in the world than democracy!  Remember to exercise your vote and to conserve New Mexico values.  Vote #MickRich2020 #USsenate,78,67,,11,,,,2,2814625925283666,/story.php?story_fbid=2814625925283666&id=966291493450461
Mick Rich,,2020-02-29 18:59:22,"18 years. 5 U.S. Presidential terms. But only President Trump did what it takes to remove our troops from a pointless, un-winnable war – the longest war in U.S. history. President Trump delivers on his promises. Join + support Mick's campaign to support President Trump from the U.S. Senate! https://mickrich2020.com/ https://www.washingtonpost.com/world/asia_pacific/afghanistan-us-taliban-peace-deal-signing/2020/02/29/b952fb04-5a67-11ea-8efd-0f904bdd8057_story.html",97,95,,2,,,,5,2811738802239045,/story.php?story_fbid=2811738802239045&id=966291493450461
Mick Rich,,2020-02-29 17:06:34,"A Democratic woman's advice to the Democratic presidential candidates: “I feel like they would really gain a lot more votes if they would just drop the gun-control crap.” Or, they simply could VOTE REPUBLICAN. Join + support Mick's campaign to support President Trump from the U.S. Senate! https://mickrich2020.com/ https://www.abqjournal.com/1425709/liberal-gun-owners-face-dilemma-in-2020-field.html",36,34,1,1,,,,1,2811623612250564,/story.php?story_fbid=2811623612250564&id=966291493450461
Mick Rich,,2020-02-29 15:17:58,30 miles down. More to go. President Trump will be re-elected. We will secure our southern border. Join + support Mick's campaign to support President Trump from the U.S. Senate! https://mickrich2020.com/ https://www.abqjournal.com/1425915/30-miles-of-replacement-border-wall-complete-in-new-mexico-ex-thirtysix-more-miles-remain-to-be-erected-during-the-current-project.html,37,34,,3,,,,4,2811513955594863,/story.php?story_fbid=2811513955594863&id=966291493450461
Mick Rich,,2020-02-29 13:14:25,"Bernie Sanders, in a 1980s speech to Vermont Law School students, called for “the rejection of the Democratic and Republican parties.” New Mexico Democrats: YOUR PARTY HAS ABANDONED YOU. Time to walk away. https://www.foxnews.com/opinion/justin-haskins-socialist-sanders-is-the-most-dangerous-major-party-presidential-contender-in-us-history",145,92,2,1,9,3,38,16,2811773732235552,/story.php?story_fbid=2811773732235552&id=966291493450461
Mick Rich,,2020-02-29 08:16:09,"Mick Rich has created more than 7,000 good-paying jobs in New Mexico, and has paid $20 million in gross receipts taxes to our state.  With increased federal infrastructure investments and more of President Trump's deregulation, New Mexico’s potential knows no bounds!",101,92,2,7,,,,4,2811532332259692,/story.php?story_fbid=2811532332259692&id=966291493450461
Mick Rich,,2020-02-27 15:05:36,"""Of the millions of jobs created since Trump’s election, an incredible 85% went to citizens of color. Because of the newfound broader prosperity in America, nearly two-thirds of all new homeowners last year were Hispanic."" Yet Democrats like Ben Ray Luján – and amazingly, even some Republicans – continue to claim their ethnicity is a reason to elect them. SAD! https://www.realclearpolitics.com/articles/2020/02/27/dour_democrats_play_the_race_card_142498.html",133,52,1,1,5,10,64,13,2807429496003309,/story.php?story_fbid=2807429496003309&id=966291493450461
