source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Paula Overby for US Senate,,2020-05-01 15:33:08,Green energy is not really the issue! https://www.youtube.com/watch?v=Bop8x24G_o0,,,,,,,,,2770594909830712,/story.php?story_fbid=2770594909830712&id=1459795827577300
Paula Overby for US Senate,,2020-04-30 20:35:34,"Democrats’ obstacle to pushing Biden aside is Bernie Sanders. The Vermont senator was the runner-up in the primaries, and continues to hold onto his delegates. Democratic leaders do not want to see Sanders resurgent.",,,,,,,,,2769881873235349,/story.php?story_fbid=2769881873235349&id=1459795827577300
Paula Overby for US Senate,,2020-04-29 18:20:25,"People love nostalgia.  Let's bring back @JoeBiden, @BarackObama, and @HillaryClinton. We'll be careful to leave out Bill and Monica.  And all the millennials say, ""Who?""  #Bernie2020",,,,,,,,,2768822386674631,/story.php?story_fbid=2768822386674631&id=1459795827577300
Paula Overby for US Senate,,2020-04-29 13:10:02,JoeBiden gets coveted Hillary Clinton endorsement.,,,,,,,,,2768620006694869,/story.php?story_fbid=2768620006694869&id=1459795827577300
Paula Overby for US Senate,,2020-04-29 06:00:01,,1,1,,,,,,,2768327200057483,/story.php?story_fbid=2768327200057483&id=1459795827577300
Paula Overby for US Senate,,2020-04-28 19:14:44,common cause!,,,,,,,,,2767977183425818,/story.php?story_fbid=2767977183425818&id=1459795827577300
Paula Overby for US Senate,,2020-04-28 17:51:16,"“Politics is a great, albeit painful, example of social contract disengagement. Politicians on both sides of the aisle are making laws that they’re not required to follow or that don’t affect them, they’re engaging in behaviors that would result in most of us getting fired, divorced or arrested. They’re espousing values that are rarely displayed in their behavior. And just watching them shame and blame each other is degrading for us. They’re not living up to their side of the social contract and voter turnout statistics show that we’re disengaging.” ~ Brene Brown ~",,,,,,,,,2767920773431459,/story.php?story_fbid=2767920773431459&id=1459795827577300
Paula Overby for US Senate,,2020-04-28 15:04:10,"Anyone who understands the poor working conditions in these plants would know they were a hotbed for the corona virus. Minnesota Governor Walz and others ignored the problem until it became an epidemic  Who's getting protection, really does matter!",,,,,,,,,2767815206775349,/story.php?story_fbid=2767815206775349&id=1459795827577300
Paula Overby for US Senate,,2020-04-27 22:26:20,Where is @joebiden going to get his campaign funds?  https://www.youtube.com/watch?v=ymzHW4xZ6hc,,,,,,,,,2767163196840550,/story.php?story_fbid=2767163196840550&id=1459795827577300
"Paula Overby for US Senate,Silvers for Sanders",,2020-04-19 05:13:52,Endorse Bernie Sanders!We will tend the fire. 🔥 #NotMeUs,,,,,,,,,2764471877109682,/story.php?story_fbid=2764471877109682&id=1459795827577300
Paula Overby for US Senate,,2020-04-24 05:46:40,,,,,,,,,,2763725100517693,/PaulaForSenate/photos/a.1506327866257429/2763725100517693
Paula Overby for US Senate,,2020-04-23 23:07:37,Fear is not a valid method of creating widespread public support for effective social policy!   There are valid reasons why many people have reservations about the extreme measures applied to isolating people.,,,,,,,,,2763517547205115,/story.php?story_fbid=2763517547205115&id=1459795827577300
Paula Overby for US Senate,,2020-04-23 22:29:40,Our revolution is the movement of Bernie Sanders and the progressive caucus of the DFL endorses that agenda.  I am proud to be endorsed by these organizations and proud to continue the campaign for social and economic justice in America and American Politics.,,,,,,,,,2763493040540899,/story.php?story_fbid=2763493040540899&id=1459795827577300
Paula Overby for US Senate,,2020-04-28 15:09:25,Democrats hoping to sweep into office like FDR on the heels of the next Great Depression ought to ask themselves why they are attacking their new deal candidate. #Bernie2020 He's still in the primary!,2,2,,,,,,,2767818586775011,/story.php?story_fbid=2767818586775011&id=1459795827577300
Paula Overby for US Senate,,2020-04-28 00:29:16,you would think this kind of talent would be ready for a pandemic.,5,3,,,,,2,,2767242516832618,/story.php?story_fbid=2767242516832618&id=1459795827577300
Paula Overby for US Senate,,2020-04-23 22:27:08,,,,,,,,,,2763491513874385,/PaulaForSenate/photos/a.1506327866257429/2763491513874385
Paula Overby for US Senate,,2020-04-22 13:11:12,We gave young people $1.6 trillion in student debt. Now we are asking them to pay for our Medicare.  It's absurd!  #wheresJoe,,,,,,,,,2761945804028956,/story.php?story_fbid=2761945804028956&id=1459795827577300
Paula Overby for US Senate,,2020-04-22 13:00:02,These are desperate times and desperate times call for desperate measures.  It's not too late for the Democrats to put Sanders back at the podium.  #BernieSanders2020,,,,,,,,,2761937904029746,/story.php?story_fbid=2761937904029746&id=1459795827577300
Paula Overby for US Senate,,2020-04-19 15:07:13,You don't get to negotiate after you've already endorsed your opponent.  Democrats had 8 years to do what they claim they are going to do now.,,,,,,,,,2759186364304900,/story.php?story_fbid=2759186364304900&id=1459795827577300
Paula Overby for US Senate,,2020-04-19 14:53:59,"If Biden is so electable, why do the Centrists need the Progressive vote?",1,1,,,,,,,2759176700972533,/story.php?story_fbid=2759176700972533&id=1459795827577300
Paula Overby for US Senate,,2020-04-15 16:48:06,This is how we celebrate success! A new subsidy of one medication in the midst of a pandemic that demonstrates to us a healthcare system that is totally inadequate. https://walzflanagan.org/bill-signing/,,,,,,,,,2755432254680311,/story.php?story_fbid=2755432254680311&id=1459795827577300
Paula Overby for US Senate,,2020-04-14 18:14:50,"In these challenging times, I want to share important info re: financial support for self employed.",,,,,,,,,2754509231439280,/story.php?story_fbid=2754509231439280&id=1459795827577300
Paula Overby for US Senate,,2020-04-18 00:05:34,,2,2,,,,,,,2757718491118354,/story.php?story_fbid=2757718491118354&id=1459795827577300
Paula Overby for US Senate,,2020-04-15 23:14:35,Spring is coming.  Be patient.  This is a really great time for being patient!,1,1,,,,,,,2755686151321588,/story.php?story_fbid=2755686151321588&id=1459795827577300
Paula Overby for US Senate,,2020-04-10 20:06:26,A little protest music ought to help right now!,,,,,,,,,2750656078491262,/story.php?story_fbid=2750656078491262&id=1459795827577300
Paula Overby for US Senate,,2020-04-13 21:55:50,,3,1,,,2,,,,2753637001526503,/story.php?story_fbid=2753637001526503&id=1459795827577300
"Paula Overby for US Senate,Decorp Henry,Our Revolution Twin Cities",,2020-04-10 22:57:40,"1 thing Bernie suspending does give us is more time and opportunity to support our state and local progressives like Paula Overby, David Sandbeck, and Yolanda Roth.  Those Bernie signs can be tweaked with a bit of paint, paper, or both.",2,2,,,,,,,2750756565147880,/story.php?story_fbid=2750756565147880&id=1459795827577300
Paula Overby for US Senate,,2020-04-04 23:06:50,Of course it's not a cure for Covid 19 but it's still good for the soul and nobody is buying #ChickenNoodleSoup. https://www.cnn.com/2020/02/18/health/nebraska-coronavirus-unmc-chicken-soup/index.html?fbclid=IwAR2BfOdwT2Su-5KGMfmMo7TAetYyRu0zGSsXbodX7bgD2bB71zAVemASNYY,,,,,,,,,2745279639028906,/story.php?story_fbid=2745279639028906&id=1459795827577300
Paula Overby for US Senate,,2020-04-03 02:18:31,while the environment takes it's first deep breath in decades.,,,,,,,,,2743643719192498,/story.php?story_fbid=2743643719192498&id=1459795827577300
Paula Overby for US Senate,,2020-04-10 22:04:26,Is this really the best candidate the Democrats could produce. A man who sticks his finger in your face.  Are there any democrats feeling more than a little embarrassed by this.  How much abuse can people endure for the sake of unity?,4,4,,,,,,,2750726921817511,/story.php?story_fbid=2750726921817511&id=1459795827577300
"Paula Overby for US Senate,Meg Slay",,2020-04-08 16:26:19,,1,1,,,,,,,2749946555228881,/story.php?story_fbid=2749946555228881&id=1459795827577300
Paula Overby for US Senate,,2020-04-09 00:00:19,It ain't over til it's over and it ain't over until social justice prevails!  #BernieSanders  https://vocal.media/theSwamp/bernie-s-winning-strategy-suspend-his-campaign-while-continuing-to-collect-delegates,2,2,,,,,,,2748977548659115,/story.php?story_fbid=2748977548659115&id=1459795827577300
Paula Overby for US Senate,,2020-04-08 16:42:34,It's a sad day for #democracy,1,,,,,1,,,2748715708685299,/story.php?story_fbid=2748715708685299&id=1459795827577300
Paula Overby for US Senate,,2020-04-02 04:12:34,People don't want to believe that companies like Amazon see employees as expendable and their business model is based on continuous replacement. https://citizentruth.org/the-strike-wave-is-in-full-swing-amazon-whole-foods-workers-walk-off-job-to-protest-unjust-and-unsafe-labor-practices/?fbclid=IwAR2IgnE194t9qmZsBDIyf0C-ibsmaoaw161RHNBSPwgIdLnuLxc3sOni3oI,,,,,,,,,2742762762613927,/story.php?story_fbid=2742762762613927&id=1459795827577300
Paula Overby for US Senate,,2020-04-02 04:07:10,It simply illustrates how much our image of world's greatest health care system is based on marketing propaganda. Capitalism doesn't operate in any benevolent fashion just because people are dying. Capitalism's only concerns about dying would relate to potential lawsuits.,,,,,,,,,2742760425947494,/story.php?story_fbid=2742760425947494&id=1459795827577300
Paula Overby for US Senate,,2020-03-31 23:39:28,"Is @ewarren starting her own party?  ""Sign up to join Warren Democrats: http://lizwar.ren/1b8/5rem72""  Obviously, she is not going to support any existing progressive movement.",,,,,,,,,2741717269385143,/story.php?story_fbid=2741717269385143&id=1459795827577300
Paula Overby for US Senate,,2020-03-31 17:03:00,https://thegrayzone.com/2020/03/30/coronavirus-privatization-pandemic-national-security/,,,,,,,,,2741472049409665,/story.php?story_fbid=2741472049409665&id=1459795827577300
"Paula Overby for US Senate,Meg Slay",,2020-04-04 20:46:17,No comment.,4,4,,,,,,,2745449892345214,/story.php?story_fbid=2745449892345214&id=1459795827577300
Paula Overby for US Senate,,2020-04-04 22:34:25,Why isn't anybody buying chicken noodle soup?,1,1,,,,,,,2745262172363986,/story.php?story_fbid=2745262172363986&id=1459795827577300
Paula Overby for US Senate,,2020-04-01 14:06:03,Is there any limit on how much we should spend on war?,4,3,,,,,1,,2742256492664554,/story.php?story_fbid=2742256492664554&id=1459795827577300
Paula Overby for US Senate,,2020-03-30 21:49:44,It's nice to see these corporate fraud cases being prosecuted but I know they are barely scratching the surface.,,,,,,,,,2740733926150144,/story.php?story_fbid=2740733926150144&id=1459795827577300
Paula Overby for US Senate,,2020-03-30 14:33:24,"All the DNC candidates said ""let the process play out.""   Now they want to call it. https://www.youtube.com/watch?v=0yKSmWDDwcM",,,,,,,,,2740388956184641,/story.php?story_fbid=2740388956184641&id=1459795827577300
Paula Overby for US Senate,,2020-03-30 13:55:08,Healthcare costs have risen 55% since the last recession in 2008.  You can bet things will get back to normal when this pandemic subsides.,,,,,,,,,2740358519521018,/story.php?story_fbid=2740358519521018&id=1459795827577300
Paula Overby for US Senate,,2020-03-28 04:08:31,"We have a major recession every 10 years, each worse than the one before.  This one in'ts all that different than the last one.  2.6 million people lost their jobs and there were 3.1 million home foreclosures.  Recession is when rich people cash out.  In 10 yrs you'll be back to where you were a month ago.",,,,,,,,,2738004419756428,/story.php?story_fbid=2738004419756428&id=1459795827577300
Paula Overby for US Senate,,2020-03-23 23:39:50,Since the young people are far less vulnerable to the corona virus maybe it can give them an edge in the upcoming primaries.  They deserve a break.  #Bernie2020,,,,,,,,,2733852656838271,/story.php?story_fbid=2733852656838271&id=1459795827577300
Paula Overby for US Senate,,2020-03-23 01:28:01,,,,,,,,,,2732904290266441,/story.php?story_fbid=2732904290266441&id=1459795827577300
,,2020-03-22 17:59:53,"https://www.facebook.com/berniesanders/videos/3213014118923040/AOC, OMAR, TLAIB AND BERNIE ON CORONAVIRUS: This is an unprecedented moment and we have got to think in an unprecedented way. Join our livestream on the coronavirus response with Reps. Alexandria Ocasio-Cortez, Ilhan Omar and Rashida Tlaib, featuring musical guests including Grandson.",,,,,,,,,2732731836950353,/story.php?story_fbid=2732731836950353&id=1459795827577300
"Paula Overby for US Senate,Clifford Luster,Minnesota for Bernie Sanders 2020,Sheila Price,STOP BIDEN",,2020-03-23 23:42:16,"In the 2008 sub prime mortgage crisis we bailed out the banks and the billionaires.  We can not afford to do that again!💙 Bernie is not afraid to answer questions on LIVE TV! He’s f**king dealing with a global pandemic! “Sen. Sanders tells Chris Hayes, ‘Our job is to act in an unprecedented way, both in terms of healthcare and the economy.’ “ March 23, 2020 #Bernie2020",1,,,1,,,,,2733854610171409,/story.php?story_fbid=2733854610171409&id=1459795827577300
Paula Overby for US Senate,,2020-03-21 16:42:40,Definitely!,3,2,,1,,,,,2731537583736445,/story.php?story_fbid=2731537583736445&id=1459795827577300
"Paula Overby for US Senate,Courtney Overby",,2020-03-21 01:35:44,Requiring that students pay 1200 a semester in healthcare is bullshit. we barely have any income at all and you want us to take out student loans for that? also I've basically used that $1200 on one check up visit and don't get eye care benefits or dental... wtf is wrong with this system yall...,,,,,,,,,2730923527131184,/story.php?story_fbid=2730923527131184&id=1459795827577300
Paula Overby for US Senate,,2020-03-15 00:23:14,,,,,,,,,,2725104281046442,/story.php?story_fbid=2725104281046442&id=1459795827577300
Paula Overby for US Senate,,2020-03-21 16:38:00,There are some species that will eat their own young.  Sometimes ti seems like humans may be among them.,2,1,,1,,,,,2731534203736783,/story.php?story_fbid=2731534203736783&id=1459795827577300
Paula Overby for US Senate,,2020-03-20 23:10:07,This is a little long but it's a fairly easy to understand explanation of why nobody's got any money.  Also explains why I'm not a big fan of the carbon tax. https://www.rollingstone.com/politics/politics-news/the-great-american-bubble-machine-195229/,3,1,,2,,,,,2730831473807056,/story.php?story_fbid=2730831473807056&id=1459795827577300
Paula Overby for US Senate,,2020-03-17 16:12:52,"What will be done to protect democracy during the ""new normal?"" https://www.lpmn.org/official-mn-minor-party-covid-19-emergency-declaration/",2,1,,1,,,,,2727647540792116,/story.php?story_fbid=2727647540792116&id=1459795827577300
Paula Overby for US Senate,,2020-02-21 23:21:07,She's a prosecutor! The one who represents the people is the public defender.,,,,,,,,,2704490663107804,/story.php?story_fbid=2704490663107804&id=1459795827577300
Paula Overby for US Senate,,2020-03-03 12:22:24,"Super Tuesday should be a national holiday, dedicated to ensuring the future of our young people, simple things like clean water, housing, healthcare, and education. #SuperTuesday",1,1,,,,,,,2714179595472244,/story.php?story_fbid=2714179595472244&id=1459795827577300
Paula Overby for US Senate,,2020-03-02 23:22:34,One man with a billion dollars has more power than a billion people with a dollar. - An American Proverb -,1,,,1,,,,,2713697395520464,/story.php?story_fbid=2713697395520464&id=1459795827577300
Paula Overby for US Senate,,2020-02-28 01:24:23,It's Paula's birthday.  Be sure to contribute to her Climate action message.,1,1,,,,,,,2710123495877854,/story.php?story_fbid=2710123495877854&id=1459795827577300
Paula Overby for US Senate,,2020-02-26 22:28:40,,1,1,,,,,,,2709104232646447,/story.php?story_fbid=2709104232646447&id=1459795827577300
Paula Overby for US Senate,,2020-02-22 19:59:46,"Tomorrow I'll be talking with Kimberly Mohan about Hemp cultivation, the challenges and regulations surrounding this relatively new opportunity. https://twitch.tv/msmirare",9,7,,2,,,,,2705287839694753,/story.php?story_fbid=2705287839694753&id=1459795827577300
Paula Overby for US Senate,,2020-02-19 19:21:00,Our latest video,,,,,,,,,2702401693316701,/story.php?story_fbid=2702401693316701&id=1459795827577300
Paula Overby for US Senate,,2020-02-14 22:09:32,"[Bernie's supporters]  it's a force that is truly something to behold. And also because it sets an example of something that could change the world, if people could just figure out a way to expand their grassroots information rebellion beyond the scope of a single candidate's presidential campaign.",,,,,,,,,2697865240437013,/story.php?story_fbid=2697865240437013&id=1459795827577300
Paula Overby for US Senate,,2020-02-11 01:55:01,,,,,,,,,,2694029647487239,/story.php?story_fbid=2694029647487239&id=1459795827577300
Paula Overby for US Senate,,2020-02-11 01:22:32,Highlight from Sunday's Live stream. The impact of war on the environment.,,,,,,,,,2694010864155784,/story.php?story_fbid=2694010864155784&id=1459795827577300
Paula Overby for US Senate,,2020-02-14 12:04:10,Nice to see Betty becoming more outspoken,4,3,,,1,,,,2697437380479799,/story.php?story_fbid=2697437380479799&id=1459795827577300
Paula Overby for US Senate,,2020-02-07 05:08:19,Is it all about climate or is that part of a bigger environmental problem?,,,,,,,,,2690224537867750,/story.php?story_fbid=2690224537867750&id=1459795827577300
,,2020-02-07 05:05:36,,,,,,,,,,3648826478491470,/events/3648826478491470?view=permalink&id=3648826491824802
Paula Overby for US Senate,,2020-02-01 08:13:39,https://youtu.be/IhI-trMRS7I,,,,,,,,,2684784178411786,/story.php?story_fbid=2684784178411786&id=1459795827577300
Paula Overby for US Senate,,2020-01-31 13:13:08,It's Campaign ad season again.  A good time for critical thinking.,2,1,1,,,,,,2684111855145685,/story.php?story_fbid=2684111855145685&id=1459795827577300
Paula Overby for US Senate,,2020-01-20 01:17:58,,,,,,,,,,2673249206231950,/story.php?story_fbid=2673249206231950&id=1459795827577300
Paula Overby for US Senate,,2020-01-24 19:22:25,Why women usually make better leaders.,2,1,,1,,,,,2677681359122068,/story.php?story_fbid=2677681359122068&id=1459795827577300
Paula Overby for US Senate,,2020-01-20 14:29:02,Martin Luther King talks about how the war on Vietnam defeated the war on poverby.,1,1,,,,,,,2673749509515253,/story.php?story_fbid=2673749509515253&id=1459795827577300
