source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Perkins for Congress,,2020-03-03 05:24:28,"Looking for 1,000 friends of Jo Rae Perkins. With over 4,000 on facebook, plus over 4,000 on Twitter, we are looking for just 1/8 of you to help send Mrs. Perkins to Washington! $100 is the commitment we need before the end of March. This is a very important deadline. Help her win the primary to unseat liberal Jeff Merkley. #PerkinsForUSSenate Website to donate is: https://www.PerkinsForUSSenate.Vote",,,,,,,,,2516578855257337,/story.php?story_fbid=2516578855257337&id=1556269487954950
Perkins for Congress,,2020-03-03 05:21:14,,,,,,,,,,822747694861215,/events/822747694861215?view=permalink&id=822747794861205
Perkins for Congress,,2020-03-05 01:07:11,,16,14,,2,,,,,2518031958445360,/story.php?story_fbid=2518031958445360&id=1556269487954950
Perkins for Congress,,2020-03-04 02:45:30,"Help us bust the doors off the vault as Perkins For U.S. Senate raises $100,000 by the end of March. Sounds almost impossible to you? All we need is for 1,000 people to donate $100.00. Or 2,000 people to donate $50.00 Or 500 @ $100 and 1,500 @$50.00; 4,000 at $25.00. Your donation today will help me secure the May 19th primary, then on to November 3rd to unseat @SenJeffMerkley. Donate today - copy and paste this link: https://www.PerkinsForUSSenate.Vote/Donate Jo Rae Perkins is a Main Street American, recently endorsed by Oregon Right to Life PAC and Alek Skarlatos for U.S. Representative in Congressional District 4, Oregon. #PerkinsForUSSenate #ProLife",2,2,,,,,,,2517284491853440,/story.php?story_fbid=2517284491853440&id=1556269487954950
Perkins for Congress,,2020-02-25 17:58:54,"Facebook will not let me change the page name to Perkins for US Senate. Since Perkins for Congress is technically correct, for now, I will accept their hardheadedness!!! #PerkinsForUSSenateOregon",11,10,,,1,,,2,2511633805751842,/story.php?story_fbid=2511633805751842&id=1556269487954950
Perkins for Congress,,2020-02-18 13:36:46,,3,3,,,,,,,1046678809023151,/events/1046678809023151?view=permalink&id=1046678812356484
Perkins for Congress,,2020-02-16 19:24:35,Marybeth Lundy showing her support for Jo Rae!        How do you show support for Jo Rae Perkins?,7,6,,1,,,,1,2504667096448513,/story.php?story_fbid=2504667096448513&id=1556269487954950
Perkins for Congress,,2020-02-16 19:10:26,Dale Hummel showing his support! Trump 2020! Perkins for Senate!,7,7,,,,,,,2504661283115761,/story.php?story_fbid=2504661283115761&id=1556269487954950
Perkins for Congress,,2020-02-16 11:58:25,At the Willamette Sportsman's Show in Albany.,39,36,,3,,,,,2504444806470742,/story.php?story_fbid=2504444806470742&id=1556269487954950
Perkins for Congress,,2020-02-15 23:14:20,,7,7,,,,,,,617343862386025,/events/617343862386025?view=permalink&id=617343872386024
Perkins for Congress,,2020-02-12 03:01:53,,1,1,,,,,,,586725812177604,/events/586725812177604?view=permalink&id=586725818844270
