source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Danielle Ravyn VanHelsing,,2019-08-31 11:25:07,"Hey all, just stopping by for an update as many are asking how to donate. I'm not doing traditional fundraising, it is impossible for me to compete with Collins financially. Please take anything you planned to give and donate it to a local school library, classroom, or scholarship program of some sort. Put your money to use in the same way I plan to help the future of our state and our nation when I win, by supporting our future generations.",8,6,,2,,,,,619691298434731,/story.php?story_fbid=619691298434731&id=223264221410776
"Danielle Ravyn VanHelsing,Progressive Maine",Progressive Maine,2019-04-29 12:41:25,Safe abortion access is essential. A womans body is her own and not grounds for legislative control.,13,9,,4,,,,3,550879211982607,/story.php?story_fbid=550879211982607&id=223264221410776
Danielle Ravyn VanHelsing,,2019-04-23 06:25:01,"As I wait for the supreme court to rule on my rights to not be discriminated against in the workplace I think of how far humanity could have come. We could be living in a time where everyone is treated equally as human beings but we must still fight over who deserves basic human rights, essentially deciding if someone is as human as everyone else. This is a sad and dangerous mentality. No one person has any greater value than any other. These futile attempts to take rights from others will be changed with time, as they always are, and are simply wasting valuable resources that could be used to accomplish great things as a species. Humanity spends far too much time on the trivial fact of life, easily distracted from those things which matter. We are better than this, let us hope the supreme court can see that.",3,3,,,,,,3,547663905637471,/story.php?story_fbid=547663905637471&id=223264221410776
Danielle Ravyn VanHelsing,,2019-04-20 06:47:51,"My goal in life is to salvage humanity as a whole. I want to bring as much peace to the world as possible. I want to save our climate and stop all the violence. I want everyone to be healthy and not suffer financially for wanting that for themselves, I want everyone to have food and a roof over their head. I want everyone to have access to quality education regardless of where they come from. These are some of the things that drive me, these are what makes me a good choice for Maine and for the United States.",4,4,,,,,,,546176025786259,/story.php?story_fbid=546176025786259&id=223264221410776
Danielle Ravyn VanHelsing,,2019-04-06 20:00:20,"Please help our school, donate and/or share. Books are essential to our children's development.",9,9,,,,,,,539605029776692,/story.php?story_fbid=539605029776692&id=223264221410776
Danielle Ravyn VanHelsing,,2019-04-06 11:52:25,Schools deserve adequate funding and teachers deserve better pay. We are hurting our future generations by not handling education right. That needs to change.,4,4,,,,,,,539444056459456,/story.php?story_fbid=539444056459456&id=223264221410776
Danielle Ravyn VanHelsing,,2019-04-03 21:22:39,,2,2,,,,,,,538160629921132,/story.php?story_fbid=538160629921132&id=223264221410776
Danielle Ravyn VanHelsing,,2019-03-28 09:37:34,"We need to reduce our environmental impact and stop climate change. Sustainable agriculture, alternative energy usage, transitioning to electric cars and providing charging stations across the state and the nation. We need grants for farmers to reduce the costs of sustainable equipment and farm upgrades. We need to encourage the purchasing of locally grown foods to reduce shipping impact on clean air. We need to start to turn the unused spaces in our cities into green spaces to power our lives and clean up the air. Assist in home repair and renovation project to improve energy usage in homes and reduce the ecological impact of poorly maintained and older homes, this also to improve the lives of those living in those situations. The list goes on and on. There are many other options that we have but our legislature in this country has put forth significant resistance to change thanks to oil and coal lobbying. We have the options we simply need to push for it as a nation. I will push for it because I care a great deal for this planet and every life on it. A vote for me is a vote for the planet and the future of humanity.",4,3,,1,,,,,535076293562899,/story.php?story_fbid=535076293562899&id=223264221410776
Danielle Ravyn VanHelsing,,2019-03-21 10:26:56,"As the only large developed nation in the world without universal healthcare we need to make that step. We have seen it, it has been tested, it works. Let's take care of our nations people.",4,4,,,,,,,531936803876848,/story.php?story_fbid=531936803876848&id=223264221410776
Danielle Ravyn VanHelsing,,2019-03-21 10:01:55,When voting in the next election remember that this is the kind of leadership we have now. This is delusional at best and why women need to always be involved in the discussion.,10,3,,,,,7,1,531927473877781,/story.php?story_fbid=531927473877781&id=223264221410776
Danielle Ravyn VanHelsing,,2019-03-19 14:34:55,"Do you want someone who cares, someone who can't be bought, how about someone who won't bow to being pushed? If you want strong and effective leadership... well you know where this is going. Vote for Danielle",7,6,,1,,,,,531098840627311,/story.php?story_fbid=531098840627311&id=223264221410776
Danielle Ravyn VanHelsing,,2019-03-18 12:43:01,,12,9,,3,,,,1,530627374007791,/story.php?story_fbid=530627374007791&id=223264221410776
Danielle Ravyn VanHelsing,,2019-03-18 12:18:00,"A few people have asked me about Collins, I have no interest in running a smear campaign. I may disagree with her but that doesn't mean I want to foster hate, there is more than enough of that in the world.",9,8,,1,,,,,530618680675327,/story.php?story_fbid=530618680675327&id=223264221410776
Danielle Ravyn VanHelsing,,2019-03-18 10:05:41,"Since funding for my campaign is likely to be stunted by the fact that I am trans and running as independant I am putting out a call to others for some help as follows. As the warmer weather comes and the snow melts we will find garbage along the roadsides. I am encouraging others to go out, gather friends, and collect that garbage and in the process save any redeemable cans and bottles to raise money for my campaign. This is an effort to push forward while also helping keep Maine beautiful and protecting our environment.",7,4,,3,,,,,530574050679790,/story.php?story_fbid=530574050679790&id=223264221410776
Danielle Ravyn VanHelsing,,2019-03-06 23:03:20,,,,,,,,,,525625204508008,/story.php?story_fbid=525625204508008&id=223264221410776
"Danielle Ravyn VanHelsing,Feminist News",Feminist News,2019-03-11 11:42:08,This is an accurate truthIt's really that simple.,11,8,,3,,,,,527931634277365,/story.php?story_fbid=527931634277365&id=223264221410776
"Danielle Ravyn VanHelsing,Holocaust and Human Rights Center of Maine - HHRC",Holocaust and Human Rights Center of Maine - HHRC,2019-03-07 20:58:33,"This is wonderful, we need to put an end to the racism in this country.We are proud of the Skowhegan School Board for their decision and very inspired by Maine’s Wabanaki leaders and community allies.",23,16,,7,,,,,527645164306012,/story.php?story_fbid=527645164306012&id=223264221410776
"Danielle Ravyn VanHelsing,Erin Lewis",Erin Lewis,2019-03-10 23:17:15,"Everyone deserves a living wage no matter the job. If you work you should also be able to live in some level of comfort.Say it again, for the mouth-breathers in the back!!!!!",3,3,,,,,,2,527408184329710,/story.php?story_fbid=527408184329710&id=223264221410776
Danielle Ravyn VanHelsing,,2019-03-10 22:05:00,This is unacceptable.,2,,,,1,,1,,527387364331792,/story.php?story_fbid=527387364331792&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-25 06:55:01,,,,,,,,,,521242721612923,/story.php?story_fbid=521242721612923&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-27 22:32:46,,4,3,,1,,,,,522405958163266,/story.php?story_fbid=522405958163266&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-12 23:10:00,,,,,,,,,,515573755513153,/story.php?story_fbid=515573755513153&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-24 13:23:52,#blackhistorymonth,1,1,,,,,,,520935001643695,/story.php?story_fbid=520935001643695&id=223264221410776
"Danielle Ravyn VanHelsing,Kevin Bozeat",Kevin Bozeat,2019-02-24 11:04:43,"It's time we fixed our system and caught up with the rest of the developed world.Went to the ER in TaiwanThe Horrors of Socialized Medicine: A first hand experience  A few days ago my stomach began to hurt. Thinking it would pass, I went home to try and rest for the night. A bit later I vomited. I thought that was the end of it.  But for the rest of the night, I kept vomiting almost every 30-40 minutes. Even after my stomach was completely empty, I kept vomiting. Soon it was nothing but stomach fluid and bile. I tried to drink water to stay hydrated, but I kept throwing it up, no matter how hard I tried to keep it down.  By 3am I had severe stomach cramps, my body kept trying to vomit even though there was nothing left. I was dizzy and light-headed. My symptoms showed no signs of abating.  At this point I had to seek medical treatment, I knew I had to go to the hospital.  I wanted to avoid it. I had no idea how different Taiwanese hospitals would be, whether I would be able to find an English speaking doctor, or what it would cost me (my US health insurance has lapsed and I don't qualify for Taiwanese NHI).  My Taiwanese roommate called a taxi and took me to the ER at NTU Hospital. I was immediately checked-in by an English speaking nurse. Within 20 minutes I was given IV fluids and anti-emetics. They took blood tests and did an ultrasound to ensure it wasn't gall stones or appendicitis. From there I was given a diagnosis: a particularly severe case of Acute Viral Gastroenteritis (aka the stomach flu). After about 3 hours on an IV, I began to feel slightly better, my nausea disappeared and my stomach began to calm down. I was discharged with a prescription for anti-emetics and pain medication. Each day since Ive gotten progressively better and am now pretty much back to normal.  The bill for the ER visit?...  US$80.00  Eighty. American. Dollars. Out of pocket. Full cost. No discounts. No insurance.  At one of the best hospitals in Taiwan.  And if I had NHI, it would have been a fraction of that.  This could have easily cost me hundreds or even thousands in the US without insurance. But here in Taiwan I was able to receive speedy, quality care comparable to what I would have gotten in a US hospital for relatively small amount of money.  Given this experience, I no longer have a reason to fear or hesitate getting care in Taiwan should I ever need it.  America, it's time to stop making excuses.",5,5,,,,,,,520878348316027,/story.php?story_fbid=520878348316027&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-24 07:23:49,"This nation needs accountable and honest leadership. In a democracy, elected officials serve the people they do not rule them and they study the facts and benefits before making decisions that deeply affect the lives of constituents. A vote for me is a vote for a better future for everyone #MePolitics",5,5,,,,,,,520791224991406,/story.php?story_fbid=520791224991406&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-21 19:31:39,A dear friend of mine is on the verge of being homeless with her entire family. Please help if you can or share if you are unable to help financially.,1,,,1,,,,,519685231768672,/story.php?story_fbid=519685231768672&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-21 09:34:10,"This is not good for Maine, Janet Mills. We need to protect our land and natural beauty. The power from this is not even for residents of this state. You should reconsider this agreement for the better of Maine.",1,1,,,,,,4,519488315121697,/story.php?story_fbid=519488315121697&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-18 09:03:47,Image credit ,5,4,,1,,,,,518110288592833,/RavynVanHelsing/photos/a.223265348077330/518110288592833
Danielle Ravyn VanHelsing,,2019-02-17 09:06:12,This is beautiful. Trans rights are human rights,35,20,,15,,,,1,517673708636491,/story.php?story_fbid=517673708636491&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-15 06:24:43,"I believe a national emergency should happen but not for a wall to stroke the presidents ego. We need a national emergency for gun violence, rampant homelessness, crippling poverty, climate change. These are some real issues that are damaging our country, not immigration.",14,14,,,,,,,516667578737104,/story.php?story_fbid=516667578737104&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-09 12:31:24,When I win this will change.,23,18,,3,,2,,,513927032344492,/story.php?story_fbid=513927032344492&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-07 11:40:12,"The president says one of our greatest achievement was the ""abolition of civil rights"". This was clearly a Freudian slip from a man that has only hatred in his heart and that is his dream goal for this presidency.",3,,1,,,2,,2,512931042444091,/story.php?story_fbid=512931042444091&id=223264221410776
Danielle Ravyn VanHelsing,,2019-02-05 23:02:55,A man that lies more than he speaks truth it is important to always be mindful of this.,9,8,1,,,,,,512182945852234,/story.php?story_fbid=512182945852234&id=223264221410776
Danielle Ravyn VanHelsing,,2019-01-30 17:44:00,If you are able to offer support please do! I am going up against some big odds and every little bit will help us move forward.,8,7,,1,,,,7,509117222825473,/story.php?story_fbid=509117222825473&id=223264221410776
Danielle Ravyn VanHelsing,,2019-01-26 07:26:30,"For those that are confused about why being transgender is involved in any mention of me. That fact is specifically important to the trans community, if you're not trans and don't get it that's why. A marginalized community needs to know they can do and be more than just that.",34,21,,13,,,,5,507048493032346,/story.php?story_fbid=507048493032346&id=223264221410776
Danielle Ravyn VanHelsing,,2019-01-25 21:20:17,"Some of my platforms for those interested. Jobs: My biggest focus for job growth in Maine has always been the infrastructure. Most of Maine still has dialup, if internet at all. The portions with high-speed internet are subpar compared to other states. This hinders the ability for Maine businesses to compete in the market and certainly, with spotty cell service, bad roads, and crumbling bridges, businesses are not interested in coming here thus stunting job growth options and causing the state to stagnate and fall behind the rest of the country. If we fix our entire infrastructure we provide a space that businesses will be attracted to and willing to invest in. Education: My big focus for education in Maine is to ensure all public schools have adequate funding across the state and that higher education is more affordable and accessible for everyone. One of the biggest drains on the state job market stems from out of state colleges being more affordable and drawing people out of the state, that combined with better job opportunities people tend to choose not to return. This goes hand in hand with my plans for the job market in Maine above. Healthcare: Healthcare is a human right and no one deserves to remain sick and/or die as a result of the cost of medicine and medical care. Everyone has a right to a happy and healthy life. I will work to ensure this is the case for everyone in the state of Maine.",15,11,,4,,,,3,506871859716676,/story.php?story_fbid=506871859716676&id=223264221410776
Danielle Ravyn VanHelsing,,2019-01-24 15:19:35,,36,27,,9,,,,4,506322616438267,/story.php?story_fbid=506322616438267&id=223264221410776
Danielle Ravyn VanHelsing,,2019-01-23 10:46:37,It is not a sacrifice it is forced labor. These workers have been ordered back to work and if they do not go they will be fired. This is a tragedy.,4,4,,,,,,,505800953157100,/story.php?story_fbid=505800953157100&id=223264221410776
