source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Ric 4 Senate Tx,,2019-10-14 11:15:24,"In today’s web world, the mirage MeDuSa policy of concrete-problems concrete-solutions only multiplies challenges. Solely the revealed PaRaDiSe approach can provide the garden World. https://www.youtube.com/watch?v=ReoA1hPjP_I&t=4s G’d bless.  www.YouTube.com/user/Ricturbon3",,,,,,,,,1406855826133183,/story.php?story_fbid=1406855826133183&id=986783824807054
Ric 4 Senate Tx,,2019-10-07 10:30:05,"The World is broken bc we didn’t know how to make it whole, to begin with. Now we do, by PaRaDiSe! So, let’s fix it right away. https://www.youtube.com/watch?v=4PinzpZQ6uU&t=12s Donate Advocate Volunteer for the greatest benefit to humanity. ‪YouTube.com/user/Ricturbon3‬",,,,,,,,,1400238193461613,/story.php?story_fbid=1400238193461613&id=986783824807054
Ric 4 Senate Tx,,2019-09-29 19:55:49,World is broken bc Genesis 1:1 mistranslated. PaRaDiSe World now with right translation! https://youtu.be/Ej__FqsOvhU YouTube.com/user/ Ricturbon3,,,,,,,,,1393532464132186,/story.php?story_fbid=1393532464132186&id=986783824807054
Ric 4 Senate Tx,,2019-09-29 11:42:53,Correct translation of Genesis 1:1 Heaven or Hell on Earth difference! https://youtu.be/Ej__FqsOvhU Correcta traducción de Génesis 1:1 Cielo o infierno en la Tierra ¡diferencia! https://youtu.be/6TBLdjmGoh8 YouTube.com/user/Ricturbon3,,,,,,,,,1393240934161339,/story.php?story_fbid=1393240934161339&id=986783824807054
Ric 4 Senate Tx,,2019-04-23 23:01:09,"Cell theory states that live cells come from previous live cells.  Likewise, sense comes from previous sense, language is social, but whence the first sense?  Science affirms creation with Big Bang, Plato confirma it by saying that a Demiurge created the universe but told it in myth, Aristotle got it wrong saying that the universe is eternal no creation no creator no creatures.  Luckily I found the stepping stone in higher register of Pythagorean theorem in the tríads providing the link between Greece antiquity nd Middle East archaic period . The exit plan to the Crisis today is Postmodernity by Kabbalah as in my latest book at Amazon “The Principle of World Caring”  G’d bless  Ric",,,,,,,,,1272074376277996,/story.php?story_fbid=1272074376277996&id=986783824807054
Ric 4 Senate Tx,,2019-04-16 11:11:26,Great news you guys out there. Finally retired from teaching science at AISD. Coincidently wrapped up my 8th book with the latest findings going to the core of things. Then went ahead to found a nonprofit to facilitate getting out the message. More later... shalom,,,,,,,,,1266749506810483,/story.php?story_fbid=1266749506810483&id=986783824807054
Ric 4 Senate Tx,,2019-02-26 12:46:21,"Sólo se arregla el mundo cuidándolo desde el principio. The world can only be fixed by Caring from the beginning/Principle.  Mi propuesta en Amazon inglés y español impresa y digital My proposal at Amazon in English and Spanish print and digital “The Principle of World Caring” “El principio de cuidar del mundo” GoFundMe.com “World Caring Principle” Apoyo $ y tiempo voluntariado  Por fin creo haber atado los cabos sueltos que me detenían, e inicio uno principio causa movimiento  Únete si quieres y puedes",,,,,,,,,1234477310037703,/story.php?story_fbid=1234477310037703&id=986783824807054
Ric 4 Senate Tx,,2019-01-31 16:39:53,"Nuts and bolts of fixing our home, the Earth. Check out my book at Amazon ""The Principle of World Caring""  G'd bless",,,,,,,,,1216452515173516,/story.php?story_fbid=1216452515173516&id=986783824807054
Ric 4 Senate Tx,,2019-01-24 09:58:05,"Finally retired from teaching science 🧬 at alternative settings for austin isd. Now into promoting my book 📚 proposal on Tikkun Olam world repairing, in English and Spanish “The Principle of World Caring “ G’d bless",,,,,,,,,1211158879036213,/story.php?story_fbid=1211158879036213&id=986783824807054
Ric 4 Senate Tx,,2019-01-15 11:32:51,I’m about to retire and will soon start World Caring movement!,,,,,,,,,1205228129629288,/story.php?story_fbid=1205228129629288&id=986783824807054
