source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
,,2020-05-01 14:01:22,,13,12,,1,,,,,241147840570427,/events/241147840570427?view=permalink&id=241147843903760
Rik Mehta for Senate,,2020-04-30 21:42:11,"Cory Booker is pushing legislation to require the U.S. to pay full amount of dues to the WHO. I would halt funding to the WHO and demand we investigate the WHO’s bias toward China.  Booker doesn’t care about the things that matter to NJ most, that’s why I’m running against him.",21,21,,,,,,,241558740588550,/story.php?story_fbid=241558740588550&id=108247910586301
,,2020-04-30 19:10:47,,31,31,,,,,,,281572656211300,/story.php?story_fbid=281572656211300&id=108247910586301
,,2020-04-30 12:01:21,,42,39,,3,,,,,233451937920836,/story.php?story_fbid=233451937920836&id=108247910586301
Rik Mehta for Senate,,2020-04-29 13:54:40,"Cory Booker wants to make sure your tax dollars fund the WHO, the organization that helped China cover up its lies. To be clear: I'd do the opposite. I'd also demand Taiwan be named a member state & hold China accountable. Now is the time for courage, not coddling communists.",51,42,,2,,,7,,240609890683435,/story.php?story_fbid=240609890683435&id=108247910586301
,,2020-04-28 12:04:46,,41,40,,1,,,,,531129417775295,/story.php?story_fbid=531129417775295&id=108247910586301
,,2020-04-28 10:51:39,This is an honor! Watch the Air Force Thunderbirds and Navy Blue Angels flyover NJ today as a tribute to medical workers and other first responders on the front lines. #americastrong #jerseyproud,28,26,,2,,,,,239794654098292,/story.php?story_fbid=239794654098292&id=108247910586301
Rik Mehta for Senate,,2020-04-27 15:31:11,"As a father, I will fight to protect our unborn children. Abortion can NOT be used as a form of birth control.",49,40,,9,,,,,239200214157736,/story.php?story_fbid=239200214157736&id=108247910586301
Rik Mehta for Senate,,2020-04-24 19:56:50,Reema and I would like to express our deepest condolences to the entire Kean family on the passing of First Lady Debby Kean.  https://www.senatenj.com/index.php/tomkean/kean-family-statement-on-passing-of-deborah-bye-kean/47778,32,15,,,,17,,,237218064355951,/story.php?story_fbid=237218064355951&id=108247910586301
Rik Mehta for Senate,,2020-04-24 15:47:24,"China failed the world on COVID-19. To matters worse, they: - Created defective cotton swabs - Created defective masks - Recalled medical supplies This pandemic is a wake-up call. We can't depend on China. Help me put America FIRST in the Senate:  https://secure.anedot.com/rik-for-new-jersey-inc/rik4nj",73,68,,5,,,,,237102577700833,/story.php?story_fbid=237102577700833&id=108247910586301
Rik Mehta for Senate,,2020-04-23 15:56:34,"Cory Booker has the worst attendance record in all of Congress. He's more interested in being a celebrity than working for his constituents. NJ deserves better. When I beat him in the Senate race, he'll have much more time to pose for the cameras.",110,63,4,,5,5,33,,236268477784243,/story.php?story_fbid=236268477784243&id=108247910586301
,,2020-04-23 15:52:20,,12,12,,,,,,,540164253560169,/events/540164253560169?view=permalink&id=540164256893502
,,2020-04-23 11:27:59,,8,8,,,,,,,162400518439273,/events/162400518439273?view=permalink&id=162400528439272
,,2020-04-23 11:04:04,"Rik picked up and donated dinner to the Vineland Fire Department, EMS, and the Police Department. Thank you to Dominick's Pizza for supporting the community! It is very important to support small businesses and assist the frontline workers when we can. Vineland, NJ Police Department  Vineland Fire Department & Office of Emergency Management also a big thank you to Fire Chief Luigi Tramontana as well as Mayor Anthony Fanucci of Vineland City",107,100,,7,,,,,236092067801884,/story.php?story_fbid=236092067801884&id=108247910586301
Rik Mehta for Senate,,2020-04-22 19:54:01,‪I watched Cory Booker fail the city of Newark as mayor. I refuse to sit by and watch him bring the same failure to NJ in the Senate.‬ ‪Booker is a fraud and he has lost the trust of his constituents with his failed ideology and disingenuous showboating.‬,81,75,,6,,,,,235594614518296,/story.php?story_fbid=235594614518296&id=108247910586301
Rik Mehta for Senate,,2020-04-21 15:46:49,"Right now, millions of Americans are out of work. But Democrats are more concerned about doing PR for China than providing small businesses with the relief that they need. This is only one of the reasons why I'm running against Cory Booker. Help me WIN: https://secure.anedot.com/rik-for-new-jersey-inc/rik4nj",101,91,2,8,,,,,234721064605651,/story.php?story_fbid=234721064605651&id=108247910586301
Rik Mehta for Senate,,2020-04-21 14:58:41,"Next time a liberal says Trump has done ""nothing"" about coronavirus, show them this video.  I'm tired of bureaucrats, like my opponent, Cory Booker, attacking Republicans when it is THEM who are preventing businesses from receiving financial relief.",41,37,,4,,,,,234696224608135,/story.php?story_fbid=234696224608135&id=108247910586301
Rik Mehta for Senate,,2020-04-20 16:10:20,Cory Booker should start by standing up to his own party for blocking emergency relief to those small businesses.  But he's too afraid of getting put in timeout by Nancy Pelosi.,82,67,1,3,,2,9,,234025134675244,/story.php?story_fbid=234025134675244&id=108247910586301
"Rik Mehta for Senate,Matthew C. Moench",,2020-04-20 12:05:28,"Sharing this post from the honorable Mayor of Bridgewater, Matthew Moench. Sad that our absentee Senator, Cory Booker and his cronies continue to be absent for NJ families through this pandemic. Thank you to Councilman Michael Kirsh for championing this issue and fighting for our towns.Our federal representatives, Rep. Tom Malinowski, Sen. Bob Menendez, and Sen. Cory Booker, failed to represent Bridgewater's economic interests when they failed to make sure that towns like Bridgewater are included in receiving Federal stimulus money.  We are looking at a $2 million impact because of COVID-19.  Why doesn't our municipality and our taxpayers deserve relief? For those keeping track, Bridgewater is the largest municipality in Rep. Malinowski's district, yet so far, he's failed to include us in legislation for stimulus funds. Thank you Councilman Michael Kirsh for pushing this issue at the Council.",30,30,,,,,,,233915548019536,/story.php?story_fbid=233915548019536&id=108247910586301
Rik Mehta for Senate,,2020-04-18 14:00:12,I recently sat down with Fox News’ media angle to discuss my campaign for US Senate and bringing the change and leadership New Jersey wants and needs. #JerseyProud Donate: https://secure.winred.com/rik-mehta-for-senate/action-60545 Join our digital action network: https://www.facebook.com/groups/mehtadigitalaction,99,96,,3,,,,,232563894821368,/story.php?story_fbid=232563894821368&id=108247910586301
Rik Mehta for Senate,,2020-04-17 11:58:26,"I will stand up against radical leftists like Cory Booker and their dangerous policies. I'll oppose socialists in Washington D.C. who want Medicare for All, Green New Deal for All, or any government program they add ""for All"" after. #JerseyProud",68,62,,6,,,,,231730794904678,/story.php?story_fbid=231730794904678&id=108247910586301
,,2020-04-16 13:58:59,Today I'd like to take a quick moment and recognize the team over at Frontline Morris. These gentlemen are taking donations to support local businesses and feeding those on the frontlines working tirelessly during this pandemic. Please donate to them at https://j.mp/3ev0QAb. #JerseyProud,46,43,,3,,,,,231023454975412,/story.php?story_fbid=231023454975412&id=108247910586301
Rik Mehta for Senate,,2020-04-14 21:58:04,Cory Booker once again tries to politicize the Coronavirus pandemic by proposing legislation to speed up the release of illegal aliens. These dangerous actions must end and we need to vote him out this November!,80,68,,9,2,,1,,229751218435969,/story.php?story_fbid=229751218435969&id=108247910586301
Rik Mehta for Senate,,2020-04-14 17:00:11,"Shame on Senator Cory Booker for using COVID to pursue his open borders, anti-ICE, soft on illegal immigration agenda. https://j.mp/34ApJGh",74,30,,,2,1,41,,229597681784656,/story.php?story_fbid=229597681784656&id=108247910586301
,,2020-04-14 14:08:23,Come tune in!,19,18,,1,,,,,229492955128462,/story.php?story_fbid=229492955128462&id=108247910586301
,,2020-04-14 14:03:04,,29,26,,3,,,,,2372387599725530,/story.php?story_fbid=2372387599725530&id=108247910586301
Rik Mehta for Senate,,2020-04-14 08:58:09,"Join Dr. Rik Mehta and his brilliant sister, pediatric immunologist Dr. Reena Mehta of  for a Facebook Live on ""COVID-19 Treatment Options and Coronoavirus in Kids"" today at 2pm EST. ",24,24,,,,,,,229304401813984,/RikMehtaForNewJersey/photos/a.123314122413013/229304401813984
Rik Mehta for Senate,,2020-04-13 11:30:51,I started my career at the FDA where I spent years fighting to reduce drug prices and taking millions of illegal drugs off our streets. I'm so proud to have a President that actually focuses on issues that matter to New Jersey and America first. #JerseyProud,39,35,,4,,,,,228624485215309,/story.php?story_fbid=228624485215309&id=108247910586301
Rik Mehta for Senate,,2020-04-13 09:38:55,GOP frontrunner Rik Mehta will run on a ticket with President Trump in counties that comprise 82% of the Republican vote in NJ! #jerseyproud #maga,46,43,,3,,,,,228555838555507,/story.php?story_fbid=228555838555507&id=108247910586301
Rik Mehta for Senate,,2020-04-12 07:45:48,Wishing you all the love and happiness that only Easter can bring. Have a joyous celebration with your family!,62,56,,6,,,,,227727008638390,/RikMehtaForNewJersey/photos/a.123314122413013/227727008638390
Rik Mehta for Senate,,2020-04-10 08:31:58,"My story is like many of yours; hard work, humble beginnings, and the belief that the American dream is available to anyone willing to chase it. #JerseyProud",47,43,,4,,,,,226208282123596,/story.php?story_fbid=226208282123596&id=108247910586301
Rik Mehta for Senate,,2020-04-09 18:40:50,"Unfortunately, we will need to postpone tonight's live event. I want to personally thank Dr. Nina Radcliff as she helps patients tonight and all our frontline health professionals out there saving lives. We'll get a rescheduled date soon! ",30,28,1,1,,,,,225817375496020,/RikMehtaForNewJersey/photos/a.123314122413013/225817375496020
Rik Mehta for Senate,,2020-04-09 11:05:47,Join Dr. Rik Mehta and Dr. Nina Radcliff for a Live FaceTime on COVID-19 treatments.,23,22,,1,,,,,225588008852290,/story.php?story_fbid=225588008852290&id=108247910586301
,,2020-04-09 11:01:24,,5,5,,,,,,,2224951651132921,/events/2224951651132921?view=permalink&id=2224951657799587
Rik Mehta for Senate,,2020-04-08 19:31:02,"May your Pesach overflow with happiness. May you always be blessed with peace, prosperity, and togetherness!",31,28,,3,,,,,225139325563825,/RikMehtaForNewJersey/photos/a.123314122413013/225139325563825
Rik Mehta for Senate,,2020-04-08 17:46:57,"As a national and international public health expert, I'm calling for the resignation of the WHO Director-General, Dr. Ghebreyesus. His China-centric policies, such as not including Tawaian as a member-state has biased and botched his handling of COVID-19. His delay in deeming this pandemic a ""public health emergency of international concern"" has failed America and the rest of the world. His suggestion that America not block borders is a major miscalculation. Sign my petition if you agree.",44,42,,1,,,1,,225096728901418,/story.php?story_fbid=225096728901418&id=108247910586301
,,2020-04-08 15:42:05,We are five volunteers short of hitting our goal! Click this link to signup today!  https://rikfornj.com/volunteer/,8,7,,1,,,,,225037258907365,/story.php?story_fbid=225037258907365&id=108247910586301
Rik Mehta for Senate,,2020-04-06 16:03:17,"""I felt a duty and moral obligation to step in and speak the truth after witnessing the unacceptable and abhorrent behavior displayed by Hirsh Singh; a serial liar and dishonorable man with an ego unlike any I’ve ever seen. Singh does not represent my values. And Singh does not represent New Jersey’s values.  Rik Mehta, you have my support and New Jersey’s support. Let’s win in November and make Jersey Proud."" Carmine Sabia Jr",43,41,,2,,,,,223612392383185,/story.php?story_fbid=223612392383185&id=108247910586301
Rik Mehta for Senate,,2020-04-06 12:41:22,"“Cory Booker and Bob Menendez’s complete indifference for our public health pandemic continues to sicken New Jersey,” Mehta said. Their decision to leave four New Jersey Counties (Sussex, Warren, Hunterdon, and Salem) off of the $2 trillion-dollar federal emergency stimulus package is immoral and unacceptable.",41,37,,3,,,1,,223500059061085,/story.php?story_fbid=223500059061085&id=108247910586301
Rik Mehta for Senate,,2020-04-04 15:31:49,Rik was the special guest on The Right Perspective and shared his thoughts as a medical professional on the ongoing impact of the Coronavirus on New Jersey #jerseyproud,49,48,,,1,,,,222087585868999,/story.php?story_fbid=222087585868999&id=108247910586301
Rik Mehta for Senate,,2020-04-02 21:28:51,"Thank you to my sister, Dr. Reena Sahai from Uptown Allergy & Asthma breaking it down.",20,20,,,,,,,220771349333956,/story.php?story_fbid=220771349333956&id=108247910586301
,,2020-04-01 22:23:56,"Great time tonight with the brilliant Carmine Sabia talking all things Jersey, putting #policyoverpolitics, bringing our drug manufacturing back to NJ from China and how Cory Booker continues to fail our state, especially under the public health crisis we're in.",30,28,,2,,,,,220021992742225,/story.php?story_fbid=220021992742225&id=108247910586301
,,2020-04-01 20:47:07,"Today the U.S. Food and Drug Administration requested the removal of all Zantac products (a common OTC heartburn drug) from the shelves because of a potential carcinogen contamination. Let's not forget that the contaminated source ingredients originated from China. While, Cory Booker continues to peddle legislation that would crush medical innovation, I will fight to bring our drug manufacturing back to America; back to New Jersey, the world's medicine chest. #jerseyproud #policyoverpolitics https://www.fda.gov/news-events/press-announcements/fda-requests-removal-all-ranitidine-products-zantac-market",28,27,,,1,,,,219977999413291,/story.php?story_fbid=219977999413291&id=108247910586301
,,2020-04-01 01:50:37,,12,12,,,,,,,1621639174659044,/events/1621639174659044?view=permalink&id=1621639177992377
Rik Mehta for Senate,,2020-03-31 17:01:45,March is almost over! This means we only have one day left until our CRITICAL End of Quarter Deadline! Will you donate today to help us end the quarter strong? Donate ➡️https://j.mp/3dKmIY4,17,17,,,,,,,219139879497103,/story.php?story_fbid=219139879497103&id=108247910586301
Rik Mehta for Senate,,2020-03-30 15:32:34,Truck drivers are on the front lines of hauling freight during these trying times. We will not forget the sacrifices you are making and send you our sincerest thanks. You make us #jerseyproud!,58,55,,3,,,,,218354722908952,/story.php?story_fbid=218354722908952&id=108247910586301
Rik Mehta for Senate,,2020-03-28 08:28:17,Rik talked about bringing our medical supply chain and drug manufacturing back to New Jersey yesterday on Fox Business with Charles Payne host Cheryl Casone. Check out the full video here: https://j.mp/2WR1XE2,88,77,,11,,,,,216543619756729,/story.php?story_fbid=216543619756729&id=108247910586301
,,2020-03-25 18:49:26,"Watch my chat with the President of the Port Driver Association whose members make up our independent, small business owner truck drivers. These brave women and men are on the frontlines hauling freight with goods coming in from all over the world, especially China, into Port Elizabeth and are at high-risk of exposure to #COVID19. Our Jersey truck drivers are #jerseyproud! #ThankaTruckerMeeting with Rik Mehta who is running for US Senator and is willing to help our Independent Port Drivers if he gets elected..!!!",18,18,,,,,,,214683306609427,/story.php?story_fbid=214683306609427&id=108247910586301
Rik Mehta for Senate,,2020-03-25 19:23:14,https://www.facebook.com/portdriver/videos/561117854610904/?vh=e,5,5,,,,,,,214598259951265,/story.php?story_fbid=214598259951265&id=108247910586301
,,2020-03-25 16:00:32,Meeting with Rik Mehta who is running for US Senator and is willing to help our Independent Port Drivers if he gets elected..!!!,6,6,,,,,,,3752056794866837,/events/3752056794866837?view=permalink&id=3752056808200169
