source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Sara Gideon,,2020-03-06 10:58:09,"Senator Collins has voted to confirm over 100 of Trump’s anti-choice judges, including Brett Kavanaugh—and Mainers like Hannah are ready for a change. I will always fight to protect and expand reproductive care.",117,105,,12,,,,8,2570611839932349,/story.php?story_fbid=2570611839932349&id=2330577043935831
Sara Gideon,,2020-03-05 19:25:23,Not only did Senator Collins’ decisive vote for the GOP tax bill benefit big corporations and special interests at the expense of hardworking Mainers—it also opened the door to a Supreme Court case that could potentially overturn the Affordable Care Act and make it harder for people to afford the health care they need.,170,104,1,,,10,55,19,2570017446658455,/story.php?story_fbid=2570017446658455&id=2330577043935831
Sara Gideon,,2020-03-05 12:31:33,BREAKING: A new poll shows our campaign leading against Senator Susan Collins BY FOUR POINTS. We can win this race and replace her in the Senate this November—but we need your help to do it: http://secure.actblue.com/donate/gideon2020?refcode=fb200305,1.4K,1K,1,372,9,,,83,2569774946682705,/story.php?story_fbid=2569774946682705&id=2330577043935831
Sara Gideon,,2020-03-04 19:22:23,"As the Supreme Court began hearing oral arguments on June Medical Services, LLC v. Russo today, I joined Planned Parenthood Maine Action Fund to discuss the current threats to reproductive rights across the country and the importance of defending and expanding access to reproductive health care. No matter what the Court decides, I’ll never stop fighting for reproductive justice.",160,142,1,17,,,,7,2569136946746505,/story.php?story_fbid=2569136946746505&id=2330577043935831
Sara Gideon,,2020-03-04 11:03:51,"I like to think of #SupperWithSara as our campaign’s version of a town hall. It’s a chance for us to have a meal together, hear more from our neighbors about the issues they care about, and invite people to join our grassroots movement. Hope to see you at our next supper!",67,61,,6,,,,5,2568838203443046,/story.php?story_fbid=2568838203443046&id=2330577043935831
Sara Gideon,,2020-03-03 18:39:49,"If the Supreme Court overturns the Affordable Care Act, protections for people with pre-existing conditions are on the line. That’s why in Maine, I helped pass legislation so that no matter what happens in the courts, Mainers like Paul can’t be discriminated against.",76,74,,2,,,,5,2568275376832662,/story.php?story_fbid=2568275376832662&id=2330577043935831
Sara Gideon,,2020-03-03 11:30:54,It’s Election Day here in Maine—don’t forget to cast your vote in the Democratic presidential primary! Find your polling place here:,423,381,,40,2,,,19,2568022806857919,/story.php?story_fbid=2568022806857919&id=2330577043935831
Sara Gideon,,2020-03-03 10:53:05,,5,5,,,,,,,518397022429529,/events/518397022429529?view=permalink&id=518405845761980
Sara Gideon,,2020-03-02 18:23:22,I had a great time with the Aroostook County Democrats in Fort Kent this weekend—Mainers are fired up and ready to replace Senator Collins with a Senator who will put Maine first! Thank you for the warm welcome.,172,164,,8,,,,7,2567428543584012,/story.php?story_fbid=2567428543584012&id=2330577043935831
Sara Gideon,,2020-03-02 15:16:42,Senator Collins' critical vote for the GOP tax bill led to the lawsuit to overturn the ACA. This could eliminate protections for people with pre-existing conditions and endanger the health care that countless Mainers & Americans rely on. My statement:,122,119,,2,1,,,11,2567300466930153,/story.php?story_fbid=2567300466930153&id=2330577043935831
Sara Gideon,,2020-03-02 10:16:17,Corporations and special interests shouldn’t have a greater voice in politics than people do. That's why my Reform Agenda includes overturning Citizens United. Read more about my plan to reform Washington: https://medium.com/@SaraGideon/making-washington-work-for-mainers-sara-gideons-reform-agenda-a0c3ff4d043e,50,48,,2,,,,3,2567109706949229,/story.php?story_fbid=2567109706949229&id=2330577043935831
Sara Gideon,,2020-03-01 21:06:06,Thank you to everyone from Team Gideon who joined us yesterday for our Leap Day of Action! Together we blew our goal out of the water. Absolutely incredible work and a testament to the strength of our grassroots movement!,179,168,,11,,,,10,2566647733662093,/story.php?story_fbid=2566647733662093&id=2330577043935831
