source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Shannon Bray for North Carolina,,2020-02-27 07:50:43,,5,5,,,,,,,615472972368842,/story.php?story_fbid=615472972368842&id=373845659864909
Shannon Bray for North Carolina,,2020-02-21 10:23:04,,4,4,,,,,,,611495769433229,/story.php?story_fbid=611495769433229&id=373845659864909
Shannon Bray for North Carolina,,2020-02-17 11:11:28,I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly. #Ballotpedia,4,4,,,,,,,608707863045353,/story.php?story_fbid=608707863045353&id=373845659864909
Shannon Bray for North Carolina,,2020-02-11 14:54:24,This is a interesting listen; she doesn't seem to have much dem support.,7,6,,1,,,,6,603973880185418,/story.php?story_fbid=603973880185418&id=373845659864909
Shannon Bray for North Carolina,,2020-02-11 12:30:39,The activities has escalated greatly over the past months.,2,2,,,,,,,603909993525140,/story.php?story_fbid=603909993525140&id=373845659864909
Shannon Bray for North Carolina,,2020-02-10 20:59:00,,5,3,,,2,,,,603513290231477,/story.php?story_fbid=603513290231477&id=373845659864909
Shannon Bray for North Carolina,,2020-02-07 22:50:57,,8,8,,,,,,1,601599293756210,/story.php?story_fbid=601599293756210&id=373845659864909
Shannon Bray for North Carolina,,2020-02-07 14:49:55,,11,9,,2,,,,,601362403779899,/story.php?story_fbid=601362403779899&id=373845659864909
Shannon Bray for North Carolina,,2020-02-07 14:08:49,"If you live around the Youngsville area, come out and meet the candidates. I will be there to answer any questions you have for my vision for our state and to learn more about the issues you find critical.",3,3,,,,,,,601328590449947,/story.php?story_fbid=601328590449947&id=373845659864909
Shannon Bray for North Carolina,,2020-02-07 13:19:26,"You are being manipulated!!!! How does money really flow into politics? There is a fight to unseat Thom Tillis and I'm one of those looking to offer him to sabbatical. The Republican party is throwing its weight into the Democratic primary. Cal Cunningham is the projected winner in November 2020 but he hasn't cleared his primary yet; unlike myself who is going to November. In fear, the Republican party has decided to support Democratic Senator Erica Smith in hopes that she will beat Cal in the primary and believe she is an easy target in November. Basically, they are using Erica as a pawn. I'm not sure how she feels about it but the commercials playing seem to benefit her campaign. The average Senate race costs $10.5 million. Tillis has the money, Cal has the money, and now Erica is benefiting from the Republican party. Money in politics is a way to buy your vote.   I, myself, am not accepting any corporate finance and will undoubtedly get crushed in November.  I'm OK with that. I want to offer a 3rd party option but understand the country is divided into either being R or D and special interests are jumping in. The corporation behind Erica's new ads is a bank in VA. Why do they have an interest in NC? I'll leave that to you to figure out. Know who you are voting for and know who they owe. #NCPOL #NCSEN #NCFirst.",7,5,,1,1,,,3,601296713786468,/story.php?story_fbid=601296713786468&id=373845659864909
Shannon Bray for North Carolina,,2020-02-07 13:00:12,,2,2,,,,,,,486914252210850,/events/486914252210850?view=permalink&id=486914258877516
Shannon Bray for North Carolina,,2020-02-06 18:20:39,,38,33,,5,,,,2,547172152553754,/events/547172152553754?view=permalink&id=547172172553752
Shannon Bray for North Carolina,,2020-02-06 18:14:54,"I will be attending the Empty Chair Town Hall on February 20 @ 6:00 - 8:00 PM in Youngsville, NC.",15,15,,,,,,4,600550497194423,/story.php?story_fbid=600550497194423&id=373845659864909
Shannon Bray for North Carolina,,2020-02-06 17:12:24,,17,15,,2,,,,2,600526360530170,/story.php?story_fbid=600526360530170&id=373845659864909
Shannon Bray for North Carolina,,2020-02-06 12:20:35,"I attended a town hall the other night and campaign finance came up; Erica Smith and I were the other two candidates that stated they have not accepted corporate campaign finance. She went after Cal Cunningham on his commercials from votevets.org. Imagine my surprise when I read this. It appears from this that Senator Smith misrepresented the truth. No matter what side you are on, research your candidates and vote responsibly.",26,20,,3,2,,1,10,600392733876866,/story.php?story_fbid=600392733876866&id=373845659864909
Shannon Bray for North Carolina,,2020-02-06 09:58:56,Knowledge will forever govern ignorance; and a people who mean to be their own governors must arm themselves with the power which knowledge gives. - James Madison Research your candidates; do not give your vote lightly.,9,9,,,,,,1,600272247222248,/story.php?story_fbid=600272247222248&id=373845659864909
Shannon Bray for North Carolina,,2020-02-06 09:38:36,"Two-thirds to half don’t respond in a way that they would consider successful.  In another article, Cannabis is proving to be key in this fight. It's time to get our vets the help they need.",8,8,,,,,,2,600253863890753,/story.php?story_fbid=600253863890753&id=373845659864909
Shannon Bray for North Carolina,,2020-02-06 08:28:55,"Veteran Scam report: I've been made aware of an email scam asking Veterans to send a copy of your DD-214 to Lowe's for your 10% discount.  Lowe's does not require your DD-214. If you would like to apply for the discount, go straight to the site. Never send your DD-214 to anyone online!",2,2,,,,,,,600214960561310,/story.php?story_fbid=600214960561310&id=373845659864909
Shannon Bray for North Carolina,,2020-01-31 23:49:19,,37,31,,6,,,,,596727230910083,/story.php?story_fbid=596727230910083&id=373845659864909
Shannon Bray for North Carolina,,2020-01-01 21:57:04,,36,35,,,,,1,6,574945599754913,/story.php?story_fbid=574945599754913&id=373845659864909
Shannon Bray for North Carolina,,2019-12-30 23:45:59,"Wyze Labs Inc., a maker of smart-home cameras and devices, has confirmed a data leak that could affect millions of customers.",,,,,,,,,573147609934712,/story.php?story_fbid=573147609934712&id=373845659864909
Shannon Bray for North Carolina,,2020-01-01 21:17:53,,22,19,,2,,,1,5,574926043090202,/story.php?story_fbid=574926043090202&id=373845659864909
Shannon Bray for North Carolina,,2020-01-01 19:39:33,"Damn ... If I didn't just throw him under the bus on taxes, I agree here. At any rate, we agree here.",36,28,,8,,,,3,574880109761462,/story.php?story_fbid=574880109761462&id=373845659864909
Shannon Bray for North Carolina,,2019-12-31 07:48:15,,10,4,,,,6,,,573426146573525,/story.php?story_fbid=573426146573525&id=373845659864909
Shannon Bray for North Carolina,,2019-12-31 07:46:49,What taxes are you ok with? Check out this situation in Illinois.,2,,,,,2,,2,573425166573623,/story.php?story_fbid=573425166573623&id=373845659864909
Shannon Bray for North Carolina,,2019-12-30 23:42:09,"Companies will need to pay more in wages to comply, but the overall benefit to workers will be mixed.",1,,,,,1,,,573145679934905,/story.php?story_fbid=573145679934905&id=373845659864909
Shannon Bray for North Carolina,,2019-12-30 23:18:52,,3,3,,,,,,,573134046602735,/story.php?story_fbid=573134046602735&id=373845659864909
Shannon Bray for North Carolina,,2019-12-30 21:43:10,"North Carolina Registered Voter Statistics: Democratic: 2,502,868 Republican: 2,049,151 Green: 1,931 Libertarian: 39,586 Unaffiliated: 2,240,150 White: 4,594,501 Black: 1,476,182 American Indian: 52,955 Other: 712,799 Hispanic: 206,930 Male: 2,999,556 Female: 3,558,762 Total: 6,836,437",29,26,,3,,,,3,573080849941388,/story.php?story_fbid=573080849941388&id=373845659864909
Shannon Bray for North Carolina,,2019-12-30 21:15:34,I am the cyber weapon. 😉,13,8,,,,,5,1,573065016609638,/story.php?story_fbid=573065016609638&id=373845659864909
Shannon Bray for North Carolina,,2019-12-30 21:06:05,,14,13,,1,,,,,573059356610204,/story.php?story_fbid=573059356610204&id=373845659864909
Shannon Bray for North Carolina,,2019-12-30 19:28:13,For those who do not trust CNN ... Here is a different source.,9,2,6,,,,1,14,573010653281741,/story.php?story_fbid=573010653281741&id=373845659864909
Shannon Bray for North Carolina,,2019-12-30 18:22:28,,2,,2,,,,,3,572977626618377,/story.php?story_fbid=572977626618377&id=373845659864909
Shannon Bray for North Carolina,,2019-12-30 07:59:25,"Recently, Ring was made aware of an incident where malicious actors obtained some Ring users’ account credentials (e.g., username and password) from a separate, external, non-Ring service and reused them to log into some Ring accounts.  Unfortunately, when people reuse the same username and password on multiple services, it’s possible for bad actors to gain access to many accounts. Rules: use a unique password, change router passwords from the default, and use MFA (multifactor authentication)",1,1,,,,,,,572594223323384,/story.php?story_fbid=572594223323384&id=373845659864909
Shannon Bray for North Carolina,,2019-12-29 16:54:37,"The emergence of the two-party system and the direct election of senators have dashed Hamilton's hopes for an impartial body. Arguments for an anonymous jury can be seen as a means to capture the spirit of Hamilton's arguments in Federalist 65. A secret ballot, though not what Hamilton was advocating for, would give the Senate what Hamilton described as ""confidence enough in its own situation, to preserve, unawed, and uninfluenced, the necessary impartiality"" to render a fair trial.",22,17,,2,,,3,4,572120426704097,/story.php?story_fbid=572120426704097&id=373845659864909
