source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Tharon Chandler for US Senate, TN 2020",,2020-04-14 14:06:59,"Does ""Tre Hargett Law"" supersede US Constitutioal Law, with regard to candidate filings?  It is Not within the US Constitutional Right of Mark Goins, Jim Cooper, Mary Mancini, Doug Jackson and Tre Hargett to perform ""back room deals"" in deciding who will be on the official ballot.",,,,,,,,,152072222961129,/story.php?story_fbid=152072222961129&id=104696114365407
"Tharon Chandler for US Senate, TN 2020",,2020-04-06 19:41:58,"Thank You.  Following is a copy of the current information available from state of Tennessee about Independent candidates and  for Democrat primary ( you may route on fb to ""Wm Tharon Chandler"").  For their good work so far (through a tuff time, also)  I , WT Chandler, want to thank very much the people in Director Mark Goins office and of the Tennessee Democrat party.  Also I was surprised to see that Ms Diana Obeyokye (I must spell check that) was not listed or I didn't see it.  I hope you are okai and  want to Thank you for your participation. So, obviously I do Not plan to Withdraw by the 09 April deadline, for that.  Peace and may God bless you and keep you safe.",,,,,,,,,149616703206681,/story.php?story_fbid=149616703206681&id=104696114365407
"Tharon Chandler for US Senate, TN 2020",,2020-04-05 21:04:16,"Date: Monday, August 10, 2009, 2:47 PM, by WT Chandler  At this time of year the beef cattle ""feed lots"" and pork industry ""hog barns"" take on an extra special aroma that can be whiffed from many kilometers away; obvious on roads from the Panhandle of Oklahoma to Delano California, and as far North as Chicago Illinois.  The summer temps get very nice up into Canada, where meat products are also raised, though they typicly are not as disgusting as for growing their cattle all in one place.  In places such as Dalhart Texas, a town where rural highways 385 & 54 & 87 come together not far from Amarillo, there are places where all the 'black angus' and the Charalois, and the black & white cows eat together from a steel trough erected outside the perimeter of the same square acre where they sleep, crap, and moo all night and day.  They stay up most nights",,,,,,,,,149330259901992,/story.php?story_fbid=149330259901992&id=104696114365407
"Tharon Chandler for US Senate, TN 2020",,2020-03-27 20:32:54,"The biggest problems in USA?  #1 The Pharmacutical industry/ lobby and their theiving (through medicare) and the lives they've ruined, deaths they have caused through opioids, suicides, and mass shootings.  It must be them that are snatching 20 thousand bodies per month, also (the ""medical accidents"").",,,,,,,,,146440680190950,/story.php?story_fbid=146440680190950&id=104696114365407
"Tharon Chandler for US Senate, TN 2020",,2020-03-26 13:57:08,,,,,,,,,,146009276900757,/story.php?story_fbid=146009276900757&id=104696114365407
"Tharon Chandler for US Senate, TN 2020",,2020-03-20 17:29:48,"In my life-time I could have always made friends and met out my responsibilities whatever they might have become, (and did so up to now) but truly, my home region in central Tennessee has some of the most devious hicks and corrupt lawyers known to man (and unbeknownst to better people).  I, WT Chandler for US Senate 2020, do  give the leaders of Tennessee the respect and the chance to do right in these times but probably they will completely show their true nature, at my peril and doom. Let's hope for the best and put trust in mankind, as long as prudent.",,,,,,,,,144149720420046,/story.php?story_fbid=144149720420046&id=104696114365407
"Tharon Chandler for US Senate, TN 2020",,2020-03-11 10:18:24,"WT Chandler believes that the Honorable Senator Charles Shumer was sub-consciously under an evil ""hypnosis"" on the day in question, (otherwise he would never have been so frustrated on that  strange podium, and so zealously reported there by some undesirable enemy) and that such ""mind control"" is far too commonly used, at a paradox to both political parties and further, that the culprits can be traced by looking at the $25Trillion debt as it has gone (and continues to be usurped) to the looters.",,,,,,,,,141218604046491,/story.php?story_fbid=141218604046491&id=104696114365407
"Tharon Chandler for US Senate, TN 2020",,2020-03-11 09:22:40,WT Chandler can see that the stock market and US Economy are crashing and this world is about to change and though prices will continue to fall there will be suffering and Chaos.  It is only a part of the economic correction of the inflation  that speculation has caused.  When will they learn to live without speculation in the market?  Then we could enjoy a true market as other countries do.,,,,,,,,,141201010714917,/story.php?story_fbid=141201010714917&id=104696114365407
"Tharon Chandler for US Senate, TN 2020",,2020-03-08 11:16:35,"Tennessee has some cruel bullies in some important positions of business and government, and one of their favorite things to do is pick out some normal guy (a regular man who  is not exactly playing their game like they like) and then just beat the hell out of him in secret painful ways, poison his food and his room, knock him down in public, even shoot him  in the butt with something over in Kevin McCarthy’s district.  How is the poor normal guy supposed to handle that?  Go to the hospital so those bullies can get some Drugs, i n his name?  That’s what they do.  I have to tag you and tell you about it.",,,,,,,,,140351480799870,/story.php?story_fbid=140351480799870&id=104696114365407
"Tharon Chandler for US Senate, TN 2020",,2020-03-06 12:10:33,"Petition must be copied to the counties, in order for them to count signatures and reply on the status of Tharon Chandler ... Mar 6 at 10:01 AM Dear freinds and colleagues at TN Secretary of State and also division of Elections- Mark Goins office ; Respectfully, Sir or Mam, the petition I submitted to the Executive Assistant must , at the very least, be submitted to the county election office of regard, in order for them to begin a count of valid signatures for an update on the status of the candidates petition. It must be copied to the counties, from the election division office in Nashville to the various counties of regard in the petition submitted, in order for them to count signatures and reply to the Secretary of State, division, on the status of the requirements to me be met. Thankfully I had received assistance or signatures from citizens in several different, middle Tennessee counties, and was proud to have them count. Now, when I inquired this morning (Friday the 6th of March) about the information I submitted on Monday, the 2nd day of March, to the front office there, 7th floor of Snodgrass Tower, I was told by the Executive Assistant that they are waiting for the info (or count of proper signatures, as required) to “come back from the counties”, as they “have been so busy in wrapping up from the recent election”. So I called the election office for Montgomery county in regard to the several signatures I had submitted on Monday, just to ask them a favor in regard to their work for the people, and they replied that they “have not received any document from the election division office, in regard to a count on my petition”. Freinds, I am not the one whom determined the timing for the election nor for the state PPP primary at juxtaposition to the “qualification period for candidates, for the August primary” and, though I do not doubt that they have been busy, I know they would at least have to receive the info, to be considered, before they could consider it. My own participation as a candidate, in Tennessee, is not any joy nor pleasure but is a harsh duty (self imposed) in a former slave state that is always at risk of returning to its former status.",,,,,,,,,139781730856845,/story.php?story_fbid=139781730856845&id=104696114365407
