source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Tom Cotton,,2020-03-02 12:08:11,More Americans are dying each year from drug overdoses than died during the entire Vietnam war.  It's time to crack down on the drug traffickers that are destroying lives.  Anyone dealing fentanyl while misrepresenting it as a less-harmful drug deserves to spend at least 20 years in prison.  And if it's not the first time? Then a life sentence.,162,148,1,12,1,1,,33,2974655005913072,/story.php?story_fbid=2974655005913072&id=224684514243482
Tom Cotton,,2020-02-29 10:32:18,I'm glad that President Trump stood up to the media and banned travel to China.  Share this if you agree.  https://twitter.com/realDonaldTrump/status/1233597596511490048,460,435,5,17,,,3,51,2969942556384317,/story.php?story_fbid=2969942556384317&id=224684514243482
Tom Cotton,,2020-02-27 12:14:08,"I commend President Trump for his strong remarks about the coronavirus.  Last month, I urged the President to ban flights from China. The media and the Chinese Communist Party attacked me, but President Trump stood strong and implemented a travel ban on China.  And thank God he did.  China's lies and incompetence helped cause this pandemic and now we all need to work together to protect the American people.",1.5K,1.3K,11,116,,1,1,120,2965706290141277,/story.php?story_fbid=2965706290141277&id=224684514243482
Tom Cotton,,2020-02-26 14:28:14,Sanctuary cities are a threat to the safety of all Americans and I'm glad the court sided with President Trump.  We should cut off federal funds to these sanctuary cities that put the interests of criminal aliens ahead of Americans.,1.8K,1.5K,7,247,,1,11,119,2963701957008377,/story.php?story_fbid=2963701957008377&id=224684514243482
Tom Cotton,,2020-02-25 15:13:52,"Bernie Sanders claims he'll ""cancel all student loans."" The truth is if you paid your student loans, you didn't take out loans, or you didn't go to college, you're going to be on the hook for trillions in debt.  When a socialist promises something for ""free"", remember there is always a cost.",734,380,37,6,12,20,279,189,2961640970547809,/story.php?story_fbid=2961640970547809&id=224684514243482
Tom Cotton,,2020-02-24 15:32:27,"I've been saying for months that China was lying about the  origins of the coronavirus, and now China has admitted that it didn't start in the fish market.  The fact is that China is still lying, and the media should start asking them questions instead of attacking conservatives willing to stand up to the Chinese Communist Party.",1.4K,1K,4,17,147,32,234,203,2959559484089291,/story.php?story_fbid=2959559484089291&id=224684514243482
Tom Cotton,,2020-02-20 13:20:32,"Mike Bloomberg, who disparaged farming as a simple job, has learned that all his money won't buy him the ability to debate. Bloomberg wants to abolish the Second Amendment, he supports cozying up to China, and he wants your taxpayer dollars to pay for partial-birth abortions.   Share this if you agree that Mike Bloomberg was a disaster last night.",160,92,34,1,1,3,29,36,2950657694979470,/story.php?story_fbid=2950657694979470&id=224684514243482
Tom Cotton,,2020-02-19 17:14:04,"The Washington Post continues to defend the Chinese Communist Party, ignoring expert opinion that we still don't know where the coronavirus originated.",487,229,12,3,44,15,184,141,2948887775156462,/story.php?story_fbid=2948887775156462&id=224684514243482
Tom Cotton,,2020-02-19 10:10:27,"Dan Driscoll for Congress is the right choice for North Carolina. Dan served as a cavalry scout platoon leader, he fought for his country, and he is tough on illegal immigration.  I support Dan and hope you will too.",244,220,3,17,,,4,21,2948203878558185,/story.php?story_fbid=2948203878558185&id=224684514243482
Tom Cotton,,2020-02-18 09:39:47,"I strongly endorse Esther For Congress for Illinois 17th district. Esther is a captain in the Army Reserves, she’s a strong conservative, and she’s taking on the head of the DCCC who has been mired in scandals and chaos. This is a D+3 district and with our support, Esther can win.",235,221,5,8,1,,,27,2946057145439525,/story.php?story_fbid=2946057145439525&id=224684514243482
Tom Cotton,,2020-02-18 09:35:08,"In the majority of Democratic House seats where Trump won in '16, there is a Republican running who served in the military.  I'm launching an initiative to get these veterans elected to take back the House.  The best way to get Nancy Pelosi out of power is to help conservative veteran candidates who can win.",507,438,4,61,,,4,48,2946049768773596,/story.php?story_fbid=2946049768773596&id=224684514243482
Tom Cotton,,2020-02-17 15:40:20,"I'm supporting David Ray for AR House District 40 because David is a trusted advisor, a strong conservative, and we can count on him to cut our taxes.",262,230,9,23,,,,33,2944539705591269,/story.php?story_fbid=2944539705591269&id=224684514243482
Tom Cotton,,2020-02-17 09:38:58,"China continues to lie about the extent of the coronavirus and won't allow experts from the Center for Disease Control and the World Health Organization to observe and assist.  Now, the liberal media is attacking me and spouting the Communist Party line that it is ""debunked"" that the virus could have come from a lab.  The fact is, we don't know where the virus originated because China won't allow experts in to answer that question.  Instead of acting as mouthpieces for Beijing, perhaps the press can ask why China is refusing to allow experts in to Wuhan.",608,481,10,9,13,66,29,157,2943928835652356,/story.php?story_fbid=2943928835652356&id=224684514243482
Tom Cotton,,2020-02-13 10:41:26,"I've got an amendment that would allow President Trump to take out terrorists like Qasem Soleimani, and now Bernie Sanders is attacking me.  Bernie wants to ""sit down and resolve our differences with debate"" with terrorists who kill U.S. troops, and he's now attacking my amendment.  The fact is that Bernie is naive, he doesn't understand how the world works, and his socialist worldview is dangerous.",2K,1.8K,19,155,28,13,39,353,2935154376529802,/story.php?story_fbid=2935154376529802&id=224684514243482
Tom Cotton,,2020-02-12 17:19:58,"States that give driver's licenses to illegal immigrants are rewarding those who break the law.  I've got a bill to stop federal funding for these ""sanctuary states."" Share this if you agree that federal dollars should not go to states that blatantly violate our immigration laws.",1.4K,869,5,24,16,20,494,238,2933622553349651,/story.php?story_fbid=2933622553349651&id=224684514243482
Tom Cotton,,2020-02-12 16:58:26,"Early voting starts next week and I'll be voting for Barbara Womack Webb for Arkansas Supreme Court Justice. Barbara is a strong conservative who will follow the law as it is written, just like President Trump's judges that I am confirming in the Senate.  The Democrats will be showing up to vote for their socialist presidential candidates so we need strong turnout from all conservatives to vote for Barbara Webb.",925,885,7,28,1,1,3,74,2933590773352829,/story.php?story_fbid=2933590773352829&id=224684514243482
Tom Cotton,,2020-02-11 20:25:42,"I took a poll asking which Democrat running for President has the craziest views, and Bernie Sanders won in a landslide.  Medicare for All, the Green New Deal, open borders -- Bernie supports it all. Now, he's winning New Hampshire and might be the Democrat's nominee for President.  Share this if you agree we should never let a socialist win the White House.",117,88,7,1,1,9,11,47,2931766186868621,/story.php?story_fbid=2931766186868621&id=224684514243482
Tom Cotton,,2020-02-10 20:47:18,"The Democrats running for President don't just support ""sanctuary cities""—they want open borders.  That's better treatment for criminal illegal aliens than Americans. And even the ""moderate"" Dem candidates think your taxpayer dollars should pay for abortions for illegal aliens.",637,489,3,49,5,9,82,62,2929642320414341,/story.php?story_fbid=2929642320414341&id=224684514243482
Tom Cotton,,2020-02-10 11:05:56,"China has been lying about the coronavirus for weeks and now they're attacking me.  Here's some facts: -China lied about the virus starting in the Wuhan supermarket. -Wuhan has China’s only biosafety level-four super laboratory that works with the world’s most deadly pathogens including  coronavirus. We don't know where the virus started, but the burden is on the Chinese Communist Party to allow competent scientists in to address this growing crisis.",332,218,7,4,32,14,57,108,2928805190498054,/story.php?story_fbid=2928805190498054&id=224684514243482
Tom Cotton,,2020-02-05 16:52:51,"This sham impeachment is finally over. President Trump is acquitted.  The Democrats wanted to harm President Trump’s re-election—not seek the truth. Yet President Trump’s approval is at an all time high.  Now, we can focus on what matters to the American people.",1.8K,1.6K,16,237,2,1,17,242,2918566188188621,/story.php?story_fbid=2918566188188621&id=224684514243482
Tom Cotton,,2020-02-04 23:11:28,President Trump's State of the Union may have been his best speech yet. 🇺🇸 And Nancy Pelosi knows it--that's why she ripped up the speech in a temper tantrum.  SHARE if you agree that Pelosi's behavior was an embarrassment.,574,372,14,33,10,13,132,162,2917000211678552,/story.php?story_fbid=2917000211678552&id=224684514243482
Tom Cotton,,2020-02-03 13:35:33,"Democrats don't like to admit that this is the FOURTH time they have introduced Articles of Impeachment against President Trump.  The first time was when President Trump criticized NFL players who didn't stand for the anthem.  The second time was for supposedly not allowing transgender soldiers to serve in the military.  The third time was for saying that illegal immigrants should go back to their own countries.  And after this impeachment fails, the Democrats will try again.  Share this if you agree--it's time to end this sham impeachment and acquit President Trump.",442,352,7,9,15,10,49,87,2914208785291028,/story.php?story_fbid=2914208785291028&id=224684514243482
Tom Cotton,,2020-01-30 16:55:58,"Of the WHO’s declaration, Sen. Tom Cotton tweeted: “This declaration is a week overdue, but a welcome development. China must open completely to WHO and international scientists. And it’s more urgent than ever to stop travel between China and US.” Earlier this week, Cotton urged officials to implement a “target travel ban,” citing China’s previous lack of transparency in fighting illness outbreaks.",90,75,1,2,10,,2,50,2906121372766436,/story.php?story_fbid=2906121372766436&id=224684514243482
Tom Cotton,,2020-01-30 13:34:07,"The fact is that China is lying.  The coronavirus is far worse and more widespread than China is admitting, and it's time to immediately stop travel between the United States and China.  It's more important to protect the American people than to be politically correct, and we need a targeted travel ban right now.",1.3K,1.2K,1,38,17,5,4,150,2905820416129865,/story.php?story_fbid=2905820416129865&id=224684514243482
Tom Cotton,,2020-01-28 10:22:47,"Hunter Biden was working for a corrupt Ukrainian oligarch. Days after that oligarch’s home was raised and his property seized by Ukrainian authorities … Joe Biden was on the phone three times with the [previous] president of Ukraine. And lo and behold, three weeks later, that prosecutor was fired. So this is not a question of “digging up dirt.” This is a question of getting to the bottom of what is an obvious and glaring conflict of interest.",437,395,12,15,5,,10,118,2900925303286043,/story.php?story_fbid=2900925303286043&id=224684514243482
Tom Cotton,,2020-01-27 09:59:17,"Cotton said, “Yesterday they used just two hours and demolished the case the House Democrats presented using selective misrepresented quotes from tape, using transcripts that were out of context, or just generally fulminating about how enraged they are that Donald Trump is still the president.”",746,633,14,92,1,,6,81,2898855716826335,/story.php?story_fbid=2898855716826335&id=224684514243482
Tom Cotton,,2020-01-24 12:18:12,"While the Democrats want to use your tax dollars to pay for abortions for illegal immigrants, I'm honored to have an 'A' from the Susan B. Anthony List's Pro-Life Scorecard.  Thank you to everyone marching for Life today!",594,503,6,80,1,2,2,104,2892783784100195,/story.php?story_fbid=2892783784100195&id=224684514243482
Tom Cotton,,2020-01-23 12:35:06,"Cotton, R-Ark., made the comment on “America’s Newsroom” on Thursday, adding that if House Democrats “had strong evidence though, I think they’d simply present that evidence and let it speak for itself, but they don't."" ""That's why what we heard yesterday were repetitive arguments over and over again based on little more than hearsay, and the House Democrats' objections to Donald Trump being the president,” he continued.",1.2K,1.1K,29,99,8,4,15,238,2890719834306590,/story.php?story_fbid=2890719834306590&id=224684514243482
Tom Cotton,,2020-01-22 13:15:04,"Deadbeat Dad Hunter Biden is facing contempt of court for refusing to disclose his financial information.  Why would Hunter risk being thrown in jail to hide his income & taxes? Why won't he disclose the income he ""earned"" while Joe was Vice President?  You're probably hearing about this story for the first time, because CNN and the mainstream media are refusing to cover it.  Share this if you think it's time that Hunter Biden answered some questions.",2.3K,1.7K,247,52,174,25,91,358,2888721804506393,/story.php?story_fbid=2888721804506393&id=224684514243482
Tom Cotton,,2020-01-21 10:14:30,"Impeachment has done a lot of damage to the House, and that’s why it’s important the Senate put down a historical marker.  This partisan impeachment was conducted because the Democrats still are raging about Donald Trump winning in 2016.",858,793,6,26,4,17,12,183,2886419921403248,/story.php?story_fbid=2886419921403248&id=224684514243482
Tom Cotton,,2020-01-19 16:43:48,People from across Arkansas came to the Capitol today to march for life. I’m proud to stand beside all the Arkansans who participated and are working hard to build the pro-life movement in our state.,1.8K,1.5K,7,242,,1,1,98,2883070461738194,/story.php?story_fbid=2883070461738194&id=224684514243482
Tom Cotton,,2020-01-18 07:37:26,My interview with Mark Levin will be on FoxNews at 6pm CT / 7PM ET tonight.  https://www.foxnews.com/media/sen-tom-cotton-iraq-war-veteran-says-threat-of-future-soleimani-attacks-looks-different-to-soldiers-than-politicians,218,186,5,24,,1,2,41,2880066758705231,/story.php?story_fbid=2880066758705231&id=224684514243482
Tom Cotton,,2020-01-16 10:17:48,Why did Nancy Pelosi delay impeachment for 28 days? Maybe she was waiting for her commemorative pens to come in.,2.5K,1.9K,424,78,22,43,72,352,2876134945765079,/story.php?story_fbid=2876134945765079&id=224684514243482
Tom Cotton,,2020-01-14 14:10:56,"San Francisco, with the worst property crime in the U.S., elects a Marxist who fires prosecutors for prosecuting criminals.  This city cares more about criminals than victims or cops.  We'll see how well this works out for San Francisco.  https://www.sfexaminer.com/news/new-da-boudin-hires-public-defenders-amid-staffing-shakeup/",402,94,10,,30,49,219,107,2872191432826097,/story.php?story_fbid=2872191432826097&id=224684514243482
Tom Cotton,,2020-01-13 18:24:18,"Cotton, a veteran of the wars in Iraq and Afghanistan, said in an interview airing Sunday on ""Life, Liberty & Levin"" that he has seen intelligence that showed Soleimani, 62, was plotting ""something large [and] something very dangerous"" in the near future. ""The question of whether the attack is imminent or not ... looks very different if you're a soldier sitting in Iraq than if you're some comfortable senator sitting behind armed guards in Washington D.C.,"" Cotton said. The Arkansas lawmaker added that Soleimani ""was a sadistic terrorist mastermind and there is no country in the Middle East whose citizens have not suffered from his depredations.""",559,497,2,50,7,1,2,60,2870433623001878,/story.php?story_fbid=2870433623001878&id=224684514243482
Tom Cotton,,2020-01-12 17:31:57,It’s great to join Mark Levin on his show. Watch Fox News at 7 PM central / 8 PM eastern tonight to see it.,191,164,1,26,,,,41,2868159033229337,/story.php?story_fbid=2868159033229337&id=224684514243482
Tom Cotton,,2020-01-10 12:39:04,"Breaking news: Nancy Pelosi has folded.  She's given up her charade of withholding the articles from the Senate, but not before admitting that she bumbled impeachment.  Share this if you think it's time to focus on serving the people instead of a partisan impeachment sham.",852,779,26,34,7,1,5,112,2863041713741069,/story.php?story_fbid=2863041713741069&id=224684514243482
Tom Cotton,,2020-01-10 09:59:21,"Suleimani’s killing was justified, legal and strategically sound. The president meant what he said, as Suleimani learned the hard way.",816,732,7,70,5,,2,147,2862741810437726,/story.php?story_fbid=2862741810437726&id=224684514243482
Tom Cotton,,2020-01-09 12:40:51,"CNN aired Iranian propaganda accusing America of “terrorist action.” The guest was the spokeswoman for the Islamic revolutionaries of '79. She once threatened to shoot American hostages. In other words, CNN let a terrorist on air to accuse us of terrorism.",1.5K,261,159,3,62,25,1K,342,2860799647298609,/story.php?story_fbid=2860799647298609&id=224684514243482
Tom Cotton,,2020-01-08 14:57:19,"Our policy should be simple: we stand with cops, not criminals.  And we stand with the Jewish people against the ancient hatred that stalks them even to this day.",290,266,1,14,2,1,6,17,2858844630827444,/story.php?story_fbid=2858844630827444&id=224684514243482
Tom Cotton,,2020-01-08 13:52:29,"As I’ve said all along, if Iran wants to start a fight, the United States will end it. I suspect that Iran’s weak attacks on sand dunes at two of our bases in Iraq are a signal that the fight ended when we killed Qassem Soleimani, and that the mullahs are running scared.  A leopard can’t change its spots, and Tehran won’t change course overnight. They’ll continue using proxies to fight their battles. But they can’t hide—we know who their proxies are, and the United States will remain vigilant in the defense of our citizens and allies in the region.",1.1K,1K,2,90,,2,2,82,2858742497504324,/story.php?story_fbid=2858742497504324&id=224684514243482
Tom Cotton,,2020-01-07 09:14:58,"By refusing to send the articles to the Senate, Nancy Pelosi is admitting that her impeachment has been a bumbled failure.  If the Democrats don't want to have a trial then we should dismiss this and move on to things that matter to the American people.",2.4K,2.2K,19,248,3,1,9,198,2855969787781595,/story.php?story_fbid=2855969787781595&id=224684514243482
