source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Tommy Tuberville,,2020-03-02 21:49:52,"“I didn’t stick my finger up in the air and see which way the wind was blowing, see if it was going to cost me a vote. No reason to do that.” #TeamTub #DrainTheSwamp #GOP #Winner #Leader #MAGA #KAG #alsen",340,310,,32,,,,27,2476013359318402,/story.php?story_fbid=2476013359318402&id=2225580284361712
Tommy Tuberville,,2020-03-02 18:16:36,Tomorrow we’re going to show Washington and the rest of the country that Alabama is the tip of the spear! #TeamTub #DrainTheSwamp #GOP #Winner #Leader #MAGA #KAG #alsen,1K,932,,123,,,,157,2475909379328800,/story.php?story_fbid=2475909379328800&id=2225580284361712
Tommy Tuberville,,2020-03-02 14:30:08,ICYMI: “Why would you do this?” #TeamTub #DrainTheSwamp #GOP #Winner #Leader #MAGA #KAG #alsen,608,569,,39,,,,56,2475798699339868,/story.php?story_fbid=2475798699339868&id=2225580284361712
Tommy Tuberville,,2020-03-02 07:05:53,"We're just 24 hours from election day! It's game time and Coach needs conservatives to step up, make your plan to vote. This Republican Primary is vital - Alabama needs to send a Trump Conservative to Washington, not another do nothing career politician. Find your local polling location here: https://myinfo.alabamavotes.gov/VoterView/PollingPlaceSearch.do",735,669,2,64,,,,137,2470527909866947,/story.php?story_fbid=2470527909866947&id=2225580284361712
Tommy Tuberville,,2020-03-01 21:17:30,Pray for President Trump and our leaders.,985,853,1,127,1,,3,81,2475251622727909,/story.php?story_fbid=2475251622727909&id=2225580284361712
Tommy Tuberville,,2020-03-01 12:30:40,Send a leader. #TeamTub #DrainTheSwamp #GOP #MAGA #KAG #alsen,584,512,1,69,,,2,47,2474987542754317,/story.php?story_fbid=2474987542754317&id=2225580284361712
Tommy Tuberville,,2020-03-01 08:31:05,The government screws up anything they try to run. You can’t help the PEOPLE if all you’ve ever done is sat behind a desk. #TeamTub #DrainTheSwamp #GOP #Winner #Leader #MAGA #KAG #alsen,423,390,1,31,,,1,29,2474823982770673,/story.php?story_fbid=2474823982770673&id=2225580284361712
Tommy Tuberville,,2020-02-29 09:26:16,What qualifies me for the US Senate? Leadership. #TeamTub #DrainTheSwamp #GOP #Winner #Leader #MAGA #KAG #alsen,681,622,1,58,,,,112,2474107269509011,/story.php?story_fbid=2474107269509011&id=2225580284361712
Tommy Tuberville,,2020-02-28 19:39:37,I've spent the last 40 years fighting to win...not sitting behind a desk living off your tax dollars. #TeamTub #DrainTheSwamp #GOP #Winner #Leader #MAGA #KAG #alsen,693,609,1,83,,,,58,2473685199551218,/story.php?story_fbid=2473685199551218&id=2225580284361712
Tommy Tuberville,,2020-02-28 08:29:33,We’re four days away from telling Washington we’re tired of the same old thing. #TeamTub #DrainTheSwamp #GOP #Winner #Leader #MAGA #KAG #alsen,732,667,,64,,,1,79,2473319132921158,/story.php?story_fbid=2473319132921158&id=2225580284361712
