source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Michael Cooper,Michael Cooper",Michael Cooper,2020-03-03 20:35:56,,,,,,,,,,3537449346325649,/story.php?story_fbid=3537449346325649&id=1473018446102093
Michael Cooper,,2020-03-04 03:02:53,,40,26,,14,,,,2,3538215789582338,/story.php?story_fbid=3538215789582338&id=1473018446102093
"Michael Cooper,Michael Cooper",Michael Cooper,2020-03-03 13:23:46,,,,,,,,,,3536528796417704,/story.php?story_fbid=3536528796417704&id=1473018446102093
"Michael Cooper,Michael Cooper",Michael Cooper,2020-03-03 12:30:46,,,,,,,,,,3536398113097439,/story.php?story_fbid=3536398113097439&id=1473018446102093
"Michael Cooper,Michael Cooper",Michael Cooper,2020-03-03 12:30:41,South Oak Cliff !,,,,,,,,,3536397833097467,/story.php?story_fbid=3536397833097467&id=1473018446102093
Michael Cooper,,2020-03-03 20:12:47,,7,6,,1,,,,2,1837880816346494,/story.php?story_fbid=1837880816346494&id=1473018446102093
"Michael Cooper,Torey Doucette",Torey Doucette,2020-03-03 17:09:39,I’m so Disappointed. It was brought to my attention that Michael Cooper’s signs was removed or stolen if you would help me across Texas and other states let’s be the digital sign for Cooper￼forTx!!!!!,4,4,,,,,,,3537038463033404,/story.php?story_fbid=3537038463033404&id=1473018446102093
"Michael Cooper,Michael Cooper",Michael Cooper,2020-03-03 16:05:38,"DESOTO, Texas is voting! Make Michael Cooper your next United States Senator !",2,2,,,,,,,3536905213046729,/story.php?story_fbid=3536905213046729&id=1473018446102093
Michael Cooper,,2020-03-03 15:12:42,"Thank you Tyler, Tx for your vote! Cooperfortexas.com",2,2,,,,,,,3536782383059012,/story.php?story_fbid=3536782383059012&id=1473018446102093
Michael Cooper,,2020-03-03 13:23:49,"In Terrell, Tx ! I need your vote! Say, Hello to the Hometown of Jamie Foxx!",6,6,,,,,,,3536528486417735,/story.php?story_fbid=3536528486417735&id=1473018446102093
Michael Cooper,,2020-03-03 11:35:33,South Oak Cliff !,,,,,,,,,3536246183112632,/story.php?story_fbid=3536246183112632&id=1473018446102093
Michael Cooper,,2020-03-03 12:30:13,"DESOTO, Texas is voting! Make Michael Cooper your next United States Senator !",11,9,1,1,,,,,3536396606430923,/story.php?story_fbid=3536396606430923&id=1473018446102093
Michael Cooper,,2020-03-03 12:17:42,,3,2,,1,,,,,513674582648893,/story.php?story_fbid=513674582648893&id=1473018446102093
Michael Cooper,,2020-03-03 11:42:50,Please also vote for my friend Shenita Cleveland For Congress,4,3,,1,,,,,3536266006443983,/story.php?story_fbid=3536266006443983&id=1473018446102093
Michael Cooper,,2020-03-03 11:35:39,,8,7,,1,,,,1,185062736269723,/story.php?story_fbid=185062736269723&id=1473018446102093
,,2020-03-03 10:18:08,,,,,,,,,1,2703500246414279,/story.php?story_fbid=2703500246414279&id=1473018446102093
"Michael Cooper,Michael Cooper",Michael Cooper,2020-03-03 10:38:12,"I never met them, but as I walked out of my vehicle they recognized me! Mr. Ford said, “Mr. Cooper, we just finished voting for you”!",8,4,,4,,,,,3536078976462686,/story.php?story_fbid=3536078976462686&id=1473018446102093
