source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
David Weikle for US Senate,,2020-04-21 17:05:27,Voluntary Action > Government Force,15,15,,,,,,,1288721044804546,/story.php?story_fbid=1288721044804546&id=638871776456146
David Weikle for US Senate,,2020-04-19 16:03:11,My son turns  6 this week.  What was going on in the world when I turned 6? Waco.,30,28,,,1,1,,,1286586738351310,/story.php?story_fbid=1286586738351310&id=638871776456146
David Weikle for US Senate,,2020-04-19 10:05:52,Maybe modern problems require 18th century solutions? 🤔,37,28,1,8,,,,,1286315545045096,/story.php?story_fbid=1286315545045096&id=638871776456146
,,2020-04-17 10:52:55,Good job Michigan. Now it's our turn in South Carolina.  #ReopenAmerica #ReopenSC #DriveToThrive #DriveToThriveSC #complyanddie #Coronavirus2020 #covid_19 #MakeMachineGunsGreatAgain #MakeMachineGunsAgain #ShallNotBeInfringed #RepealBrady #RepealHughes #RepealTheNFA #AbolishTheATF #AbolishGunFreeZones #EndTheForeverWar #EndTheDrugWar #EndTheFed #RepealThe16th #TaxationIsTheft #AbolishTheIRS #endfiatcurrency #Gold #Silver #cryptocurrency  #Boogaloo2020 #Boogaflu2020 #FreeMarkets #FreeSpeech #FreePeople  @ University of South Carolina,17,16,,1,,,,,1284253818584602,/story.php?story_fbid=1284253818584602&id=638871776456146
David Weikle for US Senate,,2020-04-15 10:51:30,"While most of the world is locked down, governments are taking advantage of ""emergency powers"" to stop people from protesting, going to church or even working to provide for their families. Trade is shutting down between nations and States are taking actions to protect their citizens from outsiders -- even seizing goods from crossing State borders. I hope you are all prepared for a long and rough ride.",13,13,,,,,,,1282001575476493,/story.php?story_fbid=1282001575476493&id=638871776456146
David Weikle for US Senate,,2020-04-14 10:59:58,,23,16,6,1,,,,,1280919852251332,/story.php?story_fbid=1280919852251332&id=638871776456146
,,2020-04-09 23:05:14,"Will you join me in a fast? @ North Augusta, South Carolina",5,5,,,,,,,1276292976047353,/story.php?story_fbid=1276292976047353&id=638871776456146
"David Weikle for US Senate,Craig Bowden",,2020-04-09 10:53:26,"Yes, those are things that are happening right now... •Cara Schulz has showcased the test that takes 10-30 minutes. An at home test that could extend the knowledge of the spread. •Jocelyn Armstrong has been sewing and giving out face masks at no charge.""ThErE aRe No LiBeRtArIaNs In A cRiSiS"" Actual Libertarians: -Start sending seeds to places where it was deemed ""nonessential"" -Showcase a testing kit for COVID 19 the FDA is sitting on, volunteer to help with testing it -Start organizing food banks and crop shares -Offer to pick up groceries for high risk individuals  -Start 3D printing PPE for healthcare workers -Check in with people who live alone in locked down areas -Start teaching others self sufficiency  We don't wait for permission. We take action without being coerced.",37,31,,6,,,,,1275721606104490,/story.php?story_fbid=1275721606104490&id=638871776456146
"David Weikle for US Senate,Laird Minor",,2020-04-08 18:24:15,"So, about those decrees from Foghorn Leghorn...The General Assembly held a special one-day session today to pass a Continuing Resolution to keep the state government functioning during the COVID-19 emergency, and to handle some administrative matters concerning the use of federal disaster relief relating to it. (The Senate is also dealing with a few uncontested appointments.) The House passed the CR an hour or two ago and adjourned. The Senate remains in session, but undoubtedly will pass it too.  What matters to me is that neither chamber has taken up the issue of Governor McMaster's ""State of Emergency"" declaration, or the numerous Executive Orders which flowed from it. As I have previously pointed out, SC Code §25-1-440(a)(2) authorizes the Governor to ""declare a state of emergency for all or part of the State if he finds a disaster or a public health emergency, as defined in Section 44-4-130, has occurred, or that the threat thereof is imminent and extraordinary measures are considered necessary to cope with the existing or anticipated situation. A declared state of emergency shall not continue for a period of more than fifteen days without the consent of the General Assembly.""  That declaration occurred on March 13. Its statutory 15-day life span expired on March 29. Since the General Assembly has not ratified his orders, or otherwise dealt with any of the matters they contained, in my opinion all such Executive Orders are now void.",9,9,,,,,,,1275078239502160,/story.php?story_fbid=1275078239502160&id=638871776456146
"David Weikle for US Senate,Lyman Bishop",,2020-04-08 10:15:09,"Here is a man who would make me pause to consider moving to Montana. If you don't already follow Lyman Bishop and his run for governor, you should consider it. #RepealBrady #RepealHughes #RepealTheNFA #AbolishTheATF #AbolishGunFreeZones #ShallNotBeInfringed #FullFunFreedom #10thAmendmentShooting firearms on my own property is about all I have time for anymore, but the sacrifice will be well worth it if we can protect the future of the Great State of Montana. #montana #gubernatorial #election #2020 #lyman2020 #freedom #selfdefense #firearms #bodyarmor #nijcertified #leveliv #26300 #hoplitearmor #hecklerandkoch #40usp #nullifythenfa @lymanbishopforgovernor",58,49,,9,,,,,1274640452879272,/story.php?story_fbid=1274640452879272&id=638871776456146
David Weikle for US Senate,,2020-04-07 17:13:20,I'm a free man and I don't need papers to prove that I'm free to travel.,31,20,2,8,,,1,,1274001506276500,/story.php?story_fbid=1274001506276500&id=638871776456146
David Weikle for US Senate,,2020-04-07 13:49:54,,11,7,4,,,,,,1273830306293620,/story.php?story_fbid=1273830306293620&id=638871776456146
