source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Bradley Byrne,,2020-03-02 13:13:23,Huge crowd for our campaign in Vestavia Hills for our Meet & Greet lunch!! Birmingham is gearing up to VOTE BYRNE tomorrow!,50,42,,8,,,,6,2494063984244879,/story.php?story_fbid=2494063984244879&id=113184250589
Bradley Byrne,,2020-03-02 11:54:44,HUGE energy for our campaign in Huntsville this morning. North Alabama is fired up to Vote Bradley Byrne for U.S. Senate at the polls tomorrow! #TrumpByrne2020,23,22,,1,,,,4,10157690676680590,/story.php?story_fbid=10157690676680590&id=113184250589
Bradley Byrne,,2020-03-02 11:53:03,I’m fighting to fire Doug Jones and be President Trump’s right hand man as U.S. Senator. Vote Trump & Byrne tomorrow to make it happen!,8,6,,2,,,,,10157690456285590,/story.php?story_fbid=10157690456285590&id=113184250589
Bradley Byrne,,2020-03-02 11:42:26,"For information regarding your polling place, please check out this link from the Alabama Secretary of State to locate your polling location. Don’t forget to bring your photo ID to the polls! #VoteByrne https://myinfo.alabamavotes.gov/VoterView/PollingPlaceSearch.do",8,8,,,,,,1,10157690673120590,/story.php?story_fbid=10157690673120590&id=113184250589
Bradley Byrne,,2020-03-02 11:24:32,Huntsville is motivated to FIRE Doug Jones! Thanks to the crew at the Blue Plate for the warm welcome. North Alabama deserves a Senator who won’t back down from the fight. Tomorrow head to the polls and vote for Byrne and Trump!,36,35,,1,,,,2,10157690638095590,/story.php?story_fbid=10157690638095590&id=113184250589
Bradley Byrne,,2020-03-02 10:25:16,"When President Trump needed a fighter, I stepped up and went after the radical impeachment Democrats. That's what Alabama needs in a U.S. Senator, a proven conservative fighter who will go to bat for President Trump. I've already proven that I'm a fighter, and I'm asking for your vote to continue that fight as Senator. Vote Trump & Byrne TOMORROW!",166,145,2,20,,,1,19,10157690430885590,/story.php?story_fbid=10157690430885590&id=113184250589
Bradley Byrne,,2020-03-02 09:51:47,🚨ALABAMA VOTERS →  Tomorrow is Election Day! Head to the polls to cast your ballot for Bradley Byrne for U.S. Senate and Donald Trump for President. Polls are open from 7AM-7PM! #VoteByrne #SuperTuesday,63,49,2,11,,,1,6,10157690419240590,/story.php?story_fbid=10157690419240590&id=113184250589
"Bradley Byrne,Johnny Spann",Johnny Spann,2020-03-01 22:53:10,Tuesday is a big day. We need to give President Trump the tools to do his job.  Vote Bradley Byrne for US Senate  He is a proven conservative. 97 Percent voting record with President Trump  We won’t have to guess how’s he’s going to vote.,59,55,1,3,,,,5,10157689479560590,/story.php?story_fbid=10157689479560590&id=113184250589
Bradley Byrne,,2020-03-01 21:09:39,"When President Trump proposed a huge increase in funding for our military, I was 100% behind him. Our military forces are the bravest out there, and they deserve the best equipment and resources we can provide. I helped President Trump get that done and will continue to fight for a stronger military as U.S. Senator.",29,23,,5,1,,,2,10157688924660590,/story.php?story_fbid=10157688924660590&id=113184250589
Bradley Byrne,,2020-03-01 18:52:36,I will never stop fighting for Alabama. Here is my promise to you: Vote Bradley Byrne for U.S. Senate on March 3rd and I'll continue the fight with President Trump to protect our conservative Alabama values!,38,32,,6,,,,5,10157688906315590,/story.php?story_fbid=10157688906315590&id=113184250589
"Bradley Byrne,Bradley Byrne",Bradley Byrne,2020-03-01 18:22:26,"Showcase your #TeamByrne Pride by updating your Facebook frame leading up to the March 3rd Election Day.  Follow the link below and click into “Use Frame” to add our frame to your profile photo!Showcase your Team Byrne pride by adding our ""Vote March 3rd"" frame to your profile pic!",33,29,,4,,,,1,10157688458890590,/story.php?story_fbid=10157688458890590&id=113184250589
Bradley Byrne,,2020-03-01 16:45:56,"Bringing Space Force to Huntsville would be a game changer for Alabama. It’s the best and obvious choice to be home of the US Space Force, and we need a Senator who can get that done. I’m working hard for it, and I ask that you vote for Bradley Byrne on March 3rd so I can continue fighting for Space Force.",62,59,,3,,,,1,10157688455160590,/story.php?story_fbid=10157688455160590&id=113184250589
Bradley Byrne,,2020-03-01 16:33:38,"A huge THANK YOU from Patrick, Carolyn, and the kids to all of Team Byrne and reminder to vote Bradley Byrne for U.S. Senate on March 3rd! #TeamByrne",86,70,,16,,,,5,10157688533715590,/story.php?story_fbid=10157688533715590&id=113184250589
Bradley Byrne,,2020-03-01 15:56:10,🚨TUESDAY is Election Day in Alabama! I'm running for the U.S. Senate to FIRE Democrat Doug Jones and send President Trump a conservative fighter for Alabama. Vote Trump & Byrne on March 3rd!,745,649,14,69,1,1,11,127,10157688413440590,/story.php?story_fbid=10157688413440590&id=113184250589
Bradley Byrne,,2020-03-01 13:38:02,Birmingham friends! Come visit with us tomorrow at Noon at the Ranch House in Vestavia Hills. This will be our LAST Birmingham stop before Election Day on March 3rd!,29,28,,1,,,,,10157688017410590,/story.php?story_fbid=10157688017410590&id=113184250589
