source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Casey for Senate,,2020-03-02 14:16:43,I'm excited to announce the first part of a mini video series so you can learn a little more about me and my platform to become the next Illinois Senator. Please take a look! https://youtu.be/QYNZbLknk_Y,9,8,,1,,,,2,207384143964254,/story.php?story_fbid=207384143964254&id=102327407803262
Casey for Senate,,2020-02-28 17:52:43,,12,9,,3,,,,,205263370842998,/story.php?story_fbid=205263370842998&id=102327407803262
Casey for Senate,,2020-02-23 17:14:12,It's time to kick out Durbin! Learn more about me and why I am the best conservative to take on Durbin. Vote Casey this March 17th!  https://www.chicagotribune.com/opinion/editorials/ct-who-is-casey-chlebek-us-senate-candidate-20200228-ypyljcelkvdy7jukhbjx2xb3py-story.html,1.7K,1.6K,7,69,4,2,6,165,201616334541035,/story.php?story_fbid=201616334541035&id=102327407803262
Casey for Senate,,2020-02-11 07:49:24,I am thrilled and honored to announce that my letter to President Donald Trump was delivered to the White House today! It's my goal to Make America Proud Again. Who's with me this March 17th?,874,727,21,95,2,4,25,100,192263235476345,/story.php?story_fbid=192263235476345&id=102327407803262
Casey for Senate,,2020-02-08 17:20:57,Learn more about me at caseyforsenate.com! Email me at info@caseyforsenate.com with any concerns or reforms you want to see in the future!,25,24,,1,,,,1,190412595661409,/story.php?story_fbid=190412595661409&id=102327407803262
Casey for Senate,,2020-02-02 20:17:54,Lunch time at the Family Restaurant Polska Chata on Belmont in Chicago,15,14,,1,,,,1,186236689412333,/story.php?story_fbid=186236689412333&id=102327407803262
Casey for Senate,,2020-02-02 20:14:30,I will always support family businesses. Today I visited one of the biggest grocery stores in Chicago; Montrose Deli. Thank you so much Mr Stanley Urbaniak and Family for the donation to help me become the first U.S. Senator from Polonia in Illinois,13,11,,2,,,,,186234942745841,/story.php?story_fbid=186234942745841&id=102327407803262
Casey for Senate,,2020-02-02 19:52:41,Celebrating Sunday Mass at St. Rosalie Catholic Church. My faith is incredibly important to me.,34,30,,3,1,,,1,186226126080056,/story.php?story_fbid=186226126080056&id=102327407803262
Casey for Senate,,2020-01-31 22:27:21,,5,4,,1,,,,,521303662070782,/events/521303662070782?view=permalink&id=521303672070781
Casey for Senate,,2020-01-31 13:52:03,Thank you Chicago Sun Times for the profile! https://chicago.suntimes.com/2020/1/30/21084023/casey-chlebek-us-senate-republican-primary-candidate-profile-2020-election,3.4K,3.1K,27,194,16,4,75,337,184620846240584,/story.php?story_fbid=184620846240584&id=102327407803262
"Casey for Senate,Daily Herald",Daily Herald,2020-01-24 16:00:51,"Watch Casey in front of the Daily Herald Editorial Board today with the 4 other candidates running in the Republican primary for IL Senator.Watch the GOP candidates who are seeking nomination to challenge Democrat Dick Durbin in November answer questions from the Daily Herald Editorial Board.  They are: former Lake County Sheriff Mark Curran of Libertyville, retired IRS analyst Peggy Hubbard of Belleville, former Burr Ridge Trustee Robert Marshall, urological oncologist Tom Tarter of Springfield and Casey Chlebek of Glenview, president of the Illinois division of the Polish American Congress.",5,4,,1,,,,2,179759450060057,/story.php?story_fbid=179759450060057&id=102327407803262
Casey for Senate,,2020-01-23 15:19:43,,1,,,1,,,,,2657504274344673,/events/2657504274344673?view=permalink&id=2657504284344672
Casey for Senate,,2020-01-23 15:14:22,Join Casey at Jolly Inn on Friday January 24th at 6 PM to meet him and ask questions of what you want from the next IL Senator. Join us tomorrow!,3,1,1,1,,,,,178790073490328,/story.php?story_fbid=178790073490328&id=102327407803262
Casey for Senate,,2019-11-05 18:52:02,Students we need your help! Volunteer today to get a free ticket to help gets signatures the Blackhawks vs Hurricanes game for Polish Heritage Night at the United Center! Email info@caseyforsenate.com or call us at 312-898-2398 to grab your spot today! https://caseyforsenate.com/2019/11/05/student-volunteers-needed-get-a-free-ticket-to-blackhawks-game-for-polish-heritage-night/,3,2,,1,,,,,147842686585067,/story.php?story_fbid=147842686585067&id=102327407803262
Casey for Senate,,2019-09-24 13:31:36,,2,1,,1,,,,1,628143484675956,/events/628143484675956?view=permalink&id=628143511342620
Casey for Senate,,2019-09-24 13:21:46,Join us this Friday for a volunteer meeting and rally! https://www.eventbrite.com/e/campaign-volunteer-meeting-for-casey-chlebek-for-senate-tickets-73977004211,1,,,1,,,,,129866975049305,/story.php?story_fbid=129866975049305&id=102327407803262
Casey for Senate,,2019-08-17 15:29:49,,2,1,,1,,,,,102330001136336,/caseyforussenate/photos/a.102327877803215/102330001136336
Casey for Senate,,2019-08-17 15:25:01,,4,3,,1,,,,,102327784469891,/caseyforussenate/photos/a.102327467803256/102327784469891
Casey for Senate,,2019-11-05 18:52:02,Students we need your help! Volunteer today to get a free ticket to help gets signatures the Blackhawks vs Hurricanes game for Polish Heritage Night at the United Center! Email info@caseyforsenate.com or call us at 312-898-2398 to grab your spot today! https://caseyforsenate.com/2019/11/05/student-volunteers-needed-get-a-free-ticket-to-blackhawks-game-for-polish-heritage-night/,3,2,,1,,,,,147842686585067,/story.php?story_fbid=147842686585067&id=102327407803262
Casey for Senate,,2019-09-24 13:31:36,,2,1,,1,,,,1,628143484675956,/events/628143484675956?view=permalink&id=628143511342620
Casey for Senate,,2019-09-24 13:21:46,Join us this Friday for a volunteer meeting and rally! https://www.eventbrite.com/e/campaign-volunteer-meeting-for-casey-chlebek-for-senate-tickets-73977004211,1,,,1,,,,,129866975049305,/story.php?story_fbid=129866975049305&id=102327407803262
Casey for Senate,,2019-08-17 15:29:49,,2,1,,1,,,,,102330001136336,/caseyforussenate/photos/a.102327877803215/102330001136336
Casey for Senate,,2019-08-17 15:25:01,,4,3,,1,,,,,102327784469891,/caseyforussenate/photos/a.102327467803256/102327784469891
