source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Doug Collins,,2020-03-05 20:58:50,"“No one fought harder for the President than Doug Collins, and if I lived in Georgia, I’d be right out front and center for him.”",548,456,4,87,1,,,46,3096241630410390,/story.php?story_fbid=3096241630410390&id=253791814655400
Doug Collins,,2020-03-05 20:39:00,"""We're going to have a good campaign. We're going to talk to the voters of Georgia and we're going to win this.""",800,695,3,102,,,,128,3090902484277638,/story.php?story_fbid=3090902484277638&id=253791814655400
Doug Collins,,2020-03-05 17:41:47,Mike Bloomberg losing on Super Tuesday and suspending his campaign just goes to show that you can't buy an election. The voters in Georgia - not millions of outside dollars from Kelly Loeffler and her friends - will decide who represents them in the Senate this November.,937,826,12,96,,1,2,99,3095971190437434,/story.php?story_fbid=3095971190437434&id=253791814655400
Doug Collins,,2020-03-05 12:19:53,We're going to fight against Chuck Schumer and his kind in the Senate! They believe that life doesn't matter and they have no regard for the innocent babies being killed in the womb.,2.9K,2.5K,7,439,5,2,4,214,3095450720489481,/story.php?story_fbid=3095450720489481&id=253791814655400
Doug Collins,,2020-03-05 09:20:56,,335,280,3,27,3,2,20,66,3095120953855791,/story.php?story_fbid=3095120953855791&id=253791814655400
Doug Collins,,2020-03-04 18:43:30,The negative attack ads against our campaign are ramping up but true conservatives are starting to take notice. We need someone authentic representing Georgia in the Senate. Help our campaign now >>> https://secure.anedot.com/collins-for-senate/dark-money-attack?sc=fb030420&amount=10,1K,473,7,11,62,33,429,209,3093625820671971,/story.php?story_fbid=3093625820671971&id=253791814655400
Doug Collins,,2020-03-04 14:23:11,"I'm sure you've seen all the negative ads mischaracterizing my record from  Kelly Loeffler and her friends. Don't let your friends, family, and neighbors be fooled by their lies. Let's set the record straight.",873,723,3,137,4,3,4,130,3093324884035398,/story.php?story_fbid=3093324884035398&id=253791814655400
Doug Collins,,2020-03-04 12:57:00,"Thanks, Todd Starnes!  >>>Help us beat the establishment’s attacks: https://secure.anedot.com/collins-for-senate/dark-money-attack?sc=fb030420&amount=10",1.8K,1.5K,7,255,1,,3,82,3093171097384110,/story.php?story_fbid=3093171097384110&id=253791814655400
Doug Collins,,2020-03-04 11:10:31,"I’m a proud conservative, gun-owner, veteran, pastor, and Trump-supporter. Together with your help, I’ll be a United States Senator. Please join my campaign by lending your endorsement here>>>>https://dougforgeorgia.com/endorse?sc=fb030420",3K,2.5K,7,489,,,2,221,3092963680738185,/story.php?story_fbid=3092963680738185&id=253791814655400
Doug Collins,,2020-03-03 19:56:46,"Lou Dobbs agrees that the attacks on my campaign are downright nasty. Let’s have a debate of ideas, and let the voters decide on election day who is the best candidate.  >> Help me fight back: https://secure.anedot.com/collins-for-senate/dark-money-attack?sc=fb030320&amount=10",1.1K,1K,6,85,8,3,16,181,3091511394216747,/story.php?story_fbid=3091511394216747&id=253791814655400
Doug Collins,,2020-03-03 17:47:31,If you have questions about the ads you’ve seen that attack my good name...then please read this article and share it with friends.  Mitch McConnell and the D.C. swamp are spending millions on tv ads to mischaracterize my record and help Kelly Loeffler.  We don’t have the money they do but we appreciate your grassroots support and with your help we will beat the D.C. swamp machine. >>Don't let the swamp win: https://secure.anedot.com/collins-for-senate/dark-money-attack?sc=fb030320&amount=10,1.3K,1K,5,28,39,24,211,556,3091336937567526,/story.php?story_fbid=3091336937567526&id=253791814655400
Doug Collins,,2020-03-03 14:43:11,"Swamp Couldn’t Stop You from Electing Trump, Schiff Can’t Spell ‘Truth’",648,560,3,84,1,,,42,3090901184277768,/story.php?story_fbid=3090901184277768&id=253791814655400
