source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Dick Durbin,,2020-03-03 15:44:05,Coronavirus is a serious public health concern. We need a realistic response and competent leadership at the helm during this crisis.,40,30,11,,,1,,27,10157776328939303,/story.php?story_fbid=10157776328939303&id=6170309302
Dick Durbin,,2020-03-02 20:51:47,"I’m supporting Kim Foxx for Cook County State's Attorney because she has taken crucial steps in her first term as Cook County State’s Attorney to reform our criminal justice system, declining to prosecute low-level offenders, and pursuing alternatives to prison, all while increasing resources to combat violent gun crimes.  As early voting gets underway today in Illinois, please consider contributing now to support Kim Foxx.",61,30,18,3,2,,8,40,10157774114634303,/story.php?story_fbid=10157774114634303&id=6170309302
Dick Durbin,,2020-03-01 15:08:02,It’s time for us to hold Secretary DeVos and the Trump Administration accountable for their inexcusable failure to stand with student borrowers who were cheated by for-profit schools.,294,238,12,9,2,5,28,52,10157770649989303,/story.php?story_fbid=10157770649989303&id=6170309302
Dick Durbin,,2020-02-29 11:44:10,The House took an important step in the fight to stop the epidemic of youth vaping and tobacco use. The Senate should join the fight and take these products that target our kids off the market.,130,95,4,13,4,2,12,34,10157767121894303,/story.php?story_fbid=10157767121894303&id=6170309302
Dick Durbin,,2020-02-28 13:59:01,It has been a year since the House passed its bipartisan background checks legislation. It is unconscionable for Mitch McConnell to continue to block this life-saving legislation from a vote in the Senate.,237,105,5,5,3,22,97,60,10157764536659303,/story.php?story_fbid=10157764536659303&id=6170309302
Dick Durbin,,2020-02-27 22:33:00,"So far, the Trump Administration’s response to coronavirus is insufficient. We need to listen to our health officials and prepare to respond to a serious outbreak in the U.S.",247,142,12,3,4,33,53,87,10157762641874303,/story.php?story_fbid=10157762641874303&id=6170309302
Dick Durbin,,2020-02-27 14:11:23,Congress allocated these funds for our military — not for President Trump’s border wall. It’s time for the Senate to stand up for our constitutional authority and return these crucial funds to our troops.,603,493,12,89,,1,8,78,10157761494509303,/story.php?story_fbid=10157761494509303&id=6170309302
Dick Durbin,,2020-02-26 13:25:02,"I commend Chicago’s Department of Public Health for their response to two cases of coronavirus in Illinois. At the federal level, we need a dramatic increase in funding to stop the spread of this disease in its tracks.",155,132,8,15,,,,36,10157758538619303,/story.php?story_fbid=10157758538619303&id=6170309302
Dick Durbin,,2020-02-25 22:34:00,Joseph Maguire told the truth. Russia is most certainly working to sabotage our 2020 election.,247,131,15,3,3,13,82,57,10157756941674303,/story.php?story_fbid=10157756941674303&id=6170309302
Dick Durbin,,2020-02-25 12:10:47,One out of five adults in America are unpaid caregivers for their loved ones. I am working in the Senate to pass the Supporting America’s Caregivers and Families Act to help support them.,466,394,2,68,1,,1,50,10157755544649303,/story.php?story_fbid=10157755544649303&id=6170309302
