source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Doug Jones for Senate,,2020-02-24 13:58:01,"Wow, Alabama! In just 2 hours, tickets for A Concert for One Alabama with Jason Isbell By Doug Jones for Senate have SOLD OUT! Limited Champion Seats are still available, get your tickets before those are gone too! Thank you so much for your support. We can't wait to celebrate with all of you March 3!",259,215,1,32,11,,,4,1143209992708373,/story.php?story_fbid=1143209992708373&id=429812024048177
Doug Jones for Senate,,2020-02-24 11:01:06,"Tickets are live! Get yours now, we can't wait to see y'all there: https://www1.ticketmaster.com/event/20005855AEF4B20D",22,15,1,6,,,,2,1143103882718984,/story.php?story_fbid=1143103882718984&id=429812024048177
Doug Jones for Senate,,2020-02-24 10:12:25,"Doug was honored to be the guest speaker last night at the Bullock County Voter League where members are serious about elections. They even took notes! Thanks for having us, Bullock County!",243,217,1,25,,,,7,1143072812722091,/story.php?story_fbid=1143072812722091&id=429812024048177
Doug Jones for Senate,,2020-02-23 15:15:00,Last call to bring your friends and neighbors together to host a One Alabama House Party! Sign up here and we'll help you get started:,53,44,,8,,,1,4,1142453039450735,/story.php?story_fbid=1142453039450735&id=429812024048177
Doug Jones for Senate,,2020-02-22 20:12:44,Have y'all heard? 🎶 Jason Isbell is down in Birmingham for a Concert for One Alabama.  Tickets go on sale 2.24 at 10 A.M. CST.,83,80,,2,,,1,1,1141822999513739,/story.php?story_fbid=1141822999513739&id=429812024048177
Doug Jones for Senate,,2020-02-22 12:35:14,See y’all March 3rd.  Tickets on sale 2.24.20 at 10 A.M. CST,1.3K,1.1K,5,217,3,,1,16,1141567696205936,/story.php?story_fbid=1141567696205936&id=429812024048177
"Doug Jones for Senate,2nd Chance",2nd Chance,2020-02-21 20:51:21,"Doug had a lot to cover with Kenny Anderson from 2nd Chance Radio — expanding health care in Alabama, Doug's work on the 16th Street Baptist Church case, and more. Watch Doug’s full interview here:Check out my insightful interview with U.S. Senator Doug Jones (D- Alabama) pre-recorded for an upcoming segment of the 2nd Chance’ radio show. We talked about the impeachment vote, his role in the conviction of the 16th Street Church bomber, key accomplishments while in the Senate and more. Thanks to Senator Jones and his staff for this opportunity!",120,102,1,14,,1,2,5,1141566886206017,/story.php?story_fbid=1141566886206017&id=429812024048177
Doug Jones for Senate,,2020-02-21 21:10:03,"Happy Mardi Gras, Alabama!  To celebrate the birthplace of Fat Tuesday, we've got the perfect Facebook frame for you and your Krewe!",551,484,4,62,,,1,12,1141078062921566,/story.php?story_fbid=1141078062921566&id=429812024048177
Doug Jones for Senate,,2020-02-21 19:30:47,"Doug is working across the aisle to protect farmers and manufacturers in Alabama that have been impacted by tariffs. ""I think we could have gotten a better deal had we all worked together."" Check out part 3 of Doug's 5-part interview with the Huntsville Business Journal and read about how Doug is working across the aisle to protect Alabama farmers, businesses and workers.",122,99,2,20,,,1,5,1140968686265837,/story.php?story_fbid=1140968686265837&id=429812024048177
Doug Jones for Senate,,2020-02-21 16:05:41,"On Team Doug we believe Alabamians have more in common than what divides us -- and that includes our love of good music.  Join Jason Isbell and Doug Jones for a One Alabama concert, March 3 at the Lyric Theatre in Birmingham! TICKETS ON SALE 2.24.2020 AT 10 A.M. CST",429,348,4,74,2,,1,12,1140927546269951,/story.php?story_fbid=1140927546269951&id=429812024048177
Doug Jones for Senate,,2020-02-21 15:16:59,"One Alabama isn't just a campaign slogan for Doug, it's how he leads. Doug has consistently held town halls across the state over the past two years with Alabamians from every corner of the state. Team Doug is proud he has taken the Town Hall Project's Town Hall Pledge for 2020.",247,215,,30,2,,,9,1140901316272574,/story.php?story_fbid=1140901316272574&id=429812024048177
Doug Jones for Senate,,2020-02-21 14:02:41,"Happy birthday to civil rights hero Representative John Lewis. An inspiration to all of us on Team Doug, big and small.",620,497,,122,,,1,11,1140855712943801,/story.php?story_fbid=1140855712943801&id=429812024048177
Doug Jones for Senate,,2020-02-21 13:19:58,"Laissez les bons temps rouler, Alabama! Did y'all know that Mardi Gras started in Mobile? To celebrate, Lillian from Team Doug is taking over Instagram and Snapchat for a behind the scenes look at the ORIGINAL Mardi Gras. Follow along at https://www.instagram.com/dougjoneshq/ and on Snapchat here: https://www.snapchat.com/add/dougjoneshq",643,576,2,62,,1,2,15,1140824616280244,/story.php?story_fbid=1140824616280244&id=429812024048177
Doug Jones for Senate,,2020-02-21 12:33:40,Have you met our student organizers? They're on campuses across Alabama ready to spread the word and get out the vote for One Alabama!,707,592,5,108,,,2,32,1140794816283224,/story.php?story_fbid=1140794816283224&id=429812024048177
Doug Jones for Senate,,2020-02-20 20:48:33,Older Alabamians need someone like Doug in their corner.,668,571,4,88,2,1,2,45,1140202039675835,/story.php?story_fbid=1140202039675835&id=429812024048177
Doug Jones for Senate,,2020-02-20 18:45:56,"We're so proud to have Whit working at UAB for Team Doug, congratulations!",340,312,,27,,,1,12,1140142516348454,/story.php?story_fbid=1140142516348454&id=429812024048177
Doug Jones for Senate,,2020-02-20 17:56:03,Still looking for something to do on Super Tuesday? Sign up to host a One Alabama House Party and invite over your friends from both sides of the aisle to come together for a campaign that puts unity over division.,183,159,2,21,,,1,5,1140120309684008,/story.php?story_fbid=1140120309684008&id=429812024048177
Doug Jones for Senate,,2020-02-20 17:20:59,Our student organizers are already hard at work on campuses across the state! Thanks Madison Hollon for spreading the message of #OneAlabama at the University of Montevallo!,1.7K,1.4K,6,266,1,3,4,56,1140103729685666,/story.php?story_fbid=1140103729685666&id=429812024048177
Doug Jones for Senate,,2020-02-20 15:46:03,"By refusing to expand Medicaid in Alabama, our state loses out on funding for everything from making sure thousands more Alabamians have health insurance to keeping our rural hospitals open. Doug introduced legislation to incentivize the 14 states like ours that have not expanded Medicaid to expand Medicaid through the States Achieving Medicaid Expansion (SAME) Act. Doug won't stop working to make sure the people of Alabama have access to quality, affordable healthcare.",720,604,2,109,,2,3,47,1140055263023846,/story.php?story_fbid=1140055263023846&id=429812024048177
Doug Jones for Senate,,2020-02-19 16:31:25,"Alabama's economy needs a Senator who is working to address our state's most pressing issues: a modern workforce, good opportunities and training opportunities for jobs of the future. Read part 1 of Doug's interview with the Huntsville Business Journal here:",531,461,3,66,,,1,46,1139314253097947,/story.php?story_fbid=1139314253097947&id=429812024048177
Doug Jones for Senate,,2020-02-19 12:33:29,"Team Doug is headed to school -- across college campuses in Alabama! Today we're launching our Student Organizer Program. From Huntsville to Mobile, , Tuscaloosa to Tuskegee, the Shoals to the Wiregrass,, our student organizers are working for #OneAlabama across our state!",302,259,3,38,,,2,15,1139180743111298,/story.php?story_fbid=1139180743111298&id=429812024048177
Doug Jones for Senate,,2020-02-18 18:30:20,"Supporting education in Alabama means supporting our HBCUs -- not only do we have the most in the country, we have some of the best.",234,211,1,22,,,,14,1138571676505538,/story.php?story_fbid=1138571676505538&id=429812024048177
Doug Jones for Senate,,2020-02-18 17:03:06,Alabama women die from pregnancy and childbirth complications at more than double the rate of women nationally. Women of color are particularly at risk. Alabama's mothers deserve better. And Doug won't stop working to make sure they get the care they need.,915,483,1,16,22,352,41,36,1138550246507681,/story.php?story_fbid=1138550246507681&id=429812024048177
Doug Jones for Senate,,2020-02-17 19:00:01,What does #OneAlabama mean?  Listening to what's important to people from every corner of the state.,486,407,2,77,,,,27,1137785106584195,/story.php?story_fbid=1137785106584195&id=429812024048177
Doug Jones for Senate,,2020-02-17 18:03:52,Want to vote in the March 3rd primary? Make sure you're registered by midnight tonight! You can register online or check your voter registration here: https://www.sos.alabama.gov/alabama-votes Tag three friends to check their voter registration in the comments 👇,228,215,,13,,,,17,1137783329917706,/story.php?story_fbid=1137783329917706&id=429812024048177
Doug Jones for Senate,,2020-02-15 13:30:41,"“It’s always us against them, and that’s why we want to emphasize ‘One Alabama.’ It’s important that people realize we are all in this together.” Doug is continually reaching across party lines and working for ALL of Alabama. https://www.birminghamtimes.com/2020/02/sen-doug-jones-on-how-he-plans-to-win-alabama-again/",924,760,6,153,,2,3,48,1136037386758967,/story.php?story_fbid=1136037386758967&id=429812024048177
Doug Jones for Senate,,2020-02-15 12:32:08,March 3rd is less than three weeks away! Have you signed up to host a One Alabama House Party in your community yet?,482,400,6,72,1,1,2,21,1136026000093439,/story.php?story_fbid=1136026000093439&id=429812024048177
Doug Jones for Senate,,2020-02-14 16:45:03,"If you're in Birmingham, make sure you grab a copy of this week's Birmingham Times -- we think it's got a cover story worth reading: https://www.birminghamtimes.com/2020/02/sen-doug-jones-on-how-he-plans-to-win-alabama-again/",543,469,3,69,,,2,22,1135344866828219,/story.php?story_fbid=1135344866828219&id=429812024048177
