source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Dr. Manny Sethi for Senate,,2020-05-02 10:29:46,Join Maya and I for another virtual town hall this Saturday morning! We'll be taking your questions as well as giving updates on the campaign.,50,36,,14,,,,,1097017264015449,/story.php?story_fbid=1097017264015449&id=2265971750329892
,,2020-05-02 00:43:23,Join Maya and I for another virtual town hall this Saturday morning! We'll be taking your questions as well as giving updates on the campaign.,9,9,,,,,,,2538930456367352,/story.php?story_fbid=2538930456367352&id=2265971750329892
Dr. Manny Sethi for Senate,,2020-05-01 17:17:18,‪This is spot on! The Communist Chinese government is no friend to America and never will be. We must work to uncouple ourselves and never allow this type of damage to be inflicted on our country again!‬,118,109,,9,,,,,2538707443056320,/story.php?story_fbid=2538707443056320&id=2265971750329892
Dr. Manny Sethi for Senate,,2020-05-01 11:38:19,"If you'd like to receive a yard sign showing your support for Dr. Manny, sign up here and check the ""Put Up a Yard Sign"" box at the bottom!",24,23,,1,,,,,2538504196409978,/story.php?story_fbid=2538504196409978&id=2265971750329892
Dr. Manny Sethi for Senate,,2020-05-01 09:00:53,Healthcare providers don’t need more bureaucracy! Certificates of Needs are yet another example of the government adding red tape between provider and patient.  We must get the hand of government out of the free market!,46,42,,2,,1,,,2538406466419751,/story.php?story_fbid=2538406466419751&id=2265971750329892
Dr. Manny Sethi for Senate,,2020-04-30 19:00:24,Join us for another virtual town hall featuring special guests Mayor Mark Potts of Jefferson County and Jake Bull of Rusty Wallace Kia Knoxville.,64,49,,15,,,,,708587213033298,/story.php?story_fbid=708587213033298&id=2265971750329892
Dr. Manny Sethi for Senate,,2020-04-30 17:22:58,"It’s great to see so many of our small businesses begin to reopen. So many still need our help, and we can help while being safe. Be sure to shop and eat local, as our state gets back to work.",66,64,,2,,,,,2537950563132008,/story.php?story_fbid=2537950563132008&id=2265971750329892
,,2020-04-30 14:32:02,"Join us tonight at 7 EDT/ 6 CDT for another virtual town hall! I’ll be taking your questions as well as talking with Jefferson County Mayor Mark Potts and small businessman, Jake Bull of Knoxville.Join us for another virtual town hall featuring special guests Mayor Mark Potts of Jefferson County and Jake Bull of Rusty Wallace Kia Knoxville.",7,7,,,,,,,2537853419808389,/story.php?story_fbid=2537853419808389&id=2265971750329892
,,2020-04-30 13:19:09,Join us for another virtual town hall featuring special guests Mayor Mark Potts of Jefferson County and Jake Bull of Rusty Wallace Kia Knoxville.,36,36,,,,,,,2537809106479487,/story.php?story_fbid=2537809106479487&id=2265971750329892
Dr. Manny Sethi for Senate,,2020-04-30 11:13:13,"Over 30 million Americans have lost their jobs since this pandemic began. To restart our economy, we must ensure the jobs they left behind can be found again, by American workers. As America reopens, we must put Americans first.",65,63,,2,,,,,2537732576487140,/story.php?story_fbid=2537732576487140&id=2265971750329892
Dr. Manny Sethi for Senate,,2020-04-30 09:30:00,"Tennesseans were denied SBA loans because many banks couldn’t process all the applications in time due to an overwhelming number of requests.  So why during that SAME time was Bill Hagerty able to skip to the front of the line and get a loan for $2,500,000 to fund his campaign?",90,49,1,2,14,2,22,,2537375466522851,/story.php?story_fbid=2537375466522851&id=2265971750329892
