source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Eddie J. Mauro,,2020-03-05 08:58:10,Trump & Joni Ernst continue to attack pre-existing conditions.,75,7,,1,,1,66,7,2625098020953084,/story.php?story_fbid=2625098020953084&id=769395966523308
Eddie J. Mauro,,2020-03-04 19:53:00,Not much has been shared publicly since the mass-shooting in Wisconsin last month. New information released paints a picture of extreme racism at the brewery where the shooting occurred.,56,3,,,10,20,23,3,2623986074397612,/story.php?story_fbid=2623986074397612&id=769395966523308
Eddie J. Mauro,,2020-03-04 17:53:01,I support this extreme risk law in Iowa. We should all look to help prevent gun deaths. This law does exactly that.,23,23,,,,,,,2623817854414434,/story.php?story_fbid=2623817854414434&id=769395966523308
Eddie J. Mauro,,2020-03-04 15:55:03,There is a line drawn in the sand from Joni Ernst. Vote republican & await the privatization of social security & more cuts to medicare/medicaid.  Or... Vote Blue 🔵,229,26,,,,3,200,45,2623612684434951,/story.php?story_fbid=2623612684434951&id=769395966523308
Eddie J. Mauro,,2020-03-04 15:35:05,SCOTUS is hearing arguments that will determine the future of Roe V. Wade. We're in jeopardy of having the first domino fall that will signal the END.  Sign our petition & PROTECT CHOICE!,12,11,,1,,,,,2623585307771022,/story.php?story_fbid=2623585307771022&id=769395966523308
Eddie J. Mauro,,2020-03-04 13:49:02,"Iowa Republican legislators are at it again. They continue to take the playbook from ALEC & attack those less fortunate than themselves. The proposed bill would also end SNAP benefits for many Iowans, which is a DIRECT assault on vulnerable children & families.",38,8,,,1,5,24,5,2623435804452639,/story.php?story_fbid=2623435804452639&id=769395966523308
Eddie J. Mauro,,2020-03-04 11:58:09,"Privatization of Medicaid has been an absolute disaster, leaving the most vulnerable in society at the mercy of big insurance companies & profit/loss statements.",16,16,,,,,,,2623267457802807,/eddiejmauro/photos/a.776884819107756/2623267457802807
Eddie J. Mauro,,2020-03-04 09:57:00,"Americans, not just Iowans, need to know that Joni Ernst is up to something, suggesting cutting medicare, medicaid, social security, & essentially attacking the most vulnerable Americans.",241,19,,,4,5,213,49,2623032597826293,/story.php?story_fbid=2623032597826293&id=769395966523308
Eddie J. Mauro,,2020-03-03 21:01:24,"The wealthiest people on Wall Street, the Pharmaceutical companies and Big Oil & Gas are dumping resources into our opponent's bank account. Their Super PACs and Leadership Committees will spend obscene sums on protecting Joni Ernst and Mitch McConnell's Republican majority - including more than one Super PAC spending millions in this race.  Our job is to keep fighting. To keep meeting voters where they are - in their living rooms, coffee shops and over a good beer.  Help keep gas in the tank for our ""Mauro for Tomorrow Tour"" where we are visiting all 99 Iowa counties (less than 10 to go!). If you've saved your payment information with ActBlue Express, your donation will go through immediately.",36,32,,4,,,,1,2621923111270575,/story.php?story_fbid=2621923111270575&id=769395966523308
Eddie J. Mauro,,2020-03-03 19:59:00,The first case of #coronavirus has been reported in North Carolina.,43,8,,,6,27,2,,2621830611279825,/story.php?story_fbid=2621830611279825&id=769395966523308
