source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Jeff Sessions,,2020-03-02 15:13:19,"Thank you, Clanton, for the strong support! Great to eat lunch and visit with folks at the Main Street Cafe. #alsen",50,41,,8,,,1,5,179240973525952,/story.php?story_fbid=179240973525952&id=106123517504365
Jeff Sessions,,2020-03-02 14:50:45,"Let’s be very clear — every candidate can get up in front of a crowd and beat their chest and tell folks what they want to hear. That’s easy. And we have some individuals running who give a nice political speech. But talk is cheap. The question is, who is ready to step into the breach and represent Alabama values in the U.S. Senate immediately?",161,136,1,21,1,1,1,12,179229033527146,/story.php?story_fbid=179229033527146&id=106123517504365
Jeff Sessions,,2020-03-02 13:38:01,"Tomorrow is Election Day, and my team is doing one last push to make sure voters know to head to the polls. Will you join us? Share this post with your friends and family to remind everyone to vote!",71,57,1,13,,,,12,179191256864257,/jeffsessionsal/photos/a.127725762010807/179191256864257
Jeff Sessions,,2020-03-02 12:38:03,"""Jeff Sessions has always stood up to The Swamp and always worked to hold Washington accountable. We need him now more than ever to stand up for what’s right and stand with President Trump to keep America safe."" -  Council",125,106,3,15,,,1,8,179156056867777,/jeffsessionsal/photos/a.127725762010807/179156056867777
Jeff Sessions,,2020-03-02 10:18:43,"Joe Biden and the liberal Democrats want to take your guns, sue gun-makers to bankruptcy, and trample our 2nd Amendment freedoms. In Biden's own words to gun manufacturers last week - ""I'm coming for you, and I'm taking you down."" I’ve fought them tooth & nail — that’s why I have a pro-gun record with an A+ from NRA. I’ve stood with you and our rights!",408,115,37,1,9,8,238,96,179070270209689,/story.php?story_fbid=179070270209689&id=106123517504365
Jeff Sessions,,2020-03-01 15:15:02,"Reminder that if you're planning to vote by mail, you only have two days left to return your absentee ballot!",15,13,1,,,,1,8,178530933596956,/jeffsessionsal/photos/a.127725762010807/178530933596956
Jeff Sessions,,2020-03-01 11:22:34,"I'm honored and extremely proud to receive the strong endorsement of the National  Council. We have fought side by side against the powerful, special interest forces that constantly work to further the lawlessness that is occurring at the border. We stood side by side in the effort to elect President .   No organization has been more committed to law and our national sovereignty than the ICE officers.",200,176,1,22,,,1,9,178392546944128,/jeffsessionsal/photos/a.127725762010807/178392546944128
Jeff Sessions,,2020-02-29 22:45:03,It was great to be with the Cullman Lions Club this afternoon at their 50th annual Fish & Ham Dinner — thanks for the good conversation and great food!,101,86,1,14,,,,12,177997720316944,/story.php?story_fbid=177997720316944&id=106123517504365
Jeff Sessions,,2020-02-29 16:47:28,Thanks to the Jefferson County GOP for a great pancake breakfast this morning. Our campaign’s momentum is strong ahead of Tuesday’s vote!,179,155,,23,,,1,14,177828223667227,/story.php?story_fbid=177828223667227&id=106123517504365
Jeff Sessions,,2020-02-29 12:44:36,"Here is another recent example of important measures I implemented at The United States Department of Justice while serving as Attorney General – which continues to protect US interests against the communist regime in China. “The increased scrutiny by research agencies like NIH has been accompanied by a rise in criminal prosecutions by the Justice Department. In 2018, Attorney General Jeff Sessions launched what he called the China Initiative, a broad program to crack down on the transfer of U.S. knowledge to China. To date, the initiative has brought criminal charges against dozens of people and won several convictions for espionage.""",162,127,,16,5,1,13,12,177707470345969,/story.php?story_fbid=177707470345969&id=106123517504365
