source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Jim Inhofe,,2020-05-01 08:30:39,Pilots from Altus AFB and Vance AFB flew over Tulsa yesterday and will be flying over Oklahoma City this morning in a show of support for our healthcare workers and essential employees. Post your photos and video of the flyover. #AirForceSalutes #MobilitysHometown #VanceProud,166,140,2,18,,,5,,10159734073028626,/story.php?story_fbid=10159734073028626&id=7686808625
Jim Inhofe,,2020-04-30 11:00:55,"As churches begin to reopen later this week in Oklahoma, I hope you will join Kay and me in continued prayer for Oklahoma and our nation. These are difficult times, but I know our faith in the Lord will get us through them.",295,242,3,48,,,1,,10159716182338626,/story.php?story_fbid=10159716182338626&id=7686808625
Jim Inhofe,,2020-04-28 10:00:10,"Last week, Congress passed and President Trump signed the CARES Act 2.0. This vital legislation will fully replenish funds for the Paycheck Protection Program and allow struggling small businesses to keep workers on payroll. It also provides an additional $100 billion in funding for health care providers as they continue to combat COVID-19.",81,68,3,6,1,,3,,10159716178608626,/story.php?story_fbid=10159716178608626&id=7686808625
Jim Inhofe,,2020-04-24 11:00:00,"As I have said before, we are fortunate to have President Trump leading our nation during a national crisis of this proportion. Our campaign will continue to support our President and I hope you will join us.",347,289,8,45,1,,4,,10159691759588626,/story.php?story_fbid=10159691759588626&id=7686808625
Jim Inhofe,,2020-04-23 10:30:10,"President Trump is doing a great job leading our nation during this national crisis, but we must continue to ask the Lord for wisdom and strength. Please join Kay and me in continuing to pray for Oklahoma and the United States.",491,395,7,88,1,,,,10159665199523626,/story.php?story_fbid=10159665199523626&id=7686808625
Jim Inhofe,,2020-04-22 11:00:12,We are fortunate to have a leader like President Donald Trump during these difficult times. The President is doing a great job guiding Oklahoma and our nation through this crisis.,258,204,8,41,,,5,,10159665187363626,/story.php?story_fbid=10159665187363626&id=7686808625
Jim Inhofe,,2020-04-21 15:00:38,"Last week, I led a letter with Senator Lankford thanking President Trump's administration for ensuring coronavirus aid is available to businesses and nonprofits with faith missions. I applaud President Trump for making sure no faith-based entity is denied relief because of their religious values.",102,95,,6,,,1,,10159665249098626,/story.php?story_fbid=10159665249098626&id=7686808625
Jim Inhofe,,2020-04-21 10:31:28,"Thank you for paying attention to Oklahoma's needs, President Trump!",626,525,2,95,,,4,,10159685102258626,/story.php?story_fbid=10159685102258626&id=7686808625
Jim Inhofe,,2020-04-20 10:00:57,"Oklahoma's hospitals and medical providers needed immediate relief to deal with COVID-19 and the CARES Act I voted for is providing it. $489 million in aid has now been distributed to approximately 4,100 healthcare providers in Oklahoma.",99,93,,5,,,1,,10159665181313626,/story.php?story_fbid=10159665181313626&id=7686808625
Jim Inhofe,,2020-04-19 10:26:14,"So many lives were dramatically altered 25 years ago today. Kay and I will never forget the tragedy, pray for those we lost, and hope for those who survived. Today #weremember the Oklahoma City bombing.",168,119,,10,,39,,,10159674630443626,/story.php?story_fbid=10159674630443626&id=7686808625
Jim Inhofe,,2020-04-17 10:00:06,"The Paycheck Protection Program is helping businesses here in Oklahoma stay afloat and make payroll during these difficult times. Over $4 billion is helping more than 25,000 Oklahoma businesses right now. Democrats need to stop playing political games and act on President Trump's request for additional funds for this essential aid.",99,96,1,2,,,,,10159659121118626,/story.php?story_fbid=10159659121118626&id=7686808625
Jim Inhofe,,2020-04-16 11:00:49,President Trump's request for additional funds for the Paycheck Protection Program is the right thing to do. Our small businesses and workers need relief. It is shameful that the Democrats are holding up this vital aid.,261,202,3,1,3,2,50,,10159659115818626,/story.php?story_fbid=10159659115818626&id=7686808625
Jim Inhofe,,2020-04-15 10:00:26,"Reminder: Due to the ongoing crisis, the Treasury Department and Internal Revenue Service have extended the federal income tax filing deadline to July 15, 2020. More info is available at https://www.irs.gov/newsroom/tax-day-now-july-15-treasury-irs-extend-filing-deadline-and-federal-tax-payments-regardless-of-amount-owed.",57,54,3,,,,,,10159622018843626,/story.php?story_fbid=10159622018843626&id=7686808625
Jim Inhofe,,2020-04-14 10:30:38,"President Trump understands the Second Amendment is one of Americans' most valued rights. I applaud his decision to deem firearm businesses essential. Even during this crisis, we must ensure law-abiding citizens are able to exercise their right to keep and bear arms.",420,367,7,42,,,4,,10159622012073626,/story.php?story_fbid=10159622012073626&id=7686808625
Jim Inhofe,,2020-04-13 11:00:28,Help is on the way for our small businesses in Oklahoma. The Paycheck Protection Program provides small businesses with loans to pay up to 8 weeks of payroll and other expenses.  And these loans are eligible to be FULLY FORGIVEN. I encourage all small business owners to learn more about this program at https://www.sba.gov/funding-programs/loans/coronavirus-relief-options/paycheck-protection-program-ppp.,110,100,2,8,,,,,10159622006853626,/story.php?story_fbid=10159622006853626&id=7686808625
Jim Inhofe,,2020-04-12 10:00:23,He is risen! Happy Easter to all my brothers and sisters in Christ.,675,524,2,148,,1,,,10159621979193626,/story.php?story_fbid=10159621979193626&id=7686808625
Jim Inhofe,,2020-04-10 10:00:40,"Today, let us remember the crucifixion of our Lord and Savior Jesus Christ who died for our sins. Thank you Father for sacrificing your only son so the entire world can find eternal life. Have a blessed Good Friday.",567,427,4,134,1,1,,,10159621974828626,/story.php?story_fbid=10159621974828626&id=7686808625
Jim Inhofe,,2020-04-08 18:00:23,I am wishing a Happy Passover to all our Jewish friends who are beginning celebrations this evening.,83,75,1,7,,,,,10159621968488626,/story.php?story_fbid=10159621968488626&id=7686808625
