source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Michael LaPierre for U.S. Senate,,2020-05-01 17:52:42,"Nate Leupp Greenville County Chair ......What am I missing from the last time Greenville County censured Senator Graham? He still believes in climate change, he still believes in a tax on our carbon footprint, he still does not want Roe v. Wade overturned (decision that has allowed 65 million babies to be slaughtered), he still wants illegal immigrants to get citizenship, he now wants Bill Gates at the head of the WTO, he now thinks President Trump is a race-bating xenophobe, he now thinks that Adam Schiff did a good job and was very well spoken during the impeachment trial, he now does not think that Chuck Schumer should be censured for attacking Supreme Court Justices with threats.  Which one is your favorite?    https://www.cbsnews.com/news/sc-county-gop-censures-lindsey-graham/",101,65,,5,3,,28,,531699067775686,/story.php?story_fbid=531699067775686&id=290219498590312
,,2020-05-01 13:07:58,I wanted to thank the Conservatives of the Upstate for asking for this Facebook Live broadcast! After overcoming some technical difficulties we had an wonderful and engaging group of folks! Please ask any additional questions that you may have for me! God Bless You!,14,11,,3,,,,,531558701123056,/story.php?story_fbid=531558701123056&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-05-01 09:54:54,Live Q&A coming up in an hour! Join us on Facebook Live on our page - Michael LaPierre for US Senate      ,31,31,,,,,,,531426577802935,/lapierreforsenate/photos/a.297556134523315/531426577802935
,,2020-04-30 20:50:35,,8,8,,,,,,,531039854508274,/story.php?story_fbid=531039854508274&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-30 12:25:35,"Governor McMaster, please reopen South Carolina! Please follow the lead of others!",136,122,2,11,1,,,,530797281199198,/story.php?story_fbid=530797281199198&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-29 20:03:15,41 days until Election Day! Vote June 9th. See my stances here      ,47,47,,,,,,,530336451245281,/lapierreforsenate/photos/a.297556134523315/530336451245281
Michael LaPierre for U.S. Senate,,2020-04-29 17:55:43,"Candidate for U.S. Senate, Michael J. LaPierre, gives you a short tour of some things that come in handy on a farm! He also has some warnings!",15,15,,,,,,,530283574583902,/story.php?story_fbid=530283574583902&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-29 17:41:06,Take a little tour with Senate Candidate Michael J. LaPierre,79,70,,9,,,,,530276367917956,/story.php?story_fbid=530276367917956&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-29 16:29:42,Thank you Tucker Carlson for KEEPING IT REAL! We need to get back to work and the numbers support that conclusion.  Main street media are not reporting the real data. It doesn't support their narrative or politics.,166,156,3,5,,,2,,530241641254762,/story.php?story_fbid=530241641254762&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-29 15:58:22,I am PRO LIFE. As senator I will work tirelessly to overturn Roe V Wade,51,49,,2,,,,,530226534589606,/story.php?story_fbid=530226534589606&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-29 10:54:32,Coming to York County this Friday! Shout if you want to social distance chat or need a sign!,17,17,,,,,,,530065384605721,/story.php?story_fbid=530065384605721&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-28 15:34:04,,35,32,,3,,,,,529552374657022,/story.php?story_fbid=529552374657022&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-28 14:39:43,The .60 second audio at the bottom of the blog post discusses Bill Gate's FAILED vaccine attempts who Senator Lindsey Graham wants at the head of the World Health Organization!   https://lapierreforsenate.com/blog/f/why-we-must-drain-the-swamp,57,42,,,1,3,11,,529526691326257,/story.php?story_fbid=529526691326257&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-28 13:59:02,"Here is Lindsey Graham's quote on The View.....Washington Examiner article reports....""The WHO has great scientists, but it’s lost confidence — I’ve lost confidence in the leadership. So a guy like Bill Gates — if Bill Gates was in charge of the WHO, I would double the funding because I think we need a WHO, but he’s not,"" he added.  Here is what Senator Graham is supporting when he wants to double their funding..................           ///////////  In 2018, WHO co-published with other UN agencies and the help of International Planned Parenthood Federation (IPPF) the radical ‘International Technical Guidance on Sexuality Education.’ This guide purports to set the sexual health education standards for all of the world’s children. Please note that WHO defines ‘sexuality’ to encompass ‘sex, gender identities and roles, sexual orientation, eroticism, pleasure, intimacy and reproduction,’ and thus, WHO supports such controversial topics being taught to children. If you’re still not convinced, Slater offers additional damning evidence from the WHO-supported learning objectives for children from the International Technical Guidance on Sexuality Education that encourage everything from gender and sexual experimentation to abortion, shocking acts of sexual pleasure, and departures from their parents’ more traditional views.",107,100,,5,1,,,,529508167994776,/story.php?story_fbid=529508167994776&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-28 10:01:27,I had help on the campaign trail yesterday! Thank you Justin for pitching in and making those cars honk their horns. What an awesome day to campaign!,56,49,,7,,,,,529370054675254,/story.php?story_fbid=529370054675254&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-28 08:49:18,"A conservative patriot dedicated to faith, state, and country! Thank you for being involved with “making America great again.”  Blessings, Mike",101,91,,10,,,,,529331321345794,/story.php?story_fbid=529331321345794&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-27 12:51:09,"It is amazing the very cool things you see and the people you meet while campaigning. Wow! What a fantabulous automobile! I couldn’t have enjoyed this moment if not for putting the work in, “taking public opinion baths“, getting to know the people, while practicing good social distancing! Thank you South Carolina for this wonderful opportunity!",66,62,,4,,,,,528801121398814,/story.php?story_fbid=528801121398814&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-27 08:38:41,Candidate Michael LaPierre putting the work in with the voters! He was able to leave impressions with thousands of potential voters! Where is Senator Graham? Why isn’t he out among his constituents? Has he left his first love? Has he left “We the People” of South Carolina?,104,97,,7,,,,,528660088079584,/story.php?story_fbid=528660088079584&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-26 11:52:12,A Renewal of the SC Republican Party - my take on how we can improve our party leadership in order to better serve the people of South Carolina  https://lapierreforsenate.com/renewal-of-sc-republicans #sc #southcarolina #scgop #scpolitics #screpublicanparty #ussenate #senate2020 #lapierre4senate,48,44,,4,,,,,528117368133856,/story.php?story_fbid=528117368133856&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-26 10:29:17,Michael LaPierre speaking in front of the State House calling for Governor Master to reopen South Carolina. Where was Senator Lindsey Graham? Was wasn't he here to support the rally?  Lindsey Graham has self-quarantined himself for the last 18 years and refused to speak with the public!  He has no interest in listening to the people of South Carolina!,98,80,,13,1,1,3,,528071208138472,/story.php?story_fbid=528071208138472&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-26 10:15:43,Senator Lindsey Graham supports Bill Gates and increased funding of the World Health organization. Senator Graham is supporting behavior that is HOSTILE to the Christian Faith and those who have moral values. WARNING:  What you are about to read is disturbing! How can anyone support a Senator with this kind of judgement?,87,27,,,7,2,51,,528063051472621,/story.php?story_fbid=528063051472621&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-25 16:03:41,"The explanations keep coming up short. I still believe some resignations are in order. The manipulation of a process has backfired, and it's hurting the people of SC. Read More.. https://lapierreforsenate.com/blog/f/explanations-that-come-up-short",57,55,,2,,,,,527593224852937,/story.php?story_fbid=527593224852937&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-24 10:20:51,    FUkushima redacted FOIA 2-26-2016 released Kevin Blanch The Post Ignorance Project,53,49,,2,2,,,,526671614945098,/lapierreforsenate/photos/a.297556134523315/526671614945098
Michael LaPierre for U.S. Senate,,2020-04-24 09:01:55,"***CANDIDATE Michael LaPierre IS CALLING ON GREENVILLE COUNTY GOP CHAIR NATE LEUPP & ANDERSON COUNTY GOP CHAIR CHERYL CUTHRELL TO RESIGN!*** It is well known that not everyone wants Lindsey out of office. He is a part of the GOP establishment and their prize candidate. However, to deter people from even considering another candidate when you're the chairperson for one of South Carolina's largest county GOP party, giving personal biased opinion that those candidates would shame the party? What have we become as a party in SC? Is this what Lindsey has created? An US VS THEM mentality that democracy should not take place and all the ""other candidates"" should be swept under the rug for the sake of not embarrassing the party? Continue reading and PLEASE SHARE https://lapierreforsenate.com/f/greenville-county-gop-chair-submarining-anti-establishment-voices",56,35,,2,1,5,13,,526625854949674,/story.php?story_fbid=526625854949674&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-23 18:22:51,,26,26,,,,,,,526208828324710,/story.php?story_fbid=526208828324710&id=290219498590312
Michael LaPierre for U.S. Senate,,2020-04-23 12:05:33,"More on why Lindsey Graham must be voted out. His support of Bill Gates is just one more big reminder of why we can't take another term of his ""leadership"". Why we must drain the swamp... https://lapierreforsenate.com/f/why-we-must-drain-the-swamp . . . #draintheswamp #leavelindseygraham #lapierreforsenate #ussenate #senate2020 #sc",118,109,1,8,,,,,525807641698162,/story.php?story_fbid=525807641698162&id=290219498590312
