source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
David Perdue,,2020-03-05 14:54:19,"Chuck Schumer attacked the country’s highest judicial body yesterday. Threatening two sitting Supreme Court justices is not only disgraceful, it is dangerous. This shows how far the radical left is willing to go to realize their socialist agenda. Schumer’s actions threaten the very balance of our three-branch government. It was irresponsible, inappropriate, and unacceptable. I hope the Senate will stand together and condemn this unacceptable behavior. Of course, Schumer should apologize, but I’m afraid his comments have already caused irreparable damage.",350,295,11,4,4,8,28,93,1486212534879539,/story.php?story_fbid=1486212534879539&id=159597424207730
David Perdue,,2020-03-05 08:00:37,"I never thought in my lifetime we would be having a debate between socialism and free enterprise. But if you’re paying attention to what the Democrats running for President and my opponents in this race are saying, that’s exactly where we are. I welcome that debate and look forward to our opportunity to defend America’s Founding Principles.",192,172,8,4,,1,7,41,1485911061576353,/story.php?story_fbid=1485911061576353&id=159597424207730
David Perdue,,2020-03-04 20:00:00,"It’s been a big week for our campaign! We’ve officially qualified to run for reelection. With a contrast this stark – between our proven record of results for all of Georgia and the Democrats’ radical socialist agenda – we have a message that resonates with all Georgians. We have a statewide grassroots team- organized in all 159 counties, that will be taking that fight and message to every corner of our state, but we need your help to ensure our team has the resources it takes to win. Chip in now to help us hit the ground running.",51,35,10,4,,,2,15,1485157234985069,/story.php?story_fbid=1485157234985069&id=159597424207730
David Perdue,,2020-03-04 11:30:15,"In case you missed it, I officially qualified for U.S. Senate on Monday. We're building the largest & strongest grassroots team in Georgia's history to WIN in November!  Read more here.",235,205,15,11,,2,2,42,1485144101653049,/story.php?story_fbid=1485144101653049&id=159597424207730
David Perdue,,2020-03-04 08:43:22,"In 2014, I asked you to stand with me to change the direction of our country. In 2020, I’m asking you to stand with me to keep up the momentum for our winning agenda and to send a message that America will NEVER be a socialist country!",276,241,9,15,1,,10,46,1485137661653693,/story.php?story_fbid=1485137661653693&id=159597424207730
David Perdue,,2020-03-03 21:00:45,"""While political insiders have been commonplace for decades in Congress, outsiders capable of changing the status quo are a rare thing. Senator David Perdue is that kind of outsider, and we must re-elect him this November.""",20,9,7,1,,,3,10,1484493645051428,/story.php?story_fbid=1484493645051428&id=159597424207730
David Perdue,,2020-03-03 13:47:51,Humbled to have so many supporters join us yesterday as I qualified to run for reelection! We built an outsider movement in 2014 together. Now it's time to finish the job.,65,50,8,6,,,1,10,1484496825051110,/story.php?story_fbid=1484496825051110&id=159597424207730
David Perdue,,2020-03-03 11:45:09,"I came to Washington as an outsider. I'm doing this job as an outsider. By definition, I will always be an outsider because unlike career politicians, I'm focused on RESULTS.",68,47,17,2,,,2,24,1484410321726427,/story.php?story_fbid=1484410321726427&id=159597424207730
David Perdue,,2020-03-02 19:51:13,"I officially qualified to run for re-election to the U.S. Senate! Serving you has been the honor of my life, and I'm ready to finish the job.",564,499,13,44,1,3,4,70,1483841735116619,/story.php?story_fbid=1483841735116619&id=159597424207730
David Perdue,,2020-03-02 14:31:58,"You know, it seems like every election we hear pundits on TV talk about how it is the most important election of our lifetime. Well friends, this time they are actually right. This is the moment when we as a country have to decide whether we go down the failed road of socialism or stay on the path of freedom and opportunity that has made this the greatest country in the world. And I know that Georgia will make the right choice.",182,152,14,15,,,1,34,1483678218466304,/story.php?story_fbid=1483678218466304&id=159597424207730
David Perdue,,2020-03-02 10:11:34,"In 2014, I asked you to stand with me to change the direction of our country. In 2020, Democrats believe the path to the White House and U.S. Senate runs through Georgia. They have embraced a socialist agenda of higher taxes, government-run health care, and the Green New Deal. The only thing standing in the way of their socialist agenda is us. This morning, I OFFICIALLY qualified to run for reelection in 2020 and I’m asking you to stand with me.   I’m asking you to stand with me to reelect President Trump and defend the Republican Senate majority. I’m asking you to stand with me to ensure that the road to socialism will never run through Georgia!",141,111,9,18,,,3,42,1483508328483293,/story.php?story_fbid=1483508328483293&id=159597424207730
David Perdue,,2020-03-02 09:00:01,"We know the importance of freedom. We know that God is the source of our freedom. We know that self-determination has ALWAYS trumped total state control. But for self-determination to win around the world, it has to win here at home.",114,89,14,9,,,2,24,1483411881826271,/story.php?story_fbid=1483411881826271&id=159597424207730
David Perdue,,2020-02-27 20:10:27,"Just as we stopped Democrats in Georgia in 2014, 2016, and 2018, we’re going to stop them in 2020.",554,425,49,16,4,,60,108,1480115345489258,/story.php?story_fbid=1480115345489258&id=159597424207730
David Perdue,,2020-02-27 10:49:22,"After eight years of retreat under Barack Obama, President Donald J. Trump has restored American leadership around the world. He’s reaffirmed our commitments to our allies, brought China to the table on trade, and dealt with those who've threatened American lives. As a result, satisfaction with America’s position in the world is at a 17-year high.",982,779,33,168,1,,1,95,1480114488822677,/story.php?story_fbid=1480114488822677&id=159597424207730
David Perdue,,2020-02-27 08:00:01,"Since day one, we’ve said that Georgia will decide who controls the White House and U.S. Senate majority. Now, the Democratic National Committee has officially listed Georgia as one of its top 2020 targets! This news means more Democrat field offices in Georgia. It means more false attack ads. It means MILLIONS more in donations from radical liberal donors who are determined to stop President Trump, defeat me, and end our Senate majority. Our end of month fundraising deadline on Saturday just got even more important, so I’ve authorized an Emergency DOUBLE MATCH on all donations until 11:59 PM Saturday. Will you rush a donation of whatever you can afford right now?",96,72,17,2,1,1,3,42,1479500025550790,/story.php?story_fbid=1479500025550790&id=159597424207730
David Perdue,,2020-02-26 20:00:17,"I couldn’t be prouder of my cousin Sonny. As Governor, he changed the direction of Georgia, helped us weather the Great Recession, and made our state the best place in the country to do business.",96,90,3,3,,,,9,1479499452217514,/story.php?story_fbid=1479499452217514&id=159597424207730
David Perdue,,2020-02-26 16:38:21,"Socialist presidential candidate Bernie Sanders supports the so-called ""Green New Deal."" Don't be fooled. The Green New Deal is nothing more than a socialist wish list that would crush our economy and cost the American people trillions, including right here in Georgia.",195,71,24,,4,4,92,57,1479473818886744,/story.php?story_fbid=1479473818886744&id=159597424207730
David Perdue,,2020-02-25 18:56:41,"We've been saying all along that Georgia will decide who controls the White House and U.S. Senate in 2020. Now, the Democratic National Committee has added Georgia to its list of TOP 2020 targets.  Radical Democrats may think the road to socialism and the U.S. Senate majority runs through Georgia, but we're going to prove them wrong in November!",285,173,37,4,16,5,50,98,1478704625630330,/story.php?story_fbid=1478704625630330&id=159597424207730
David Perdue,,2020-02-24 19:00:00,"Under President Donald J. Trump, our winning agenda has produced the greatest economic turnaround in U.S. history!  We're proving that what we believe in works: -Over 7 million new jobs created.  -Highest median household income ever.  -Lowest unemployment in 50 years.  -Lowest African American, Hispanic, and Asian unemployment EVER measured.",223,174,20,25,,,4,38,1477793062388153,/story.php?story_fbid=1477793062388153&id=159597424207730
David Perdue,,2020-02-24 13:30:12,"In today’s economy, broadband access is not a luxury; it’s a necessity. The Broadband ReConnect program will have a huge impact on education, business, and health care in Southwest Georgia, and it will help ensure no Georgian is left behind.",87,75,6,2,1,,3,37,1477488482418611,/story.php?story_fbid=1477488482418611&id=159597424207730
David Perdue,,2020-02-24 08:04:48,"The socialist agenda embraced by today’s Democrat Party would kill the American Dream. It has failed everywhere it’s been tried, especially in Cuba.",609,317,42,1,17,29,203,152,1477488049085321,/story.php?story_fbid=1477488049085321&id=159597424207730
David Perdue,,2020-02-23 20:00:00,Growing up in a farming family taught me that agriculture is not just a business - it's a way of life. I'm proud of this UGA student for calling out Mike Bloomberg's insulting & out-of-touch comments about our state's #1 industry.,238,221,7,8,1,,1,23,1477089499125176,/story.php?story_fbid=1477089499125176&id=159597424207730
David Perdue,,2020-02-23 15:00:00,The 4C Academy in Albany is doing great work to expand opportunity and prepare Georgia's workforce for the future. It was great to spend time with the students and faculty there earlier this week.,26,25,,1,,,,,1476640812503378,/story.php?story_fbid=1476640812503378&id=159597424207730
David Perdue,,2020-02-23 09:00:56,Couldn't be prouder of Lt. Thessa Washington for being named the first African American pilot of Savannah's 165th Airlift Wing!,844,727,2,112,3,,,57,1476639545836838,/story.php?story_fbid=1476639545836838&id=159597424207730
David Perdue,,2020-02-22 16:08:13,Great to be home in Middle Georgia for Houston & Bibb County Georgia Republican Party precinct caucus meetings! Team Perdue is ready to WIN in 2020!,187,166,9,9,1,,2,26,1476167712550688,/story.php?story_fbid=1476167712550688&id=159597424207730
David Perdue,,2020-02-21 15:00:00,Great to say hello to the Dublin Rotary Club today! They are doing great work in Laurens County.,39,35,3,,,,1,6,1475453419288784,/story.php?story_fbid=1475453419288784&id=159597424207730
David Perdue,,2020-02-21 09:22:47,The students at 4C Academy are on the cutting edge. This academy is doing great work as it trains them for the future. I enjoyed spending time with these incredible students yesterday.,40,35,5,,,,,7,1475021505998642,/story.php?story_fbid=1475021505998642&id=159597424207730
David Perdue,,2020-02-20 09:43:24,"Small business owners are the backbone of Georgia's economy. They see that in spite of all the gridlock and obstruction from Democrats in Washington, our agenda is working!",384,317,12,47,5,,3,28,1474185136082279,/story.php?story_fbid=1474185136082279&id=159597424207730
David Perdue,,2020-02-19 09:11:22,"To reelect President Trump and defend the Senate majority, every Republican in Georgia has to show up and vote!  Are you voting in November? Take our ONE-QUESTION Survey now!",692,613,11,66,,,2,163,1473302666170526,/story.php?story_fbid=1473302666170526&id=159597424207730
