source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Richard Dien Winfield,,2020-03-06 07:37:42,‪Who is going to care for our children if certain schools have to be closed due to #coronavirus outbreaks?  How can anyone claim to be in support of family values if they oppose free public childcare and eldercare?  Let’s do what it takes to balance work and family before it’s too late.,,,,,,,,,802503076923347,/story.php?story_fbid=802503076923347&id=311710576002602
Richard Dien Winfield,,2020-03-05 22:37:35,"Reform or revolution?  Why our task is the reformist path of unchaining our democracy by fulfilling the social rights agenda.  Instead of tearing down, we need to finish building the edifice of our freedom.  Speaking tonight to the UGA YDSA.",2,2,,,,,,,802233496950305,/story.php?story_fbid=802233496950305&id=311710576002602
Richard Dien Winfield,,2020-03-05 13:49:28,"At today’s Female Leaders in the Law Panel at the UGA Law School, I asked the panelists about two proposals I’ve been advocating: Legal Care for All (a single payer public legal insurance program covering all personal legal advice and representation in both criminal and civil cases) and the elimination of pleas and plea bargaining (which has been done in many legal systems in Europe).  Legal Care for All got a positive response, but the prosecutor on the panel thought ending plea bargaining would paralyze the courts.  It wouldn’t if we properly funded enough judges and prosecutors, as some European  countries have done.  A commitment to real equality in the legal process comes first.  Then we can figure out how high to tax those most able to fund the needed public investments.  Let’s put Legal Care for All and the end of pleas and plea bargaining on the legal reform agenda.  @Shaun King @Ady Barkan",3,3,,,,,,,801997266973928,/story.php?story_fbid=801997266973928&id=311710576002602
Richard Dien Winfield,,2020-03-05 07:35:24,"We can relieve employers of the cost of contributing to employee health benefits by enacting Medicare For All.  To enable employers to afford paid family sick leave and parental leave, we need to add a mandatory insurance program that employers will pay into that will cover any added expense of hiring parents, as well as every other employee in a time of pandemics.  The coronavirus is our wake up call.",7,7,,,,,,2,801770343663287,/story.php?story_fbid=801770343663287&id=311710576002602
Richard Dien Winfield,,2020-03-02 22:58:56,Return to Columbia County - this time as candidate for the US Senate.  The social rights agenda as key to combatting pandemics and climate catastrophe.,3,2,,1,,,,,800038420503146,/story.php?story_fbid=800038420503146&id=311710576002602
Richard Dien Winfield,,2020-03-02 22:52:15,"‪The deed is done.  The first candidate to register as a Democrat in Georgia’s special election for US Senate pays the $5,220 fee to be on the November 3rd ballot. https://secure.actblue.com/donate/winfield-for-senate-1 ‬",32,25,,7,,,,1,800035950503393,/story.php?story_fbid=800035950503393&id=311710576002602
Richard Dien Winfield,,2020-03-01 17:25:29,"‪At today’s Athens Women’s Health Summit, I discussed the underlying conditions enabling sexual harassment in the workplace and the policies that will remove them, how reproductive freedom can be fully realized, and how to end women’s income, wealth, and power gap. Here’s the uncut session video.",9,9,,,,,,,799083707265284,/story.php?story_fbid=799083707265284&id=311710576002602
Richard Dien Winfield,,2020-02-29 08:17:40,"‪ The GA College Young Democrats asked how can we fund the Social Rights Agenda that will make America a righteous nation?  The best answer: entirely by graduated wealth and income taxation on the top 10%, with total Federal tax relief for the bottom 90%.  ‬Our extreme income and wealth inequality makes this feasible and imperative to resist oligarchy and sustain government by, for, and of the people.",15,12,,3,,,,,797938110713177,/story.php?story_fbid=797938110713177&id=311710576002602
Richard Dien Winfield,,2020-02-28 22:02:25,Today in Milledgeville the Young Democrats of Georgia College put me through the kind of serious grilling that all too rarely takes place out on the campaign trail.  They are not just passive cheerleaders of anything Blue that comes their way.,7,7,,,,,,,797635637410091,/story.php?story_fbid=797635637410091&id=311710576002602
Richard Dien Winfield,,2020-02-28 21:52:59,"Meet the press today in Milledgeville, with Will Petty of the Baldwin Bulletin and Billy Hobbs of the Union Recorder.  Letting the word out democratically, without having to pay for it.",3,3,,,,,,,797631727410482,/story.php?story_fbid=797631727410482&id=311710576002602
Richard Dien Winfield,,2020-02-28 07:23:27,"‪ By failing to guarantee health care to all and letting health facilities shut down in many rural areas, we have made ourselves more vulnerable to pandemics than any other developed nation.  The coronavirus will not be the last pandemic threat we face.  We need Medicare For All now more than ever.",5,5,,,,,,,797114030795585,/story.php?story_fbid=797114030795585&id=311710576002602
Richard Dien Winfield,,2020-02-27 13:27:28,‪I will be speaking tonight at 6:30 PM to the YDSA of UGA in room 205 of Peabody Hall.  Come join the discussion!‬ ‪winfieldforsenate.com‬,10,8,,2,,,,,796543394185982,/story.php?story_fbid=796543394185982&id=311710576002602
Richard Dien Winfield,,2020-02-26 19:49:29,‪The uncut discussion on Diablemos Dignidad Inmigrante: https://www.facebook.com/dignidad.enathens/videos/2598321146962416/‬,5,5,,,,,,1,795963780910610,/story.php?story_fbid=795963780910610&id=311710576002602
"Richard Dien Winfield,Richard Dien Winfield",Richard Dien Winfield,2020-02-26 15:38:38,"Reminder to catch our discussion at 6 pm live streaming on the Dignidad Inmigrante Facebook page.‪At 6 pm on Wednesday, 2/26, immigration law expert Sujata Gupta Winfield and I will join Teter Carrillo & Noe Mendoza on the live streaming DIAblemos show.  Join in on the Facebook page of Dignidad Inmigrante.‬",1,1,,,,,,,795846987588956,/story.php?story_fbid=795846987588956&id=311710576002602
Richard Dien Winfield,,2020-02-26 13:26:22,"At last night’s Democratic Presidential Candidates debate no one mentioned these key measures: 1) a Federal Job Guarantee to wipe out unemployment and lift the fear of firing; 2) a fair, not merely living, minimum wage to wipe out poverty wages and keep the lid on income inequality by starting at $20/hr and keeping pace with increases in our national wealth; 3) equivalent replacement income for retirees and the disabled to end their impoverishment; 4) automatic union elections and employee seats on corporate boards to level the playing field between employees and employers; 5) free public elder care so that we can afford the assistance the aged need; 6) $900 monthly child allowances to wipe out child poverty; 7) Legal Care For All so that we can all have quality legal advice and representation in civil as well as criminal cases.  I will make sure that all these crucial measures are presented to the voters in Georgia’s special election for US Senate.  Help me get the word out.  https://secure.actblue.com/donate/winfield-for-senate-1.",6,6,,,,,,,795769594263362,/story.php?story_fbid=795769594263362&id=311710576002602
Richard Dien Winfield,,2020-02-25 08:45:30,"The Weinstein case highlights the impunity of perpetrators of sexual harassment and the difficulty victims have in defending themselves.  A key element that is not sufficiently acknowledged in discussion of the MeToo movement is the role of the fear of firing.  Victims are deterred from blowing the whistle on workplace sexual harassment because 1) we accept unemployment and have no job guarantee, 2) unlike other nations, we tie health care and retirement benefits to employment, so that job loss is a matter of life and death and indigent old age, 3) we subject most employees to firing at will and disempowerment by allowing 9 out of 10 workers to be without union representation, 4) we leave victims without legal counsel in civil cases because we have no Legal Care for All, which would guarantee legal advice and representation in all criminal and civil cases, and 5) we allow non-disclosure agreements, which shield perpetrators from the public’s right to know the course of justice.  Only one candidate for US Senate in Georgia advocates the solutions to all five of these bulwarks of the fear of firing.  https://secure.actblue.com/donate/winfield-for-senate-1.",15,13,,2,,,,1,794823177691337,/story.php?story_fbid=794823177691337&id=311710576002602
Richard Dien Winfield,,2020-02-21 18:57:16,‪I’ll be on Joseph Firestone’s live stream show at 9 pm tonight.  Go to this Facebook link to watch: https://www.facebook.com/letsgetitdonejoe ‬,,,,,,,,,791974681309520,/story.php?story_fbid=791974681309520&id=311710576002602
Richard Dien Winfield,,2020-02-24 13:50:12,"Before leaving Savannah we touched base with Adam Van Brimmer, Editorial Page Editor of the Savannah News.  We will be back in the low country in April and hope to expand our campaign coverage and contacts. https://secure.actblue.com/donate/winfield-for-senate-1.",5,5,,,,,,,794251884415133,/story.php?story_fbid=794251884415133&id=311710576002602
Richard Dien Winfield,,2020-02-24 13:38:39,"At this morning’s meeting with leaders of IBEW Local 508 (Alton Mosley, Terry Lee, & Tommy Connolly),we discussed the problem of “misclassification”, which is hurting building trade workers by perpetrating massive wage theft and benefit evasion.  The IBEW had suggested legislation requiring construction companies to use their own workers instead of using subcontractors who hire “contract” laborers with less if any employee rights.  I suggested a policy from my campaign Employee Bill of Rights: that we require by law that hires, whatever their classification, be paid equal salaries and receive the same benefits for doing the same work .",8,8,,,,,,,794244911082497,/story.php?story_fbid=794244911082497&id=311710576002602
Richard Dien Winfield,,2020-02-24 13:23:43,"Tanya Milton interviewed me this morning for the historic Savannah Tribune paper, with over 50,000 weekly readers.  Whereas Bloomberg had a full page ad in this week’s edition, I hope my interview’s appearance will help counter the hegemony of money in politics.  Democracy depends on proper coverage by the press.",8,8,,,,,,,794234737750181,/story.php?story_fbid=794234737750181&id=311710576002602
Richard Dien Winfield,,2020-02-23 21:12:28,‪Call time in Savannah - this is what democracy looks like in the days before proper campaign finance reform.   https://secure.actblue.com/donate/winfield-for-senate-1.‬,9,9,,,,,,,793717524468569,/story.php?story_fbid=793717524468569&id=311710576002602
Richard Dien Winfield,,2020-02-23 21:03:31,Lisa Ring and I met in 2017 at the PCCC candidate training.  She then ran for Congress in Georgia’s deep red gerrymandered 1st District & enlarged the Democratic vote.  She is running again and today in Savannah shared what she’s learned then and now.  She is the one candidate in her race who is advancing democratic values without compromise or pandering.  She deserves support in her valiant campaign.,7,7,,,,,,,793713504468971,/story.php?story_fbid=793713504468971&id=311710576002602
Richard Dien Winfield,,2020-02-23 20:41:16,"‪Morning service at Savannah’s historic First African Baptist Church, where Pastor Thurmond Tillman let me speak about how we can make America righteous by fulfilling our social rights, the public way of loving one’s neighbor as oneself.  https://secure.actblue.com/donate/winfield-for-senate-1.‬",3,3,,,,,,,793703641136624,/story.php?story_fbid=793703641136624&id=311710576002602
Richard Dien Winfield,,2020-02-23 08:04:49,"‪At Saturday’s A. Philip Randolph Institute Award Dinner, Savannah labor activists are pushing GOTV efforts, anxiously aware that the 2020 elections are make or break for worker rights.  ‬It’s time for national legislation to reverse the decline in employee empowerment.",11,10,,1,,,,,793257724514549,/story.php?story_fbid=793257724514549&id=311710576002602
Richard Dien Winfield,,2020-02-21 13:36:36,"Via ⁦‪@nytimes‬⁩ “America has a housing crisis.  The home ownership rate for young adults is at a multi decade low, and about a quarter of renters send more than half their income to the landlord.  Homelessness is resurgent, eviction displaces a million households a year, and about four million people spend at least three hours driving to and from work.”  Let’s recognize and enforce the fundamental social right to decent housing. This requires the economic independence and security provided by a Federal Job Guarantee with fair wages starting at $20/hr and equivalent replacement income for the disabled and retirees; access to physical, mental, and long term health care provided by Medicare For All; and civil legal representation provided by Legal Care For All. https://www.nytimes.com/2020/02/13/business/economy/housing-crisis-conor-dougherty-golden-gates.html?referringSource=articleShare",,,,,,,,1,791797041327284,/story.php?story_fbid=791797041327284&id=311710576002602
Richard Dien Winfield,,2020-02-19 10:42:12,What’s the point of fighting voter suppression if you are complicit in the buying of elections?  Voting rights are empty if political success depends on private wealth.,,,,,,,,,790140474826274,/story.php?story_fbid=790140474826274&id=311710576002602
Richard Dien Winfield,,2020-02-22 16:54:27,‪https://youtu.be/EMkeysUdhMc - the whole uncut discussion with Joseph Firestone about the Winfield For Senate social rights agenda‬,7,7,,,,,,,792748361232152,/story.php?story_fbid=792748361232152&id=311710576002602
Richard Dien Winfield,,2020-02-17 10:12:54,"@NYTimes Another fraudulent issue: Medicare For All will NOT deprive us of our current doctors!  Medicare For All allows us to use any health care provider and any needed pharmaceuticals we choose.  Private plans restrict our choice, as everyone knows. U.S. Senator Bernie Sanders  https://www.nytimes.com/2020/02/16/us/politics/sanders-nevada-medicare-for-all.html?referringSource=articleShare",,,,,,,,,788541794986142,/story.php?story_fbid=788541794986142&id=311710576002602
Richard Dien Winfield,,2020-02-21 08:52:55,"via @nytimes: E commerce & big box stores are not the only killers of malls; soaring income & wealth inequality is depleting consumer demand of everyone but the rich.  It’s a huge drag on economic growth, as well as an assault on economic justice.",4,4,,,,,,,791615974678724,/story.php?story_fbid=791615974678724&id=311710576002602
Richard Dien Winfield,,2020-02-21 07:18:28,"Taking the fight to Jackson County, deepest of red districts, with the stalwart Dems of Jefferson.",5,4,,1,,,,,791552788018376,/story.php?story_fbid=791552788018376&id=311710576002602
Richard Dien Winfield,,2020-02-19 10:47:16,How can elections be a “fair fight” when personal wealth is allowed to buy disproportionate political clout? Bernie shows how a grass roots funding campaign can win with principle.,8,7,,,1,,,,790143818159273,/story.php?story_fbid=790143818159273&id=311710576002602
Richard Dien Winfield,,2020-02-18 23:57:40,"The North Fulton County Democrats meet the only philosopher/union member running for Senate, and the only Senate candidate advocating a Federal Job Guarantee, the Employee Bill of Rights, and Legal Care For All.",7,5,,2,,,,,789768524863469,/story.php?story_fbid=789768524863469&id=311710576002602
Richard Dien Winfield,,2020-02-18 09:42:54,Speaking last night at the Georgia Tech  YDSA meeting about how we should push the envelope to make America a righteous nation.,4,4,,,,,,,789311164909205,/story.php?story_fbid=789311164909205&id=311710576002602
Richard Dien Winfield,,2020-02-17 22:42:25,Speaking at tonight’s weekly meeting of the Georgia Tech YDSA about pushing the envelope to make America righteous.,5,4,,1,,,,,789753264864995,/story.php?story_fbid=789753264864995&id=311710576002602
Richard Dien Winfield,,2020-02-17 10:14:34,"@NYTimes The cost issue: Private insurance plans explode health care costs with CEO super salaries, stockholder dividends, advertising, & huge administrative expenses. Medicare For All eliminates all this bloated overhead!  We save $1.7 trillion/year. U.S. Senator Bernie Sanders https://www.nytimes.com/2020/02/16/us/politics/sanders-nevada-medicare-for-all.html?referringSource=articleShare",4,4,,,,,,1,788543258319329,/story.php?story_fbid=788543258319329&id=311710576002602
"Richard Dien Winfield,Richard Dien Winfield",Richard Dien Winfield,2020-02-17 08:56:37,"There is no need to ban private health insurance.  It will wither away as soon as Medicare For All is implemented.  This is a non-issue.  What is a legitimate concern is the problem of ensuring that no employees in the private insurance sector and in the clerical staff of health care providers will be without a decent livelihood after this transition.  A Federal Job Guarantee at fair wages starting at $20/hr solves that problem.via @nytimes A completely phony issue.  Who will want to keep their old health insurance plans once we enact Medicare For All with no premiums, no copays and no deductibles, covering all physical, mental, dental, & long term care, & funded by graduated income & wealth taxes?",8,8,,,,,,1,788479534992368,/story.php?story_fbid=788479534992368&id=311710576002602
Richard Dien Winfield,,2020-02-16 12:58:40,"Scenes from last night’s Valentine Gala of Mason Lodge 13 at Mt. Pleasant Baptist Church, hosted by Rev. Abraham Moseley and MC’d by Marvin Nunnally.  Love stories galore, love that conquered adversity and the public love of doing justice.",30,26,,4,,,,,787890625051259,/story.php?story_fbid=787890625051259&id=311710576002602
Richard Dien Winfield,,2020-02-16 21:46:18,"Succeeding Winfred Hope on this Installation Sunday at the helm of Ebenezer Baptist Church West, Rev. Daryl Bloodsaw spoke of choosing between a life in politics and a life in the ministry, between Athens and Jerusalem.  But within Athens there is another crossroads, between philosophy and politics.",6,6,,,,,,,788145628359092,/story.php?story_fbid=788145628359092&id=311710576002602
Richard Dien Winfield,,2020-02-16 09:45:12,"‪At 6 pm on Wednesday, 2/26, immigration law expert Sujata Gupta Winfield and I will join Teter Carrillo & Noe Mendoza on the live streaming DIAblemos show.  Join in on the Facebook page of Dignidad Inmigrante.‬",5,3,,2,,,,,787772988396356,/story.php?story_fbid=787772988396356&id=311710576002602
Richard Dien Winfield,,2020-02-16 08:48:46,"In the developed country with the most billionaires, the greatest income and wealth inequality, and the least social mobility, it better be clear that overturning Citizens United is not enough.  We must also prohibit candidates from funding their own campaigns and enable employees to run for office by providing them for the duration of their campaign replacement income and continued job benefits, as well as a job return guarantee.  Otherwise rule by, for, and of the people succumbs to oligarchy.",13,13,,,,,,4,787739095066412,/story.php?story_fbid=787739095066412&id=311710576002602
Richard Dien Winfield,,2020-02-15 15:13:31,"Back in 2018, the Nation magazine identified me as the first Congressional candidate to support a Federal Job Guarantee (FJG). Now Bernie Sanders has become an FJG advocate and there are a growing number of 2020 Congressional candidates who support a job guarantee. Nabilah Islam is one of them, which separates her from all her opponents in the Democratic Primary in Georgia’s 7th Congressional District.  She deserves our support - Nabilah For Congress! Nabilah for Congress",30,26,,4,,,,,787241358449519,/story.php?story_fbid=787241358449519&id=311710576002602
"Richard Dien Winfield,Richard Dien Winfield",Richard Dien Winfield,2020-02-15 08:11:41,"To save Australia and ourselves we must make an International Green New Deal the anchor of foreign policy.  We must mobilize the world to shut down all fossil fuel exploration ASAP and move to end fossil fuel consumption and production by 2030.  This requires providing sufficient carrot & stick incentives and resources to make the global transition.  Equally essentially, we must mobilize global support to guarantee jobs at fair wages to anyone anywhere whose livelihood is endangered by going green worldwide.",4,3,,1,,,,,786968851810103,/story.php?story_fbid=786968851810103&id=311710576002602
"Richard Dien Winfield,End Citizens United",End Citizens United,2020-02-10 13:11:32,"We need not only to overturn Citizens United, but to prohibit candidates from financing their own campaigns and to give employees replacement income and benefits and a guaranteed return to their job when they run for office.  Otherwise vying for election is a privilege not a right.It’s been just over TEN YEARS since the Supreme Court handed down the disastrous Citizens United decision. Jimmy Carter described the ruling best when he said that Citizens United “changed our political system from a democracy to an oligarchy.” He’s SO RIGHT -- we must take action. So we’re putting together our largest petition yet and we need YOUR help.  Sign now to join Jimmy Carter and fight to OVERTURN Citizens United →",8,8,,,,,,,786704635169858,/story.php?story_fbid=786704635169858&id=311710576002602
Richard Dien Winfield,,2020-02-14 19:00:07,"Democracy is in crisis if voters cannot properly inform themselves about what policies candidates advocate.  When money rules politics, only oligarchs get their say.  Then the right to vote becomes empty.  The press could counteract this if it responsibly examined the policies of all candidates.  Alas, even #NPR is complicit in letting political exposure be bought by ignoring detailed policy evaluation and focusing on personality and fundraising results.",2,2,,,,,,,786589411848047,/story.php?story_fbid=786589411848047&id=311710576002602
Richard Dien Winfield,,2020-02-14 17:08:15,"Are we an oligarchy or a democracy?  Here in Georgia the state legislature meets several months a year & pays its members a part-time wage.  Who can afford to serve under these conditions?  Certainly no employee who works 9-5, week after week, paycheck to paycheck. We US employees are like the Helots of Ancient Greece (and the workers of today’s Gulf Emirates), laboring to support the body politic, but excluded from political life.",15,15,,,,,,,786535348520120,/story.php?story_fbid=786535348520120&id=311710576002602
Richard Dien Winfield,,2020-02-12 19:10:37,"Sorry, due to technical difficulties, my appearance tonight on Joseph Firestone’s show has been postponed.  When it is rescheduled, I’ll let you know.",,,,,,,,,784941732012815,/story.php?story_fbid=784941732012815&id=311710576002602
Richard Dien Winfield,,2020-02-13 23:02:00,Two crammed minutes at the Fulton County Democrats monthly meeting.  A county more populous than many a state and sorely under-represented in the US Senate.,2,2,,,,,,,785859425254379,/story.php?story_fbid=785859425254379&id=311710576002602
Richard Dien Winfield,,2020-02-13 10:04:45,"‪Get ready for the Athens Women’s Health Summit.  I speak on March 1st, from 11:35AM-12:45PM, in room 148, Miller Learning Center, University of Georgia.‬",9,9,,,,,,,785410445299277,/story.php?story_fbid=785410445299277&id=311710576002602
