source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon,Peter Ringo,Oregon Republican League","Peter Ringo,Oregon Republican League",2020-03-06 17:50:42,"Oregon Senate Republicans FOR IMMEDIATE RELEASE  March 6, 2020  Senate Republicans to Return Sunday, March 8  SALEM, Ore. – The Oregon Senate Republicans will return to the Capitol on Sunday, March 8 ready to pass the budget bills that the short session was intended for. Yesterday, Democrats killed all the budget bills by focusing on cap and trade.  Senate Republican Leader, Herman Baertschiger Jr. (R-Grants Pass) issued the following statement:  “As promised, my caucus and I will be ready to work on March 8 to pass the bills the short session was intended for. The focus all along should have been on the budget bills, not cap and trade. It amazes me how the Democrats do not take any responsibility for the failure of the session. Let’s get back to the purpose of the short session.”  Senator Baertschiger held a press conference following the announcement of the end of session. View it here.  ###",2,2,,,,,,,1105444823138800,/story.php?story_fbid=1105444823138800&id=203008573382434
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon",,2020-03-06 13:22:36,,4,4,,,,,,,515023282549229,/events/515023282549229?view=permalink&id=515023285882562
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon",,2020-03-05 22:33:19,🇺🇸Please donate to our campaign! We're working hard to unseat socialist Jeff Merkley and we can't do it without your help! www.romero4oregon.com,3,3,,,,,,,1104798246536791,/story.php?story_fbid=1104798246536791&id=203008573382434
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon",,2020-03-05 15:41:25,,3,3,,,,,,,846302462511283,/events/846302462511283?view=permalink&id=846302469177949
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon",,2020-03-05 13:54:33,I have the privilege of speaking at this event. Check out the list of speakers and entertainment!! Going to be a great event!!,2,2,,,,,,,1104547439895205,/story.php?story_fbid=1104547439895205&id=203008573382434
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon",,2020-03-04 23:27:54,,21,17,,4,,,,,1104071609942788,/story.php?story_fbid=1104071609942788&id=203008573382434
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon",,2020-03-04 14:25:12,Everyone needs to take a serious read on this legislation. It's being promoted by AOC and her gang. Oregon Senator Jeff Merkley and Ron Wyden BOTH support this bill! As if we need any other reason two have Jeff Merkley out of office? 🤷‍♀️  www.romero4oregon.com,24,5,,,,,19,5,1103807519969197,/story.php?story_fbid=1103807519969197&id=203008573382434
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon,Adam Rose,Oregon is Dying","Adam Rose,Oregon is Dying",2020-03-04 12:57:39,"Ohio, California, and Oregon are pushing for laws that would force private property owners to allow homeless people to camp out on their property. What’s worst is that if they try to do something about it, they could be arrested. I’d certainly like to know what they’d be arrested for.",4,,,,2,,2,,1103745999975349,/story.php?story_fbid=1103745999975349&id=203008573382434
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon",,2020-03-04 12:16:52,Nothing at all..,28,21,,7,,,,1,1103719069978042,/story.php?story_fbid=1103719069978042&id=203008573382434
"Paul Joseph Romero Jr. for Congress, US Senator, Oregon",,2020-03-04 12:11:28,This is wrong on so many levels,10,,,,2,1,7,1,1103714553311827,/story.php?story_fbid=1103714553311827&id=203008573382434
