source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Jensen Bohren, Southern Progressive",,2020-02-26 17:44:26,"A reminder to all College students-- Check to see when March 10th is, and if you will be out of town, head to your local Circuit clerk's office and vote early.  Don't let Spring Break accidentally disenfranchise you!",,,,,,,,1,814573172352633,/story.php?story_fbid=814573172352633&id=312898339186788
"Jensen Bohren, Southern Progressive,Samantha Stumbo Gearheart",Samantha Stumbo Gearheart,2020-03-05 00:54:40,"Don't Give Up!  Knock on doors.  Phonebank.  Text Bank.  Talk to the people you're standing in line with at the grocery store.  Talk to people at the bus stop.  Spread the word that Bernie is not out of the race yet!Y’all with your negativity. Bernie is within 6% of Biden with delegates. There are almost 2500 delegates left. And I’ve listed the states and how many delegates are remaining.  Out of the states remaining, Bernie won a lot of those in 2016. I’ve also included a map of the 2016 results. There are a few differences in the map from 2016 with the 2020 map, one big difference is Bernie didn’t win California in 2016. Plus, he was further behind after Super Tuesday in 2016. It was not just 6% then. I’ve also included a picture of this. In addition, I’ve included a map of where we currently stand after Super Tuesday excluding Maine which was decided for Biden today.  If we can get some of the same states we got in 2016 (Michigan, Indiana) it will help. If we could gain Ohio, Pennsylvania, and New York, it would help.  Yes, Texas hurt, Maine hurt, Massachusetts hurts...but we still get a decent amount of delegates in those states.  Stay positive! Keep donating! Keep campaigning! Keep calling!!!! And, damnit, show up to vote!!! Going to rallies is not enough. Do not become complacent.  Bernie said he’d announce his VP after Super Tuesday, let’s hope that happens and let’s hope he hits it out of the park.  STATES LEFT  March 10th Michigan- 125 Washington- 89 Missouri- 68 Mississippi- 36 Idaho- 20 North Dakota- 14 March 14th N. Marianas- 6 March 17th Florida- 219 Illinois- 155 Ohio- 136 Arizona- 67 March 24th Georgia- 105 March 29th Puerto Rico- 51 April 4th Louisiana- 54 Hawaii- 24 Alaska- 15 Wyoming- 14 April 7th Wisconsin- 84 April 28th New York- 274 Pennsylvania- 186 Maryland- 96 Connecticut- 60 Rhode Island- 26 Delaware- 21 May 2nd Kansas- 39 Guam- 7 May 5th Indiana- 82 May 12th Nebraska- 29 West Virginia- 28 May 19th Oregon- 61 Kentucky- 54 June 2nd New Jersey- 126 New Mexico- 34 Washington DC- 20 Montana- 19 South Dakota- 16 June 6th Virgin Islands- 7",2,2,,,,,,,819475161862434,/story.php?story_fbid=819475161862434&id=312898339186788
"Jensen Bohren, Southern Progressive",,2020-03-04 01:04:33,"I will see you on Friday in Jackson, MS when Bernie makes his visit to Mississippi!I’m attending Bernie 2020’s event, “Event in Jackson with Bernie Sanders” – sign up now to join me!",1,1,,,,,,,818808568595760,/story.php?story_fbid=818808568595760&id=312898339186788
"Jensen Bohren, Southern Progressive",,2020-02-28 09:44:14,"Support and help out your candidates of choice.  This year is critical for the Progressive movement.  I'll be in Cleveland, MS this weekend knocking on doors for Bernie and me, and I encourage you do join in and do the same where you are.  Keep focused on the 1991 delegates to keep the Political Revolution happening!",1,1,,,,,,,815709282239022,/story.php?story_fbid=815709282239022&id=312898339186788
"Jensen Bohren, Southern Progressive",,2020-02-26 10:18:11,A person was pragmatic and did what he should for national security.  This is another reason why we need #Medicare4All. https://www.miamiherald.com/news/health-care/article240476806.html,1,1,,,,,,,814352925707991,/story.php?story_fbid=814352925707991&id=312898339186788
"Jensen Bohren, Southern Progressive",,2020-02-17 08:50:14,John Oliver breaks down the arguments against #Medicare4All. Spoiler:  He's for it. https://www.youtube.com/watch?v=7Z2XRg3dy9k,5,3,,2,,,,,808176022992348,/story.php?story_fbid=808176022992348&id=312898339186788
"Jensen Bohren, Southern Progressive,Jordan Johnston",Jordan Johnston,2020-02-14 12:00:02,"Bloomberg is dangerous.  Oligarchs already control our elected leaders, and now they're trying to flat-out buy the Presidency. We've gotta make sure Sanders has an overwhelming pledged delegate count, so make sure to vote in the primary on March 10th!",2,2,,,,,,,806273563182594,/story.php?story_fbid=806273563182594&id=312898339186788
"Jensen Bohren, Southern Progressive",,2020-02-13 19:32:55,"We are looking for personal videos of you telling us why you are going to #Vote4Jensen.  You can post it here, or on Youtube/Tiktok and post the link. Please, no copyrighted songs, brand names, or images.  We may edit videos into a small advertisement if budget allows.",2,1,,1,,,,,805777889898828,/story.php?story_fbid=805777889898828&id=312898339186788
"Jensen Bohren, Southern Progressive",,2020-02-11 20:38:55,"I am sorry to see Andrew Yang leave the Presidential race.  Bringing UBI and currency modernization to the greater public was essential, and he made the case well for both. One of the positions I hold as a Senate candidate is currency modernization. vote4jensen.org",3,3,,,,,,1,804341116709172,/story.php?story_fbid=804341116709172&id=312898339186788
"Jensen Bohren, Southern Progressive",,2020-02-09 22:18:29,"One tool for deciding who you choose this year is Ballotpedia.org's candidate surveys.  I submitted mine today, and I encourage everyone to look into the candidates they have to choose from. And a reminder-- TOMORROW is the last day to register to vote in the primary.  Check your registration!",2,1,,1,,,,,803100193499931,/story.php?story_fbid=803100193499931&id=312898339186788
